# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -39.6482
       -0.0297       -168.386
       -0.0294       -298.404
       -0.0291        -429.83
       -0.0288       -562.826
       -0.0285       -697.573
       -0.0282       -834.268
       -0.0279       -973.121
       -0.0276       -1114.36
       -0.0273        -1258.2
        -0.027       -1404.91
       -0.0267       -1554.75
       -0.0264       -1707.97
       -0.0261       -1864.89
       -0.0258        -2025.8
       -0.0255       -2191.03
       -0.0252       -2360.92
       -0.0249       -2535.84
       -0.0246       -2716.18
       -0.0243       -2902.35
        -0.024       -3094.79
       -0.0237       -3293.96
       -0.0234       -3500.35
       -0.0231       -3714.49
       -0.0228       -3936.91
       -0.0225       -4168.22
       -0.0222       -4409.02
       -0.0219       -4659.96
       -0.0216       -4921.73
       -0.0213       -5195.05
        -0.021       -5480.68
       -0.0207        -5779.4
       -0.0204       -6092.05
       -0.0201       -6419.49
       -0.0198       -6762.66
       -0.0195       -7122.57
       -0.0192       -7500.16
       -0.0189       -7896.43
       -0.0186       -8312.43
       -0.0183       -8749.23
        -0.018       -9207.97
       -0.0177       -9689.81
       -0.0174         -10196
       -0.0171       -10727.8
       -0.0168       -11286.5
       -0.0165       -11873.5
       -0.0162       -12490.3
       -0.0159       -13138.4
       -0.0156       -13819.4
       -0.0153       -14535.2
        -0.015       -15287.4
       -0.0147       -16078.2
       -0.0144       -16909.6
       -0.0141         -17784
       -0.0138         -18704
       -0.0135       -19672.3
       -0.0132       -20691.9
       -0.0129       -21766.2
       -0.0126         -22899
       -0.0123       -24094.4
        -0.012         -25357
       -0.0117         -26692
       -0.0114       -28105.1
       -0.0111       -29602.9
       -0.0108       -31192.9
       -0.0105       -32883.5
       -0.0102       -34684.4
       -0.0099       -36606.8
       -0.0096       -38663.5
       -0.0093       -40869.8
        -0.009       -43243.2
       -0.0087       -45805.1
       -0.0084       -48580.5
       -0.0081       -51600.4
       -0.0078       -54902.4
       -0.0075         -58534
       -0.0072       -62555.3
       -0.0069         -67045
       -0.0066       -72107.8
       -0.0063       -77885.4
        -0.006       -84563.6
       -0.0057         -92318
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99831.5
       -0.0042       -98466.4
       -0.0039       -97210.1
       -0.0036       -96152.7
       -0.0033       -95296.8
        -0.003       -94623.8
       -0.0027       -94110.1
       -0.0024       -93731.5
       -0.0021       -93464.3
       -0.0018       -93286.2
       -0.0015       -93176.4
       -0.0012       -93115.7
       -0.0009       -93087.4
       -0.0006       -93077.7
       -0.0003       -93076.1
             0       -93076.3
        0.0003       -93076.3
        0.0006         -93078
        0.0009       -93087.9
        0.0012       -93116.2
        0.0015       -93176.8
        0.0018       -93286.6
        0.0021       -93464.5
        0.0024       -93731.6
        0.0027         -94110
         0.003       -94623.5
        0.0033       -95296.2
        0.0036       -96151.9
        0.0039         -97209
        0.0042       -98465.3
        0.0045       -99830.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057       -92330.4
         0.006       -84572.8
        0.0063       -77894.6
        0.0066       -72117.3
        0.0069       -67054.9
        0.0072       -62565.6
        0.0075       -58544.8
        0.0078       -54913.9
        0.0081       -51612.7
        0.0084       -48593.7
        0.0087       -45819.3
         0.009       -43258.5
        0.0093       -40886.2
        0.0096       -38681.3
        0.0099       -36625.9
        0.0102         -34705
        0.0105       -32905.6
        0.0108       -31216.7
        0.0111       -29628.4
        0.0114       -28132.4
        0.0117       -26721.1
         0.012       -25388.1
        0.0123       -24127.4
        0.0126         -22934
        0.0129       -21803.1
        0.0132       -20730.8
        0.0135       -19713.1
        0.0138       -18746.8
        0.0141       -17828.7
        0.0144       -16956.1
        0.0147       -16126.4
         0.015       -15337.2
        0.0153       -14586.5
        0.0156       -13872.1
        0.0159       -13192.2
        0.0162       -12545.1
        0.0165       -11929.1
        0.0168       -11342.6
        0.0171       -10784.3
        0.0174       -10252.7
        0.0177       -9746.54
         0.018       -9264.47
        0.0183        -8805.3
        0.0186       -8367.88
        0.0189       -7951.08
        0.0192       -7553.83
        0.0195       -7175.11
        0.0198       -6813.93
        0.0201       -6469.37
        0.0204       -6140.45
        0.0207       -5826.23
         0.021       -5525.86
        0.0213       -5238.54
        0.0216       -4963.47
        0.0219       -4699.93
        0.0222       -4447.19
        0.0225       -4204.59
        0.0228       -3971.48
        0.0231       -3747.26
        0.0234       -3531.34
        0.0237        -3323.2
         0.024        -3122.3
        0.0243       -2928.16
        0.0246       -2740.33
        0.0249       -2558.37
        0.0252       -2381.86
        0.0255       -2210.43
        0.0258       -2043.69
        0.0261       -1881.32
        0.0264       -1722.98
        0.0267       -1568.37
         0.027       -1417.19
        0.0273       -1269.17
        0.0276       -1124.04
        0.0279       -981.555
        0.0282        -841.48
        0.0285        -703.59
        0.0288       -567.671
        0.0291       -433.523
        0.0294       -300.964
        0.0297       -169.829
          0.03       -39.9878
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
