# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -13.9463
       -0.0294       -42.6863
       -0.0291       -71.8639
       -0.0288       -101.372
       -0.0285        -131.13
       -0.0282        -161.12
       -0.0279       -191.318
       -0.0276       -221.703
       -0.0273       -252.272
        -0.027       -282.972
       -0.0267       -313.727
       -0.0264       -344.453
       -0.0261       -375.073
       -0.0258       -405.514
       -0.0255       -435.694
       -0.0252       -465.404
       -0.0249       -494.458
       -0.0246       -522.673
       -0.0243         -549.7
        -0.024       -575.204
       -0.0237       -598.757
       -0.0234       -619.714
       -0.0231       -637.454
       -0.0228       -650.959
       -0.0225       -658.864
       -0.0222       -659.363
       -0.0219        -650.04
       -0.0216        -627.12
       -0.0213       -585.202
        -0.021       -515.685
       -0.0207       -404.158
       -0.0204       -224.823
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -97.6279
       -0.0189         -991.8
       -0.0186        -1707.8
       -0.0183       -2340.29
        -0.018       -2932.93
       -0.0177       -3508.69
       -0.0174       -4080.93
       -0.0171       -4658.19
       -0.0168        -5246.5
       -0.0165       -5850.48
       -0.0162       -6473.84
       -0.0159       -7119.77
       -0.0156       -7791.17
       -0.0153        -8490.8
        -0.015       -9221.35
       -0.0147       -9985.59
       -0.0144       -10786.3
       -0.0141       -11626.5
       -0.0138       -12509.2
       -0.0135       -13437.7
       -0.0132       -14415.6
       -0.0129       -15446.7
       -0.0126       -16535.3
       -0.0123       -17685.9
        -0.012       -18903.6
       -0.0117         -20194
       -0.0114       -21563.1
       -0.0111         -23018
       -0.0108       -24566.4
       -0.0105       -26217.4
       -0.0102       -27980.6
       -0.0099       -29867.4
       -0.0096       -31890.9
       -0.0093         -34066
        -0.009       -36410.5
       -0.0087       -38945.2
       -0.0084       -41694.6
       -0.0081       -44688.4
       -0.0078       -47962.6
       -0.0075       -51561.7
       -0.0072       -55541.4
       -0.0069       -59973.6
       -0.0066       -64952.9
       -0.0063       -70607.9
        -0.006       -77120.6
       -0.0057         -84770
       -0.0054       -94053.6
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99684.3
       -0.0039       -97603.2
       -0.0036       -95778.5
       -0.0033         -94197
        -0.003       -92840.4
       -0.0027       -91684.7
       -0.0024       -90706.1
       -0.0021       -89889.6
       -0.0018       -89246.6
       -0.0015       -88758.5
       -0.0012       -88394.7
       -0.0009       -88132.7
       -0.0006       -87950.1
       -0.0003       -87827.1
             0       -87758.3
        0.0003       -87749.2
        0.0006       -87802.1
        0.0009       -87908.9
        0.0012       -88062.8
        0.0015       -88273.5
        0.0018       -88564.8
        0.0021       -88962.1
        0.0024       -89489.5
        0.0027         -90184
         0.003       -91048.9
        0.0033       -92079.1
        0.0036       -93294.2
        0.0039       -94716.2
        0.0042       -96367.3
        0.0045       -98264.3
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -90801.9
        0.0063       -82120.6
        0.0066         -74874
        0.0069       -68662.2
        0.0072       -63243.3
        0.0075       -58454.5
        0.0078       -54179.2
        0.0081       -50331.1
        0.0084       -46843.9
        0.0087       -43665.7
         0.009       -40755.2
        0.0093       -38078.6
        0.0096         -35608
        0.0099       -33320.2
        0.0102       -31195.7
        0.0105       -29217.6
        0.0108       -27371.7
        0.0111       -25645.4
        0.0114         -24028
        0.0117       -22509.9
         0.012       -21082.7
        0.0123         -19739
        0.0126         -18472
        0.0129       -17275.8
        0.0132       -16144.9
        0.0135       -15074.4
        0.0138         -14060
        0.0141       -13097.5
        0.0144       -12183.2
        0.0147       -11313.5
         0.015       -10485.4
        0.0153        -9695.8
        0.0156       -8941.84
        0.0159        -8220.8
        0.0162          -7530
        0.0165       -6866.76
        0.0168       -6228.27
        0.0171       -5611.61
        0.0174       -5013.57
        0.0177       -4430.39
         0.018       -3857.23
        0.0183       -3287.62
        0.0186        -2712.2
        0.0189        -2115.4
        0.0192       -1469.43
        0.0195         -719.5
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -45.7115
         0.021       -315.674
        0.0213       -484.842
        0.0216       -595.242
        0.0219       -668.833
        0.0222       -717.955
        0.0225       -750.111
        0.0228       -770.193
        0.0231       -781.328
        0.0234       -785.752
        0.0237       -785.143
         0.024        -780.68
        0.0243        -773.22
        0.0246       -763.445
        0.0249       -751.961
        0.0252       -739.181
        0.0255       -725.514
        0.0258       -711.157
        0.0261       -696.303
        0.0264       -681.098
        0.0267       -665.648
         0.027       -650.067
        0.0273       -634.484
        0.0276       -619.013
        0.0279       -603.726
        0.0282       -588.668
        0.0285       -573.847
        0.0288       -559.229
        0.0291       -544.874
        0.0294       -530.792
        0.0297       -516.976
          0.03       -503.441
        0.0303       -490.237
        0.0306       -477.332
        0.0309       -464.732
        0.0312       -452.442
        0.0315       -440.473
        0.0318       -428.808
        0.0321       -417.472
        0.0324        -406.45
        0.0327       -395.725
         0.033        -385.31
        0.0333       -375.211
        0.0336       -365.418
        0.0339       -355.907
        0.0342       -346.692
        0.0345       -337.737
        0.0348       -329.026
        0.0351        -320.55
        0.0354       -312.348
        0.0357       -304.478
         0.036       -296.844
        0.0363       -289.431
        0.0366       -282.239
        0.0369       -275.377
        0.0372         -268.8
        0.0375       -262.414
        0.0378       -256.233
        0.0381       -250.258
        0.0384       -244.498
        0.0387       -238.957
         0.039       -233.633
        0.0393       -228.514
        0.0396       -223.579
        0.0399       -218.845
        0.0402       -214.305
        0.0405       -209.962
        0.0408       -205.821
        0.0411       -201.862
        0.0414       -198.098
        0.0417       -194.532
         0.042       -191.174
        0.0423       -187.999
        0.0426       -185.014
        0.0429       -182.185
        0.0432       -179.508
