# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -18.4223
       -0.0297        -78.256
       -0.0294       -138.785
       -0.0291       -200.096
       -0.0288        -262.26
       -0.0285       -325.399
       -0.0282       -389.698
       -0.0279       -455.189
       -0.0276           -522
       -0.0273       -590.298
        -0.027       -660.249
       -0.0267       -731.981
       -0.0264       -805.662
       -0.0261       -881.456
       -0.0258       -959.564
       -0.0255       -1040.35
       -0.0252       -1124.04
       -0.0249       -1210.76
       -0.0246       -1300.83
       -0.0243        -1394.5
        -0.024       -1492.12
       -0.0237       -1593.96
       -0.0234       -1700.49
       -0.0231       -1812.11
       -0.0228       -1929.16
       -0.0225       -2052.16
       -0.0222       -2181.31
       -0.0219       -2317.22
       -0.0216       -2460.39
       -0.0213       -2611.67
        -0.021       -2771.77
       -0.0207       -2941.32
       -0.0204       -3120.93
       -0.0201       -3311.56
       -0.0198       -3519.63
       -0.0195       -3756.78
       -0.0192       -4017.28
       -0.0189       -4300.34
       -0.0186       -4606.31
       -0.0183       -4935.66
        -0.018       -5289.27
       -0.0177       -5668.13
       -0.0174        -6073.4
       -0.0171       -6506.33
       -0.0168       -6968.31
       -0.0165       -7460.91
       -0.0162       -7985.86
       -0.0159       -8544.86
       -0.0156       -9139.63
       -0.0153       -9772.09
        -0.015       -10444.4
       -0.0147       -11158.9
       -0.0144       -11918.2
       -0.0141       -12725.5
       -0.0138       -13583.9
       -0.0135       -14496.3
       -0.0132       -15466.3
       -0.0129       -16497.7
       -0.0126       -17594.4
       -0.0123         -18761
        -0.012       -20002.8
       -0.0117       -21325.6
       -0.0114       -22736.1
       -0.0111       -24241.8
       -0.0108       -25851.3
       -0.0105       -27573.8
       -0.0102       -29420.3
       -0.0099       -31403.3
       -0.0096       -33537.4
       -0.0093       -35839.6
        -0.009       -38329.6
       -0.0087       -41031.2
       -0.0084       -43972.8
       -0.0081       -47188.9
       -0.0078       -50722.1
       -0.0075       -54625.3
       -0.0072       -58966.2
       -0.0069       -63832.6
       -0.0066       -69342.4
       -0.0063       -75654.6
        -0.006       -82978.7
       -0.0057       -91514.8
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99773.7
       -0.0042         -97933
       -0.0039       -96198.5
       -0.0036       -94681.1
       -0.0033       -93385.3
        -0.003         -92292
       -0.0027       -91377.4
       -0.0024       -90612.6
       -0.0021       -89970.1
       -0.0018       -89428.3
       -0.0015       -88967.9
       -0.0012       -88576.7
       -0.0009       -88248.5
       -0.0006       -87987.9
       -0.0003       -87810.9
             0       -87758.3
        0.0003         -87849
        0.0006         -88050
        0.0009       -88334.9
        0.0012       -88680.5
        0.0015       -89081.2
        0.0018       -89539.5
        0.0021       -90065.1
        0.0024       -90682.1
        0.0027       -91425.6
         0.003       -92325.9
        0.0033       -93408.4
        0.0036       -94695.9
        0.0039       -96206.2
        0.0042       -97935.5
        0.0045       -99772.6
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057         -91514
         0.006       -82970.1
        0.0063         -75647
        0.0066       -69338.6
        0.0069       -63833.8
        0.0072       -58972.5
        0.0075         -54637
        0.0078       -50739.1
        0.0081       -47210.9
        0.0084       -43998.7
        0.0087         -41060
         0.009       -38360.2
        0.0093       -35871.1
        0.0096       -33569.1
        0.0099       -31434.4
        0.0102       -29450.2
        0.0105       -27602.3
        0.0108       -25878.3
        0.0111       -24267.7
        0.0114       -22760.6
        0.0117       -21348.3
         0.012       -20023.3
        0.0123         -18779
        0.0126       -17609.6
        0.0129       -16510.3
        0.0132       -15476.7
        0.0135       -14504.9
        0.0138       -13591.1
        0.0141       -12731.9
        0.0144       -11923.9
        0.0147       -11163.9
         0.015       -10449.2
        0.0153       -9777.13
        0.0156       -9145.42
        0.0159       -8551.77
        0.0162       -7993.98
        0.0165       -7470.13
        0.0168       -6978.55
        0.0171       -6517.48
        0.0174       -6085.55
        0.0177       -5681.39
         0.018       -5303.74
        0.0183       -4951.14
        0.0186       -4622.53
        0.0189       -4316.97
        0.0192       -4033.78
        0.0195       -3772.85
        0.0198       -3534.91
        0.0201       -3326.06
        0.0204        -3134.5
        0.0207       -2954.02
         0.021       -2783.92
        0.0213       -2623.44
        0.0216       -2471.66
        0.0219       -2327.84
        0.0222       -2191.46
        0.0225       -2061.99
        0.0228       -1938.89
        0.0231       -1821.68
        0.0234       -1709.75
        0.0237       -1602.86
         0.024       -1500.54
        0.0243       -1402.48
        0.0246       -1308.36
        0.0249       -1217.84
        0.0252       -1130.71
        0.0255        -1046.6
        0.0258       -965.354
        0.0261       -886.695
        0.0264        -810.39
        0.0267       -736.235
         0.027       -664.106
        0.0273        -593.82
        0.0276       -525.208
        0.0279       -458.074
        0.0282       -392.256
        0.0285       -327.644
        0.0288        -264.13
        0.0291       -201.574
        0.0294       -139.858
        0.0297       -78.8793
          0.03       -18.5687
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
