# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -39.4995
       -0.0294       -120.836
       -0.0291       -203.181
       -0.0288       -286.253
       -0.0285       -369.914
       -0.0282       -454.057
       -0.0279       -538.575
       -0.0276        -623.35
       -0.0273       -708.246
        -0.027       -793.103
       -0.0267       -877.736
       -0.0264       -961.922
       -0.0261        -1045.4
       -0.0258       -1127.85
       -0.0255       -1208.91
       -0.0252       -1288.11
       -0.0249        -1364.9
       -0.0246       -1438.62
       -0.0243       -1508.44
        -0.024       -1573.35
       -0.0237       -1632.06
       -0.0234          -1683
       -0.0231        -1724.1
       -0.0228       -1752.73
       -0.0225       -1765.42
       -0.0222       -1757.49
       -0.0219       -1722.51
       -0.0216        -1651.3
       -0.0213        -1530.3
        -0.021       -1338.42
       -0.0207        -1040.7
       -0.0204        -574.36
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -182.714
       -0.0189       -1822.69
       -0.0186       -3087.54
       -0.0183       -4157.19
        -0.018       -5115.03
       -0.0177       -6005.24
       -0.0174       -6853.89
       -0.0171       -7677.76
       -0.0168       -8488.48
       -0.0165        -9294.6
       -0.0162       -10102.7
       -0.0159       -10918.3
       -0.0156       -11745.8
       -0.0153       -12589.4
        -0.015       -13452.8
       -0.0147       -14339.4
       -0.0144       -15252.7
       -0.0141         -16196
       -0.0138       -17172.6
       -0.0135       -18186.2
       -0.0132       -19240.2
       -0.0129       -20338.6
       -0.0126       -21485.5
       -0.0123       -22685.1
        -0.012       -23942.5
       -0.0117       -25262.7
       -0.0114       -26651.5
       -0.0111       -28115.3
       -0.0108       -29661.3
       -0.0105       -31297.3
       -0.0102       -33032.6
       -0.0099       -34877.3
       -0.0096       -36843.2
       -0.0093         -38944
        -0.009       -41195.4
       -0.0087       -43616.1
       -0.0084       -46228.2
       -0.0081       -49058.2
       -0.0078       -52138.2
       -0.0075       -55508.2
       -0.0072       -59218.2
       -0.0069       -63332.2
       -0.0066       -67935.1
       -0.0063       -73141.8
        -0.006       -79116.9
       -0.0057       -86112.6
       -0.0054       -94581.8
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99778.4
       -0.0039       -98320.8
       -0.0036       -97078.4
       -0.0033       -96050.8
        -0.003       -95224.7
       -0.0027       -94578.7
       -0.0024       -94088.4
       -0.0021       -93729.5
       -0.0018       -93478.7
       -0.0015       -93313.7
       -0.0012       -93213.9
       -0.0009       -93160.5
       -0.0006       -93137.1
       -0.0003       -93130.4
             0       -93130.3
        0.0003       -93131.1
        0.0006       -93131.2
        0.0009       -93133.6
        0.0012       -93145.4
        0.0015       -93177.9
        0.0018       -93245.5
        0.0021       -93365.4
        0.0024       -93556.9
        0.0027       -93841.3
         0.003         -94241
        0.0033       -94779.8
        0.0036         -95482
        0.0039       -96371.3
        0.0042       -97466.8
        0.0045       -98777.6
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91636.6
        0.0063       -83729.5
        0.0066       -77111.7
        0.0069       -71420.9
        0.0072       -66438.8
        0.0075       -62019.1
        0.0078       -58057.7
        0.0081       -54477.2
        0.0084       -51218.6
        0.0087       -48235.5
         0.009       -45490.8
        0.0093       -42954.4
        0.0096       -40601.5
        0.0099       -38411.1
        0.0102       -36365.7
        0.0105       -34450.2
        0.0108       -32651.7
        0.0111       -30958.9
        0.0114         -29362
        0.0117       -27852.2
         0.012         -26422
        0.0123       -25064.4
        0.0126       -23773.2
        0.0129       -22542.9
        0.0132       -21368.3
        0.0135       -20244.8
        0.0138       -19167.9
        0.0141       -18133.7
        0.0144       -17138.4
        0.0147       -16178.2
         0.015       -15249.7
        0.0153       -14349.3
        0.0156       -13473.7
        0.0159       -12619.2
        0.0162       -11782.2
        0.0165       -10958.5
        0.0168       -10143.8
        0.0171       -9332.89
        0.0174       -8519.56
        0.0177       -7696.07
         0.018       -6852.22
        0.0183       -5973.87
        0.0186       -5040.13
        0.0189       -4017.82
        0.0192       -2849.18
        0.0195       -1421.63
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -137.406
         0.021       -961.721
        0.0213        -1496.7
        0.0216       -1861.73
        0.0219        -2118.3
        0.0222       -2301.16
        0.0225       -2431.59
        0.0228       -2523.44
        0.0231       -2586.16
        0.0234       -2626.48
        0.0237       -2649.28
         0.024       -2658.27
        0.0243       -2656.25
        0.0246       -2645.42
        0.0249       -2627.52
        0.0252       -2603.91
        0.0255       -2575.72
        0.0258       -2543.86
        0.0261       -2509.07
        0.0264       -2471.96
        0.0267       -2433.05
         0.027       -2392.76
        0.0273       -2351.45
        0.0276       -2309.41
        0.0279       -2266.89
        0.0282       -2224.12
        0.0285       -2181.26
        0.0288       -2138.46
        0.0291       -2095.86
        0.0294       -2053.56
        0.0297       -2011.66
          0.03       -1970.23
        0.0303       -1929.33
        0.0306       -1889.02
        0.0309       -1849.34
        0.0312       -1810.33
        0.0315       -1772.02
        0.0318       -1734.45
        0.0321       -1697.61
        0.0324       -1661.54
        0.0327       -1626.25
         0.033       -1591.74
        0.0333       -1558.03
        0.0336       -1525.11
        0.0339       -1492.99
        0.0342       -1461.67
        0.0345       -1431.15
        0.0348       -1401.43
        0.0351        -1372.5
        0.0354       -1344.37
        0.0357       -1317.02
         0.036       -1290.46
        0.0363       -1264.67
        0.0366       -1239.66
        0.0369       -1215.41
        0.0372       -1191.92
        0.0375       -1169.18
        0.0378       -1147.19
        0.0381       -1125.94
        0.0384       -1105.42
        0.0387       -1085.62
         0.039       -1066.55
        0.0393       -1048.19
        0.0396       -1030.54
        0.0399       -1013.58
        0.0402       -997.322
        0.0405        -981.75
