# r (m)    potential (V)
       -0.0315       -3701.96
       -0.0312       -3703.78
       -0.0309       -3709.25
       -0.0306       -3718.38
       -0.0303        -3731.2
         -0.03       -3747.74
       -0.0297       -3768.06
       -0.0294        -3792.2
       -0.0291       -3820.25
       -0.0288       -3852.28
       -0.0285       -3888.39
       -0.0282       -3928.68
       -0.0279       -3973.27
       -0.0276       -4022.31
       -0.0273       -4075.92
        -0.027       -4134.29
       -0.0267        -4197.6
       -0.0264       -4266.04
       -0.0261       -4339.82
       -0.0258        -4419.2
       -0.0255       -4504.42
       -0.0252       -4595.76
       -0.0249       -4693.54
       -0.0246       -4798.07
       -0.0243        -4909.7
        -0.024       -5028.83
       -0.0237       -5155.84
       -0.0234       -5291.19
       -0.0231       -5435.33
       -0.0228       -5588.77
       -0.0225       -5752.03
       -0.0222       -5925.68
       -0.0219       -6110.31
       -0.0216       -6306.58
       -0.0213       -6515.14
        -0.021       -6736.71
       -0.0207       -6972.03
       -0.0204       -7221.88
       -0.0201       -7487.09
       -0.0198       -7768.52
       -0.0195       -8067.07
       -0.0192       -8383.67
       -0.0189        -8719.3
       -0.0186       -9074.96
       -0.0183        -9451.7
        -0.018        -9850.6
       -0.0177       -10272.8
       -0.0174       -10719.4
       -0.0171       -11191.7
       -0.0168         -11691
       -0.0165       -12218.5
       -0.0162       -12775.7
       -0.0159       -13363.9
       -0.0156       -13984.8
       -0.0153         -14640
        -0.015       -15331.2
       -0.0147       -16060.2
       -0.0144       -16829.1
       -0.0141       -17640.1
       -0.0138       -18495.3
       -0.0135       -19397.5
       -0.0132       -20349.4
       -0.0129       -21354.2
       -0.0126       -22415.1
       -0.0123       -23535.9
        -0.012         -24721
       -0.0117       -25974.9
       -0.0114       -27302.9
       -0.0111       -28710.9
       -0.0108       -30205.7
       -0.0105       -31794.7
       -0.0102       -33486.6
       -0.0099       -35291.4
       -0.0096       -37220.6
       -0.0093       -39287.3
        -0.009       -41507.1
       -0.0087       -43898.4
       -0.0084         -46483
       -0.0081       -49287.1
       -0.0078       -52342.7
       -0.0075       -55689.4
       -0.0072       -59376.9
       -0.0069       -63469.1
       -0.0066       -68050.2
       -0.0063         -73235
        -0.006       -79187.2
       -0.0057       -86158.3
       -0.0054       -94599.4
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99778.6
       -0.0039       -98322.3
       -0.0036       -97080.9
       -0.0033       -96053.9
        -0.003       -95228.2
       -0.0027       -94582.3
       -0.0024         -94092
       -0.0021         -93733
       -0.0018       -93481.9
       -0.0015       -93316.5
       -0.0012       -93216.2
       -0.0009       -93162.2
       -0.0006       -93138.3
       -0.0003         -93131
             0       -93130.3
        0.0003       -93130.6
        0.0006       -93130.3
        0.0009       -93132.4
        0.0012         -93144
        0.0015       -93176.3
        0.0018       -93243.7
        0.0021       -93363.4
        0.0024       -93554.9
        0.0027       -93839.2
         0.003         -94239
        0.0033         -94778
        0.0036       -95480.5
        0.0039         -96370
        0.0042       -97465.9
        0.0045       -98777.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91644.7
        0.0063         -83746
        0.0066       -77136.6
        0.0069       -71454.4
        0.0072       -66481.6
        0.0075       -62072.2
        0.0078       -58122.1
        0.0081       -54554.2
        0.0084       -51309.5
        0.0087       -48342.1
         0.009       -45614.9
        0.0093       -43098.1
        0.0096       -40766.9
        0.0099       -38600.7
        0.0102       -36582.3
        0.0105       -34696.9
        0.0108       -32931.8
        0.0111       -31276.2
        0.0114       -29720.5
        0.0117       -28256.5
         0.012         -26877
        0.0123       -25575.4
        0.0126       -24346.2
        0.0129       -23184.2
        0.0132         -22085
        0.0135       -21044.5
        0.0138       -20059.1
        0.0141       -19125.5
        0.0144       -18240.7
        0.0147         -17402
         0.015       -16606.9
        0.0153       -15853.2
        0.0156       -15138.7
        0.0159       -14461.4
        0.0162       -13819.7
        0.0165       -13211.7
        0.0168         -12636
        0.0171       -12090.9
        0.0174         -11575
        0.0177         -11087
         0.018       -10625.7
        0.0183       -10189.6
        0.0186       -9777.73
        0.0189       -9388.82
        0.0192       -9021.78
        0.0195       -8675.55
        0.0198        -8349.1
        0.0201       -8041.43
        0.0204       -7751.59
        0.0207       -7478.65
         0.021       -7221.72
        0.0213       -6979.97
        0.0216       -6752.58
        0.0219       -6538.79
        0.0222       -6337.86
        0.0225       -6149.09
        0.0228       -5971.84
        0.0231       -5805.48
        0.0234       -5649.42
        0.0237       -5503.12
         0.024       -5366.06
        0.0243       -5237.75
        0.0246       -5117.75
        0.0249       -5005.64
        0.0252       -4901.01
        0.0255       -4803.52
        0.0258       -4712.82
        0.0261        -4628.6
        0.0264       -4550.57
        0.0267       -4478.47
         0.027       -4412.06
        0.0273       -4351.12
        0.0276       -4295.44
        0.0279       -4244.85
        0.0282       -4199.17
        0.0285       -4158.27
        0.0288       -4122.01
        0.0291       -4090.27
        0.0294       -4062.97
        0.0297          -4040
          0.03       -4021.31
        0.0303       -4006.83
        0.0306       -3996.52
        0.0309       -3990.34
        0.0312       -3988.29
