# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -10.2287
       -0.0294        -31.036
       -0.0291        -51.758
       -0.0288       -72.3225
       -0.0285       -92.6932
       -0.0282       -112.842
       -0.0279        -132.74
       -0.0276       -152.353
       -0.0273       -171.651
        -0.027        -190.59
       -0.0267       -209.122
       -0.0264       -227.193
       -0.0261       -244.747
       -0.0258       -261.706
       -0.0255       -277.989
       -0.0252       -293.495
       -0.0249       -308.105
       -0.0246       -321.675
       -0.0243       -334.042
        -0.024       -345.004
       -0.0237         -354.3
       -0.0234       -361.617
       -0.0231        -366.58
       -0.0228       -368.666
       -0.0225       -367.241
       -0.0222       -361.514
       -0.0219       -350.303
       -0.0216       -331.912
       -0.0213       -303.936
        -0.021       -262.664
       -0.0207       -201.782
       -0.0204       -110.028
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -27.8075
       -0.0189       -274.655
       -0.0186       -460.962
       -0.0183       -614.612
        -0.018       -748.594
       -0.0177       -869.863
       -0.0174       -982.465
       -0.0171       -1089.09
       -0.0168       -1191.49
       -0.0165       -1290.99
       -0.0162       -1388.53
       -0.0159       -1484.95
       -0.0156       -1580.87
       -0.0153       -1676.75
        -0.015       -1773.17
       -0.0147        -1870.6
       -0.0144       -1969.47
       -0.0141       -2070.11
       -0.0138          -2173
       -0.0135       -2278.47
       -0.0132       -2386.94
       -0.0129        -2498.8
       -0.0126       -2614.49
       -0.0123       -2734.46
        -0.012       -2859.23
       -0.0117       -2989.27
       -0.0114       -3125.15
       -0.0111       -3267.57
       -0.0108       -3417.16
       -0.0105       -3574.65
       -0.0102       -3740.95
       -0.0099       -3917.05
       -0.0096       -4104.05
       -0.0093        -4303.2
        -0.009          -4516
       -0.0087        -4744.2
       -0.0084       -4989.88
       -0.0081       -5255.52
       -0.0078       -5544.11
       -0.0075       -5859.34
       -0.0072       -6205.88
       -0.0069       -6589.68
       -0.0066        -7018.6
       -0.0063       -7503.33
        -0.006       -8059.17
       -0.0057       -8709.55
       -0.0054       -9496.58
       -0.0051         -10000
       -0.0048         -10000
       -0.0045         -10000
       -0.0042       -9980.53
       -0.0039       -9852.64
       -0.0036       -9744.55
       -0.0033       -9656.39
        -0.003       -9586.96
       -0.0027       -9534.36
       -0.0024       -9496.18
       -0.0021       -9470.21
       -0.0018       -9454.17
       -0.0015        -9445.6
       -0.0012       -9442.31
       -0.0009       -9442.22
       -0.0006        -9443.3
       -0.0003       -9445.25
             0       -9446.77
        0.0003       -9447.29
        0.0006       -9447.02
        0.0009        -9445.9
        0.0012        -9444.6
        0.0015       -9443.79
        0.0018       -9444.53
        0.0021       -9449.58
        0.0024       -9460.67
        0.0027       -9479.99
         0.003       -9509.91
        0.0033       -9552.62
        0.0036       -9610.42
        0.0039       -9685.41
        0.0042       -9779.41
        0.0045       -9893.25
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057         -10000
         0.006       -9228.69
        0.0063       -8499.36
        0.0066        -7888.8
        0.0069       -7363.53
        0.0072       -6903.43
        0.0075          -6495
        0.0078       -6128.62
        0.0081       -5797.18
        0.0084       -5495.21
        0.0087       -5218.44
         0.009       -4963.42
        0.0093       -4727.38
        0.0096       -4508.02
        0.0099       -4303.38
        0.0102       -4111.81
        0.0105       -3931.88
        0.0108       -3762.39
        0.0111       -3602.26
        0.0114       -3450.55
        0.0117       -3306.45
         0.012       -3169.25
        0.0123       -3038.23
        0.0126       -2912.76
        0.0129       -2792.33
        0.0132       -2676.41
        0.0135       -2564.51
        0.0138       -2456.14
        0.0141       -2350.86
        0.0144       -2248.27
        0.0147       -2147.98
         0.015       -2049.57
        0.0153       -1952.63
        0.0156       -1856.63
        0.0159       -1761.11
        0.0162       -1665.57
        0.0165        -1569.4
        0.0168       -1471.94
        0.0171       -1372.35
        0.0174       -1269.65
        0.0177       -1162.49
         0.018       -1049.17
        0.0183       -927.225
        0.0186       -793.026
        0.0189       -640.747
        0.0192        -460.35
        0.0195       -232.539
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -31.3101
         0.021       -222.686
        0.0213       -352.048
        0.0216       -445.065
        0.0219       -514.802
        0.0222       -568.496
        0.0225       -610.516
        0.0228       -643.783
        0.0231       -670.261
        0.0234       -691.352
        0.0237       -708.125
         0.024       -721.337
        0.0243        -731.59
        0.0246       -739.387
        0.0249        -745.13
        0.0252       -749.124
        0.0255       -751.618
        0.0258       -752.824
        0.0261        -752.93
        0.0264       -752.099
        0.0267       -750.458
         0.027       -748.111
        0.0273       -745.161
        0.0276       -741.681
        0.0279       -737.728
        0.0282        -733.37
        0.0285       -728.677
        0.0288       -723.688
        0.0291       -718.447
        0.0294       -712.991
        0.0297       -707.354
          0.03       -701.568
        0.0303       -695.664
        0.0306       -689.666
        0.0309       -683.598
        0.0312       -677.471
        0.0315       -671.301
        0.0318       -665.103
        0.0321       -658.892
        0.0324       -652.685
        0.0327       -646.494
         0.033       -640.327
        0.0333       -634.194
        0.0336         -628.1
        0.0339       -622.058
        0.0342       -616.075
        0.0345       -610.158
        0.0348       -604.311
        0.0351       -598.542
        0.0354       -592.858
        0.0357       -587.264
         0.036       -581.766
        0.0363       -576.367
        0.0366       -571.069
        0.0369       -565.875
        0.0372       -560.787
        0.0375       -555.807
        0.0378        -550.94
        0.0381        -546.19
        0.0384       -541.561
        0.0387       -537.054
         0.039       -532.673
        0.0393       -528.421
        0.0396       -524.301
        0.0399       -520.313
        0.0402       -516.459
        0.0405       -512.739
        0.0408       -509.155
        0.0411       -505.708
        0.0414       -502.401
        0.0417       -499.235
         0.042       -496.211
        0.0423        -493.33
        0.0426       -490.594
        0.0429       -488.002
