# r (m)    potential (V)
       -0.0315       -963.763
       -0.0312       -964.005
       -0.0309       -964.728
       -0.0306       -965.929
       -0.0303       -967.606
         -0.03        -969.76
       -0.0297       -972.394
       -0.0294       -975.511
       -0.0291       -979.116
       -0.0288       -983.215
       -0.0285       -987.815
       -0.0282       -992.925
       -0.0279       -998.555
       -0.0276       -1004.72
       -0.0273       -1011.43
        -0.027        -1018.7
       -0.0267       -1026.55
       -0.0264       -1035.01
       -0.0261       -1044.08
       -0.0258        -1053.8
       -0.0255       -1064.19
       -0.0252       -1075.28
       -0.0249        -1087.1
       -0.0246       -1099.68
       -0.0243       -1113.05
        -0.024       -1127.27
       -0.0237       -1142.36
       -0.0234       -1158.37
       -0.0231       -1175.34
       -0.0228       -1193.33
       -0.0225       -1212.38
       -0.0222       -1232.55
       -0.0219       -1253.89
       -0.0216       -1276.45
       -0.0213       -1300.28
        -0.021       -1325.43
       -0.0207       -1351.94
       -0.0204       -1379.84
       -0.0201       -1409.14
       -0.0198       -1439.82
       -0.0195       -1471.72
       -0.0192       -1504.71
       -0.0189       -1539.06
       -0.0186        -1574.8
       -0.0183        -1612.1
        -0.018       -1651.09
       -0.0177          -1692
       -0.0174       -1734.97
       -0.0171       -1780.05
       -0.0168       -1827.45
       -0.0165       -1877.28
       -0.0162       -1929.68
       -0.0159       -1984.89
       -0.0156       -2043.04
       -0.0153       -2104.27
        -0.015       -2168.83
       -0.0147       -2236.85
       -0.0144       -2308.54
       -0.0141       -2384.14
       -0.0138        -2463.8
       -0.0135       -2547.81
       -0.0132       -2636.41
       -0.0129       -2729.85
       -0.0126       -2828.45
       -0.0123       -2932.58
        -0.012       -3042.68
       -0.0117       -3159.15
       -0.0114       -3282.45
       -0.0111       -3413.13
       -0.0108       -3551.77
       -0.0105       -3699.08
       -0.0102       -3855.86
       -0.0099       -4023.04
       -0.0096       -4201.69
       -0.0093          -4393
        -0.009       -4598.44
       -0.0087       -4819.67
       -0.0084        -5058.7
       -0.0081       -5317.96
       -0.0078        -5600.4
       -0.0075       -5909.66
       -0.0072       -6250.32
       -0.0069       -6628.26
       -0.0066       -7051.27
       -0.0063       -7529.94
        -0.006       -8079.35
       -0.0057       -8722.72
       -0.0054       -9501.65
       -0.0051         -10000
       -0.0048         -10000
       -0.0045         -10000
       -0.0042       -9980.59
       -0.0039        -9853.1
       -0.0036       -9745.33
       -0.0033       -9657.37
        -0.003       -9588.03
       -0.0027       -9535.41
       -0.0024       -9497.29
       -0.0021       -9471.37
       -0.0018       -9455.35
       -0.0015       -9446.74
       -0.0012       -9443.37
       -0.0009       -9443.18
       -0.0006       -9444.31
       -0.0003       -9445.88
             0       -9446.77
        0.0003       -9446.64
        0.0006       -9445.71
        0.0009       -9444.23
        0.0012       -9442.71
        0.0015       -9441.98
        0.0018       -9443.16
        0.0021       -9448.32
        0.0024       -9459.46
        0.0027       -9478.72
         0.003        -9508.6
        0.0033       -9551.41
        0.0036       -9609.32
        0.0039       -9684.56
        0.0042       -9778.87
        0.0045          -9893
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057         -10000
         0.006       -9228.81
        0.0063       -8499.76
        0.0066       -7889.64
        0.0069       -7365.01
        0.0072       -6905.79
        0.0075       -6498.51
        0.0078        -6133.6
        0.0081       -5803.92
        0.0084       -5504.03
        0.0087        -5229.7
         0.009       -4977.53
        0.0093       -4744.77
        0.0096       -4529.06
        0.0099       -4328.54
        0.0102       -4141.62
        0.0105       -3966.97
        0.0108        -3803.4
        0.0111        -3649.9
        0.0114       -3505.62
        0.0117       -3369.79
         0.012       -3241.77
        0.0123       -3120.95
        0.0126        -3006.8
        0.0129       -2898.85
        0.0132       -2796.66
        0.0135       -2699.88
        0.0138       -2608.17
        0.0141       -2521.25
        0.0144       -2438.86
        0.0147       -2360.73
         0.015       -2286.67
        0.0153       -2216.37
        0.0156       -2149.58
        0.0159       -2086.23
        0.0162       -2026.16
        0.0165       -1969.13
        0.0168       -1915.04
        0.0171       -1863.71
        0.0174          -1815
        0.0177       -1768.69
         0.018       -1724.63
        0.0183       -1682.72
        0.0186       -1642.71
        0.0189       -1604.54
        0.0192       -1568.08
        0.0195        -1533.2
        0.0198       -1499.77
        0.0201       -1467.55
        0.0204        -1436.5
        0.0207       -1406.78
         0.021       -1378.45
        0.0213       -1351.53
        0.0216          -1326
        0.0219       -1301.82
        0.0222       -1278.95
        0.0225       -1257.34
        0.0228       -1236.94
        0.0231        -1217.7
        0.0234       -1199.57
        0.0237        -1182.5
         0.024       -1166.44
        0.0243       -1151.35
        0.0246       -1137.17
        0.0249       -1123.88
        0.0252       -1111.42
        0.0255       -1099.76
        0.0258       -1088.88
        0.0261       -1078.73
        0.0264       -1069.29
        0.0267       -1060.53
         0.027       -1052.44
        0.0273       -1044.97
        0.0276       -1038.13
        0.0279       -1031.89
        0.0282       -1026.22
        0.0285       -1021.13
        0.0288        -1016.6
        0.0291       -1012.62
        0.0294       -1009.18
        0.0297       -1006.27
          0.03       -1003.89
        0.0303       -1002.04
        0.0306       -1000.72
        0.0309       -999.922
        0.0312       -999.656
