# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -2.07184
       -0.0294       -6.31053
       -0.0291       -10.5619
       -0.0288       -14.8091
       -0.0285       -19.0427
       -0.0282       -23.2549
       -0.0279       -27.4375
       -0.0276       -31.5822
       -0.0273       -35.6804
        -0.027       -39.7222
       -0.0267       -43.6966
       -0.0264       -47.5913
       -0.0261       -51.3919
       -0.0258       -55.0815
       -0.0255       -58.6409
       -0.0252       -62.0477
       -0.0249       -65.2753
       -0.0246       -68.2913
       -0.0243       -71.0587
        -0.024       -73.5328
       -0.0237       -75.6599
       -0.0234       -77.3733
       -0.0231       -78.5883
       -0.0228       -79.1974
       -0.0225       -79.0601
       -0.0222       -77.9894
       -0.0219       -75.7288
       -0.0216       -71.9152
       -0.0213       -66.0135
        -0.021       -57.1911
       -0.0207        -44.062
       -0.0204       -24.1125
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -6.47738
       -0.0189       -64.0663
       -0.0186       -107.754
       -0.0183       -144.001
        -0.018       -175.805
       -0.0177       -204.748
       -0.0174       -231.755
       -0.0171        -257.41
       -0.0168       -282.108
       -0.0165       -306.129
       -0.0162        -329.68
       -0.0159       -352.915
       -0.0156       -375.957
       -0.0153       -398.902
        -0.015       -421.833
       -0.0147       -444.819
       -0.0144       -467.918
       -0.0141       -491.182
       -0.0138       -514.652
       -0.0135       -538.363
       -0.0132       -562.347
       -0.0129       -586.628
       -0.0126       -611.224
       -0.0123       -636.147
        -0.012       -661.405
       -0.0117       -687.005
       -0.0114       -712.948
       -0.0111       -739.229
       -0.0108       -765.826
       -0.0105       -792.708
       -0.0102       -819.822
       -0.0099       -847.087
       -0.0096       -874.406
       -0.0093       -901.657
        -0.009       -928.695
       -0.0087       -955.328
       -0.0084       -981.304
       -0.0081       -1006.32
       -0.0078       -1029.96
       -0.0075       -1051.62
       -0.0072       -1070.49
       -0.0069       -1085.56
       -0.0066       -1095.54
       -0.0063       -1098.61
        -0.006       -1091.92
       -0.0057       -1071.55
       -0.0054       -1031.34
       -0.0051          -1000
       -0.0048          -1000
       -0.0045          -1000
       -0.0042       -1018.68
       -0.0039       -1138.22
       -0.0036       -1239.35
       -0.0033       -1323.73
        -0.003       -1394.25
       -0.0027       -1451.45
       -0.0024       -1498.17
       -0.0021       -1534.95
       -0.0018       -1563.69
       -0.0015       -1585.61
       -0.0012       -1601.64
       -0.0009       -1613.51
       -0.0006       -1621.81
       -0.0003       -1626.82
             0        -1629.5
        0.0003       -1630.16
        0.0006       -1628.72
        0.0009       -1625.07
        0.0012       -1618.94
        0.0015       -1609.45
        0.0018       -1596.28
        0.0021       -1578.72
        0.0024       -1554.73
        0.0027       -1523.04
         0.003        -1483.5
        0.0033       -1433.71
        0.0036       -1372.94
        0.0039       -1298.76
        0.0042       -1209.11
        0.0045       -1102.14
        0.0048          -1000
        0.0051          -1000
        0.0054          -1000
        0.0057          -1000
         0.006       -1039.99
        0.0063       -1067.58
        0.0066       -1080.54
        0.0069       -1082.48
        0.0072       -1076.24
        0.0075       -1064.03
        0.0078       -1047.56
        0.0081       -1027.94
        0.0084       -1006.04
        0.0087       -982.537
         0.009       -957.914
        0.0093       -932.527
        0.0096       -906.658
        0.0099       -880.533
        0.0102       -854.331
        0.0105       -828.176
        0.0108       -802.169
        0.0111       -776.379
        0.0114       -750.853
        0.0117       -725.628
         0.012       -700.731
        0.0123       -676.174
        0.0126       -651.959
        0.0129       -628.079
        0.0132       -604.521
        0.0135       -581.271
        0.0138       -558.312
        0.0141       -535.616
        0.0144       -513.149
        0.0147       -490.873
         0.015       -468.746
        0.0153       -446.715
        0.0156        -424.72
        0.0159       -402.692
        0.0162       -380.545
        0.0165       -358.178
        0.0168       -335.468
        0.0171       -312.258
        0.0174       -288.345
        0.0177       -263.463
         0.018       -237.245
        0.0183       -209.169
        0.0186       -178.446
        0.0189       -143.815
        0.0192       -103.074
        0.0195       -51.9498
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -6.68356
         0.021       -47.4315
        0.0213       -74.9403
        0.0216       -94.7216
        0.0219       -109.557
        0.0222       -120.998
        0.0225       -129.986
        0.0228       -137.133
        0.0231       -142.857
        0.0234       -147.453
        0.0237       -151.141
         0.024       -154.085
        0.0243       -156.413
        0.0246       -158.226
        0.0249       -159.605
        0.0252       -160.616
        0.0255       -161.312
        0.0258       -161.737
        0.0261        -161.93
        0.0264       -161.921
        0.0267       -161.737
         0.027       -161.401
        0.0273       -160.933
        0.0276        -160.35
        0.0279       -159.667
        0.0282       -158.897
        0.0285       -158.052
        0.0288       -157.142
        0.0291       -156.176
        0.0294       -155.161
        0.0297       -154.105
          0.03       -153.014
        0.0303       -151.893
        0.0306       -150.748
        0.0309       -149.583
        0.0312       -148.402
        0.0315       -147.209
        0.0318       -146.009
        0.0321       -144.802
        0.0324       -143.592
        0.0327       -142.381
         0.033       -141.173
        0.0333        -139.97
        0.0336       -138.773
        0.0339       -137.584
        0.0342       -136.404
        0.0345       -135.236
        0.0348        -134.08
        0.0351       -132.938
        0.0354       -131.812
        0.0357       -130.702
         0.036        -129.61
        0.0363       -128.536
        0.0366       -127.481
        0.0369       -126.447
        0.0372       -125.434
        0.0375       -124.443
        0.0378       -123.474
        0.0381       -122.527
        0.0384       -121.604
        0.0387       -120.705
         0.039       -119.831
        0.0393       -118.981
        0.0396       -118.157
        0.0399       -117.359
        0.0402       -116.588
        0.0405       -115.843
        0.0408       -115.126
        0.0411       -114.436
        0.0414       -113.773
        0.0417        -113.14
         0.042       -112.534
        0.0423       -111.958
        0.0426       -111.411
        0.0429       -110.892
        0.0432       -110.403
        0.0435       -109.944
