# r (m)    potential (V)
       -0.0315       -231.054
       -0.0312       -231.102
       -0.0309       -231.246
       -0.0306       -231.486
       -0.0303       -231.822
         -0.03       -232.253
       -0.0297       -232.781
       -0.0294       -233.407
       -0.0291        -234.13
       -0.0288       -234.953
       -0.0285       -235.878
       -0.0282       -236.905
       -0.0279       -238.039
       -0.0276       -239.281
       -0.0273       -240.636
        -0.027       -242.106
       -0.0267       -243.695
       -0.0264       -245.408
       -0.0261        -247.25
       -0.0258       -249.226
       -0.0255       -251.342
       -0.0252       -253.607
       -0.0249       -256.026
       -0.0246       -258.609
       -0.0243       -261.364
        -0.024       -264.301
       -0.0237        -267.43
       -0.0234       -270.762
       -0.0231        -274.31
       -0.0228       -278.085
       -0.0225       -282.101
       -0.0222       -286.373
       -0.0219       -290.916
       -0.0216       -295.747
       -0.0213       -300.882
        -0.021       -306.338
       -0.0207       -312.134
       -0.0204       -318.286
       -0.0201       -324.814
       -0.0198       -331.736
       -0.0195       -339.073
       -0.0192       -346.845
       -0.0189       -355.072
       -0.0186       -363.775
       -0.0183       -372.971
        -0.018       -382.679
       -0.0177       -392.918
       -0.0174       -403.703
       -0.0171        -415.05
       -0.0168       -426.973
       -0.0165       -439.488
       -0.0162       -452.608
       -0.0159       -466.343
       -0.0156       -480.704
       -0.0153       -495.702
        -0.015       -511.344
       -0.0147       -527.633
       -0.0144        -544.57
       -0.0141        -562.15
       -0.0138       -580.372
       -0.0135       -599.237
       -0.0132       -618.748
       -0.0129       -638.904
       -0.0126       -659.702
       -0.0123       -681.134
        -0.012       -703.185
       -0.0117       -725.839
       -0.0114       -749.069
       -0.0111        -772.85
       -0.0108       -797.142
       -0.0105       -821.886
       -0.0102       -847.015
       -0.0099       -872.444
       -0.0096       -898.079
       -0.0093       -923.795
        -0.009       -949.425
       -0.0087        -974.77
       -0.0084       -999.526
       -0.0081       -1023.31
       -0.0078       -1045.66
       -0.0075          -1066
       -0.0072       -1083.47
       -0.0069       -1096.99
       -0.0066       -1105.14
       -0.0063       -1106.13
        -0.006        -1097.6
       -0.0057       -1075.42
       -0.0054       -1032.96
       -0.0051          -1000
       -0.0048          -1000
       -0.0045          -1000
       -0.0042       -1018.55
       -0.0039       -1137.63
       -0.0036       -1238.23
       -0.0033       -1322.36
        -0.003       -1392.96
       -0.0027       -1450.02
       -0.0024       -1496.55
       -0.0021       -1533.26
       -0.0018       -1562.18
       -0.0015       -1584.38
       -0.0012       -1600.59
       -0.0009       -1612.57
       -0.0006       -1621.22
       -0.0003       -1626.67
             0        -1629.5
        0.0003       -1630.13
        0.0006       -1628.76
        0.0009       -1625.34
        0.0012       -1619.45
        0.0015       -1610.28
        0.0018       -1597.37
        0.0021       -1579.95
        0.0024       -1555.93
        0.0027       -1524.18
         0.003       -1484.59
        0.0033       -1434.73
        0.0036        -1373.7
        0.0039       -1299.07
        0.0042       -1209.02
        0.0045       -1101.92
        0.0048          -1000
        0.0051          -1000
        0.0054          -1000
        0.0057          -1000
         0.006       -1038.11
        0.0063       -1063.84
        0.0066       -1075.23
        0.0069       -1076.24
        0.0072       -1069.55
        0.0075       -1057.16
        0.0078       -1040.51
        0.0081       -1020.78
        0.0084       -998.884
        0.0087       -975.523
         0.009       -951.175
        0.0093       -926.206
        0.0096       -900.906
        0.0099       -875.503
        0.0102       -850.176
        0.0105       -825.068
        0.0108       -800.289
        0.0111       -775.908
        0.0114       -751.978
        0.0117       -728.552
         0.012       -705.668
        0.0123       -683.354
        0.0126       -661.629
        0.0129       -640.506
        0.0132       -619.998
        0.0135       -600.118
        0.0138       -580.873
        0.0141       -562.269
        0.0144       -544.307
        0.0147       -526.987
         0.015       -510.305
        0.0153       -494.256
        0.0156       -478.837
        0.0159       -464.042
        0.0162       -449.865
        0.0165       -436.299
        0.0168       -423.336
        0.0171       -410.966
        0.0174       -399.176
        0.0177       -387.955
         0.018       -377.286
        0.0183       -367.155
        0.0186       -357.545
        0.0189       -348.441
        0.0192       -339.824
        0.0195       -331.677
        0.0198       -323.981
        0.0201       -316.718
        0.0204       -309.869
        0.0207       -303.416
         0.021       -297.338
        0.0213       -291.619
        0.0216       -286.239
        0.0219       -281.181
        0.0222       -276.429
        0.0225       -271.965
        0.0228       -267.775
        0.0231       -263.843
        0.0234       -260.155
        0.0237       -256.699
         0.024        -253.46
        0.0243       -250.428
        0.0246       -247.592
        0.0249        -244.94
        0.0252       -242.464
        0.0255       -240.154
        0.0258       -238.003
        0.0261       -236.003
        0.0264       -234.147
        0.0267       -232.429
         0.027       -230.844
        0.0273       -229.387
        0.0276       -228.053
        0.0279       -226.838
        0.0282       -225.739
        0.0285       -224.752
        0.0288       -223.875
        0.0291       -223.105
        0.0294       -222.442
        0.0297       -221.882
          0.03       -221.425
        0.0303        -221.07
        0.0306       -220.817
        0.0309       -220.664
        0.0312       -220.614
