# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -0.39765
         1        -0.0297       -1.68882
         1        -0.0294       -2.99283
         1        -0.0291       -4.31099
         1        -0.0288        -5.6449
         1        -0.0285       -6.99639
         1        -0.0282       -8.36745
         1        -0.0279        -9.7602
         1        -0.0276       -11.1769
         1        -0.0273       -12.6198
         1         -0.027       -14.0916
         1        -0.0267       -15.5947
         1        -0.0264        -17.132
         1        -0.0261       -18.7064
         1        -0.0258        -20.321
         1        -0.0255        -21.979
         1        -0.0252       -23.6839
         1        -0.0249       -25.4394
         1        -0.0246       -27.2494
         1        -0.0243       -29.1179
         1         -0.024       -31.0495
         1        -0.0237       -33.0486
         1        -0.0234       -35.1203
         1        -0.0231       -37.2698
         1        -0.0228       -39.5024
         1        -0.0225       -41.8242
         1        -0.0222       -44.2412
         1        -0.0219       -46.7599
         1        -0.0216       -49.3873
         1        -0.0213       -52.1304
         1         -0.021       -54.9968
         1        -0.0207       -57.9945
         1        -0.0204       -61.1317
         1        -0.0201       -64.4171
         1        -0.0198       -67.8597
         1        -0.0195       -71.4689
         1        -0.0192       -75.2545
         1        -0.0189       -79.2266
         1        -0.0186       -83.3956
         1        -0.0183       -87.7726
         1         -0.018       -92.3688
         1        -0.0177       -97.1959
         1        -0.0174       -102.266
         1        -0.0171       -107.592
         1        -0.0168       -113.188
         1        -0.0165       -119.066
         1        -0.0162       -125.241
         1        -0.0159        -131.73
         1        -0.0156       -138.548
         1        -0.0153       -145.712
         1         -0.015       -153.241
         1        -0.0147       -161.155
         1        -0.0144       -169.475
         1        -0.0141       -178.224
         1        -0.0138       -187.429
         1        -0.0135       -197.116
         1        -0.0132       -207.316
         1        -0.0129       -218.063
         1        -0.0126       -229.394
         1        -0.0123       -241.351
         1         -0.012       -253.978
         1        -0.0117       -267.329
         1        -0.0114        -281.46
         1        -0.0111       -296.438
         1        -0.0108       -312.337
         1        -0.0105       -329.241
         1        -0.0102       -347.247
         1        -0.0099       -366.467
         1        -0.0096        -387.03
         1        -0.0093       -409.086
         1         -0.009       -432.814
         1        -0.0087       -458.423
         1        -0.0084       -486.166
         1        -0.0081       -516.351
         1        -0.0078       -549.355
         1        -0.0075       -585.651
         1        -0.0072        -625.84
         1        -0.0069       -670.709
         1        -0.0066       -721.303
         1        -0.0063       -779.036
         1         -0.006       -845.766
         1        -0.0057       -923.246
         1        -0.0054          -1000
         1        -0.0051          -1000
         1        -0.0048          -1000
         1        -0.0045       -998.322
         1        -0.0042       -984.726
         1        -0.0039       -972.217
         1        -0.0036       -961.696
         1        -0.0033       -953.188
         1         -0.003       -946.506
         1        -0.0027       -941.416
         1        -0.0024       -937.675
         1        -0.0021       -935.046
         1        -0.0018       -933.307
         1        -0.0015       -932.247
         1        -0.0012       -931.676
         1        -0.0009       -931.425
         1        -0.0006       -931.352
         1        -0.0003       -931.353
         1              0       -931.361
         1         0.0003       -931.353
         1         0.0006       -931.352
         1         0.0009       -931.423
         1         0.0012       -931.674
         1         0.0015       -932.245
         1         0.0018       -933.304
         1         0.0021       -935.042
         1         0.0024       -937.669
         1         0.0027        -941.41
         1          0.003       -946.498
         1         0.0033       -953.178
         1         0.0036       -961.685
         1         0.0039       -972.205
         1         0.0042       -984.714
         1         0.0045       -998.311
         1         0.0048          -1000
         1         0.0051          -1000
         1         0.0054          -1000
         1         0.0057       -923.371
         1          0.006       -845.859
         1         0.0063       -779.129
         1         0.0066       -721.398
         1         0.0069       -670.808
         1         0.0072       -625.944
         1         0.0075       -585.759
         1         0.0078       -549.469
         1         0.0081       -516.472
         1         0.0084       -486.296
         1         0.0087       -458.562
         1          0.009       -432.963
         1         0.0093       -409.247
         1         0.0096       -387.204
         1         0.0099       -366.655
         1         0.0102        -347.45
         1         0.0105        -329.46
         1         0.0108       -312.572
         1         0.0111       -296.691
         1         0.0114       -281.731
         1         0.0117       -267.619
         1          0.012       -254.288
         1         0.0123        -241.68
         1         0.0126       -229.744
         1         0.0129       -218.433
         1         0.0132       -207.707
         1         0.0135       -197.526
         1         0.0138       -187.859
         1         0.0141       -178.673
         1         0.0144       -169.942
         1         0.0147       -161.639
         1          0.015       -153.742
         1         0.0153       -146.227
         1         0.0156       -139.077
         1         0.0159        -132.27
         1         0.0162       -125.792
         1         0.0165       -119.624
         1         0.0168       -113.752
         1         0.0171       -108.161
         1         0.0174       -102.836
         1         0.0177       -97.7657
         1          0.018       -92.9363
         1         0.0183       -88.3359
         1         0.0186       -83.9528
         1         0.0189       -79.7757
         1         0.0192       -75.7941
         1         0.0195       -71.9974
         1         0.0198       -68.3756
         1         0.0201       -64.9193
         1         0.0204        -61.619
         1         0.0207       -58.4661
         1          0.021        -55.452
         1         0.0213       -52.5684
         1         0.0216       -49.8078
         1         0.0219       -47.1626
         1         0.0222       -44.6258
         1         0.0225       -42.1907
         1         0.0228       -39.8508
         1         0.0231          -37.6
         1         0.0234       -35.4327
         1         0.0237       -33.3434
         1          0.024       -31.3268
         1         0.0243       -29.3782
         1         0.0246       -27.4929
         1         0.0249       -25.6666
         1         0.0252       -23.8952
         1         0.0255       -22.1747
         1         0.0258       -20.5016
         1         0.0261       -18.8723
         1         0.0264       -17.2835
         1         0.0267       -15.7323
         1          0.027       -14.2155
         1         0.0273       -12.7305
         1         0.0276       -11.2746
         1         0.0279       -9.84534
         1         0.0282       -8.44026
         1         0.0285       -7.05712
         1         0.0288       -5.69379
         1         0.0291       -4.34826
         1         0.0294       -3.01867
         1         0.0297       -1.70338
         1           0.03      -0.401077
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -4.83895
         2        -0.0297        -20.548
         2        -0.0294       -36.3945
         2        -0.0291       -52.3795
         2        -0.0288       -68.5074
         2        -0.0285        -84.785
         2        -0.0282        -101.22
         2        -0.0279       -117.823
         2        -0.0276       -134.603
         2        -0.0273       -151.571
         2         -0.027       -168.739
         2        -0.0267       -186.122
         2        -0.0264       -203.732
         2        -0.0261       -221.586
         2        -0.0258         -239.7
         2        -0.0255       -258.091
         2        -0.0252       -276.781
         2        -0.0249        -295.79
         2        -0.0246        -315.14
         2        -0.0243       -334.857
         2         -0.024       -354.966
         2        -0.0237       -375.497
         2        -0.0234       -396.479
         2        -0.0231       -417.945
         2        -0.0228       -439.929
         2        -0.0225       -462.466
         2        -0.0222       -485.596
         2        -0.0219       -509.358
         2        -0.0216       -533.792
         2        -0.0213       -558.942
         2         -0.021       -584.852
         2        -0.0207       -611.564
         2        -0.0204       -639.125
         2        -0.0201       -667.579
         2        -0.0198       -696.968
         2        -0.0195       -727.337
         2        -0.0192       -758.726
         2        -0.0189       -791.172
         2        -0.0186       -824.712
         2        -0.0183       -859.375
         2         -0.018       -895.189
         2        -0.0177       -932.175
         2        -0.0174       -970.347
         2        -0.0171       -1009.71
         2        -0.0168       -1050.28
         2        -0.0165       -1092.03
         2        -0.0162       -1134.95
         2        -0.0159       -1179.03
         2        -0.0156       -1224.21
         2        -0.0153       -1270.46
         2         -0.015       -1317.73
         2        -0.0147       -1365.93
         2        -0.0144          -1415
         2        -0.0141       -1464.84
         2        -0.0138       -1515.33
         2        -0.0135       -1566.35
         2        -0.0132       -1617.77
         2        -0.0129       -1669.41
         2        -0.0126       -1721.09
         2        -0.0123       -1772.59
         2         -0.012       -1823.68
         2        -0.0117       -1874.08
         2        -0.0114       -1923.46
         2        -0.0111       -1971.46
         2        -0.0108       -2017.65
         2        -0.0105       -2061.54
         2        -0.0102       -2102.56
         2        -0.0099       -2140.02
         2        -0.0096       -2173.13
         2        -0.0093       -2200.93
         2         -0.009        -2222.3
         2        -0.0087       -2235.86
         2        -0.0084       -2239.95
         2        -0.0081       -2232.56
         2        -0.0078        -2211.2
         2        -0.0075       -2172.78
         2        -0.0072       -2113.41
         2        -0.0069       -2028.19
         2        -0.0066       -1910.86
         2        -0.0063       -1753.44
         2         -0.006       -1546.22
         2        -0.0057       -1280.49
         2        -0.0054          -1000
         2        -0.0051          -1000
         2        -0.0048          -1000
         2        -0.0045       -1022.18
         2        -0.0042       -1201.62
         2        -0.0039       -1367.65
         2        -0.0036       -1508.41
         2        -0.0033       -1623.15
