# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -39.7606
       -0.0297       -168.863
       -0.0294        -299.25
       -0.0291        -431.05
       -0.0288       -564.425
       -0.0285       -699.558
       -0.0282       -836.648
       -0.0279       -975.906
       -0.0276       -1117.56
       -0.0273       -1261.83
        -0.027       -1408.99
       -0.0267       -1559.28
       -0.0264       -1712.99
       -0.0261       -1870.41
       -0.0258       -2031.85
       -0.0255       -2197.62
       -0.0252       -2368.09
       -0.0249       -2543.62
       -0.0246        -2724.6
       -0.0243       -2911.43
        -0.024       -3104.56
       -0.0237       -3304.46
       -0.0234        -3511.6
       -0.0231       -3726.53
       -0.0228       -3949.78
       -0.0225       -4181.94
       -0.0222       -4423.63
       -0.0219       -4675.49
       -0.0216       -4938.22
       -0.0213       -5212.54
        -0.021       -5499.19
       -0.0207       -5798.97
       -0.0204       -6112.72
       -0.0201        -6441.3
       -0.0198       -6785.62
       -0.0195       -7146.62
       -0.0192       -7525.27
       -0.0189        -7922.6
       -0.0186       -8339.67
       -0.0183       -8777.57
        -0.018       -9237.45
       -0.0177       -9720.48
       -0.0174       -10227.9
       -0.0171         -10761
       -0.0168       -11321.1
       -0.0165       -11909.5
       -0.0162       -12527.9
       -0.0159       -13177.7
       -0.0156       -13860.5
       -0.0153       -14578.1
        -0.015       -15332.4
       -0.0147       -16125.3
       -0.0144         -16959
       -0.0141       -17835.8
       -0.0138       -18758.3
       -0.0135       -19729.2
       -0.0132       -20751.4
       -0.0129       -21828.5
       -0.0126         -22964
       -0.0123         -24162
        -0.012       -25427.2
       -0.0117       -26764.7
       -0.0114       -28180.1
       -0.0111       -29680.1
       -0.0108         -31272
       -0.0105       -32964.2
       -0.0102       -34766.4
       -0.0099       -36689.7
       -0.0096       -38746.9
       -0.0093       -40953.2
        -0.009       -43326.2
       -0.0087       -45886.9
       -0.0084       -48660.7
       -0.0081       -51678.1
       -0.0078       -54976.9
       -0.0075       -58604.3
       -0.0072       -62620.5
       -0.0069       -67103.8
       -0.0066       -72158.7
       -0.0063       -77926.6
        -0.006       -84592.9
       -0.0057       -92332.8
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99832.5
       -0.0042       -98475.3
       -0.0039       -97226.7
       -0.0036       -96176.4
       -0.0033         -95327
        -0.003       -94659.8
       -0.0027       -94151.5
       -0.0024       -93777.7
       -0.0021         -93515
       -0.0018         -93341
       -0.0015       -93234.9
       -0.0012       -93177.5
       -0.0009       -93152.1
       -0.0006       -93144.7
       -0.0003       -93144.6
             0       -93145.4
        0.0003       -93144.6
        0.0006       -93144.6
        0.0009         -93152
        0.0012       -93177.3
        0.0015       -93234.5
        0.0018       -93340.5
        0.0021       -93514.4
        0.0024         -93777
        0.0027       -94150.6
         0.003       -94658.9
        0.0033       -95325.9
        0.0036       -96175.2
        0.0039       -97225.4
        0.0042       -98474.1
        0.0045       -99831.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057         -92345
         0.006       -84601.6
        0.0063       -77934.9
        0.0066         -72167
        0.0069       -67112.2
        0.0072       -62629.2
        0.0075       -58613.4
        0.0078       -54986.5
        0.0081       -51688.4
        0.0084       -48671.8
        0.0087         -45899
         0.009       -43339.3
        0.0093       -40967.5
        0.0096       -38762.6
        0.0099       -36706.8
        0.0102       -34785.1
        0.0105       -32984.6
        0.0108       -31294.2
        0.0111       -29704.2
        0.0114       -28206.1
        0.0117       -26792.7
         0.012       -25457.3
        0.0123       -24194.3
        0.0126       -22998.4
        0.0129         -21865
        0.0132       -20790.1
        0.0135       -19769.9
        0.0138       -18801.1
        0.0141       -17880.6
        0.0144       -17005.7
        0.0147       -16173.8
         0.015       -15382.6
        0.0153       -14629.8
        0.0156       -13913.6
        0.0159       -13231.9
        0.0162       -12583.2
        0.0165       -11965.6
        0.0168       -11377.8
        0.0171       -10818.1
        0.0174       -10285.2
        0.0177       -9777.75
         0.018        -9294.5
        0.0183        -8834.2
        0.0186       -8395.69
        0.0189       -7977.83
        0.0192       -7579.53
        0.0195       -7199.76
        0.0198       -6837.51
        0.0201       -6491.81
        0.0204       -6161.74
        0.0207       -5846.41
         0.021       -5544.98
        0.0213       -5256.61
        0.0216       -4980.54
        0.0219       -4716.01
        0.0222       -4462.33
        0.0225       -4218.82
        0.0228       -3984.83
        0.0231       -3759.77
        0.0234       -3543.05
        0.0237       -3334.12
         0.024       -3132.48
        0.0243       -2937.63
        0.0246       -2749.12
        0.0249        -2566.5
        0.0252       -2389.37
        0.0255       -2217.33
        0.0258       -2050.03
        0.0261       -1887.11
        0.0264       -1728.25
        0.0267       -1573.14
         0.027       -1421.47
        0.0273       -1272.98
        0.0276        -1127.4
        0.0279       -984.483
        0.0282       -843.983
        0.0285       -705.677
        0.0288       -569.352
        0.0291       -434.806
        0.0294       -301.853
        0.0297       -170.331
          0.03       -40.1059
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
