particle,length
0,0.0158694
1,0.223983
2,0.129445
3,0.0150534
4,0.0160683
5,0.0572623
6,0.0252266
7,0.156953
8,0.0145813
9,0.0148728
10,0.0158811
11,0.0268001
12,0.0158855
13,0.0252108
14,0.0148428
15,0.0654297
16,0.0603344
17,0.0153759
18,0.0173453
19,0.0570992
20,0.066554
21,0.0148779
22,0.0754393
23,0.0247734
24,0.0218284
25,0.0149274
26,0.0248427
27,0.0248385
28,0.023317
29,0.0681007
30,0.0147393
31,0.107007
32,0.0243689
33,0.0633586
34,0.015428
35,0.57226
36,0.0257588
37,0.0174378
38,0.0146108
39,0.0783882
40,0.0244253
41,0.014866
42,0.0687445
43,0.0744038
44,0.0264458
45,0.120937
46,0.0145119
47,0.0155047
48,0.396577
49,0.0563351
50,0.0275693
51,0.0246439
52,0.0251649
53,0.113507
54,0.0152638
55,0.0677513
56,0.0175669
57,0.0601327
58,0.0153736
59,0.0240208
60,0.0268499
61,0.0249494
62,0.0152916
63,0.0158827
64,0.025284
65,0.0776115
66,0.547083
67,0.269157
68,0.0965808
69,0.0755891
70,0.0149476
71,0.0652336
72,0.0159005
73,0.0176565
74,0.0151425
75,0.0789901
76,0.0148025
77,0.0192721
78,0.0646808
79,0.024684
80,0.103237
81,0.065451
82,0.0244063
83,0.10012
84,0.024685
85,0.23487
86,0.0558023
87,0.0160329
88,0.178177
89,0.190425
90,0.0651431
91,0.0147274
92,0.0148239
93,0.0153221
94,0.0177955
95,0.0151202
96,0.0145868
97,0.0257392
98,0.0243256
99,0.187212
100,0.106646
101,0.558808
102,0.0728262
103,0.134321
104,0.0151758
105,0.0161065
106,0.0159578
107,0.0272961
108,0.0252971
109,0.0176382
110,0.115004
111,0.346839
112,0.0650396
113,0.0244059
114,0.0573161
115,0.213767
116,0.0553695
117,0.110534
118,0.625577
119,0.0721177
120,0.143475
121,0.0178975
122,0.0150177
123,0.113597
124,0.0148041
125,0.017364
126,0.0183518
127,0.070306
128,0.0248686
129,0.0176002
130,0.0561009
131,0.0263386
132,0.0574582
133,0.0153821
134,0.0154045
135,0.0173559
136,0.025184
137,0.0246443
138,0.0282627
139,0.0199388
140,0.0262579
141,0.0146575
142,0.0148701
143,0.0249339
144,0.0262881
145,0.0591096
146,0.0144965
147,0.0689492
148,0.193004
149,0.0684332
150,0.0147249
151,0.0217325
152,0.0251877
153,0.0145661
154,0.0251038
155,0.0165121
156,0.0147428
157,0.0215805
158,0.0180425
