# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -35.4106
       -0.0294        -108.33
       -0.0291       -182.163
       -0.0288       -256.664
       -0.0285       -331.716
       -0.0282       -407.229
       -0.0279       -483.115
       -0.0276       -559.273
       -0.0273       -635.589
        -0.027       -711.924
       -0.0267       -788.118
       -0.0264       -863.977
       -0.0261       -939.271
       -0.0258       -1013.72
       -0.0255          -1087
       -0.0252       -1158.69
       -0.0249       -1228.31
       -0.0246       -1295.26
       -0.0243        -1358.8
        -0.024       -1418.01
       -0.0237       -1471.74
       -0.0234       -1518.56
       -0.0231       -1556.61
       -0.0228        -1583.5
       -0.0225       -1596.07
       -0.0222       -1590.07
       -0.0219       -1559.64
       -0.0216       -1496.39
       -0.0213       -1387.94
        -0.021          -1215
       -0.0207       -945.605
       -0.0204        -522.36
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -170.206
       -0.0189       -1700.04
       -0.0186       -2883.13
       -0.0183       -3886.95
        -0.018       -4789.13
       -0.0177       -5630.86
       -0.0174       -6436.52
       -0.0171       -7221.83
       -0.0168       -7997.65
       -0.0165       -8771.99
       -0.0162       -9551.07
       -0.0159         -10340
       -0.0156       -11143.1
       -0.0153       -11964.2
        -0.015       -12807.1
       -0.0147         -13675
       -0.0144       -14571.2
       -0.0141       -15499.1
       -0.0138         -16462
       -0.0135       -17463.3
       -0.0132       -18506.7
       -0.0129         -19596
       -0.0126       -20735.3
       -0.0123         -21929
        -0.012         -23182
       -0.0117       -24499.4
       -0.0114       -25887.1
       -0.0111       -27351.5
       -0.0108       -28899.8
       -0.0105         -30540
       -0.0102       -32281.3
       -0.0099       -34134.2
       -0.0096       -36110.4
       -0.0093       -38223.9
        -0.009       -40490.7
       -0.0087       -42929.7
       -0.0084       -45563.3
       -0.0081       -48418.5
       -0.0078         -51528
       -0.0075       -54932.3
       -0.0072       -58682.4
       -0.0069       -62843.4
       -0.0066       -67501.5
       -0.0063       -72773.7
        -0.006       -78827.1
       -0.0057       -85917.8
       -0.0054       -94505.2
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99764.8
       -0.0039       -98217.7
       -0.0036       -96892.3
       -0.0033       -95786.7
        -0.003       -94887.1
       -0.0027       -94171.6
       -0.0024       -93616.1
       -0.0021       -93196.2
       -0.0018       -92888.5
       -0.0015       -92670.8
       -0.0012       -92523.1
       -0.0009       -92428.5
       -0.0006       -92374.6
       -0.0003       -92348.7
             0         -92340
        0.0003       -92342.2
        0.0006       -92353.1
        0.0009         -92375
        0.0012       -92412.6
        0.0015         -92477
        0.0018       -92584.4
        0.0021       -92751.7
        0.0024       -92996.1
        0.0027       -93337.6
         0.003       -93798.3
        0.0033       -94402.1
        0.0036       -95173.4
        0.0039       -96135.9
        0.0042       -97309.4
        0.0045       -98703.9
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91513.4
        0.0063       -83491.9
        0.0066       -76781.1
        0.0069         -71013
        0.0072         -65966
        0.0075       -61491.2
        0.0078       -57482.7
        0.0081       -53861.8
        0.0084       -50568.4
        0.0087       -47555.2
         0.009       -44784.7
        0.0093       -42226.1
        0.0096       -39854.1
        0.0099       -37647.7
        0.0102       -35588.8
        0.0105       -33662.2
        0.0108       -31854.9
        0.0111       -30155.3
        0.0114       -28553.6
        0.0117       -27040.9
         0.012       -25609.5
        0.0123       -24252.5
        0.0126       -22963.5
        0.0129       -21737.1
        0.0132       -20568.1
        0.0135       -19451.7
        0.0138       -18383.6
        0.0141       -17359.9
        0.0144       -16376.6
        0.0147       -15430.3
         0.015       -14517.4
        0.0153       -13634.5
        0.0156       -12778.3
        0.0159       -11945.3
        0.0162         -11132
        0.0165       -10334.4
        0.0168        -9548.4
        0.0171       -8769.03
        0.0174       -7990.48
        0.0177       -7205.47
         0.018       -6404.51
        0.0183       -5574.43
        0.0186       -4695.84
        0.0189       -3737.91
        0.0192       -2647.14
        0.0195       -1319.25
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -125.087
         0.021       -875.272
        0.0213       -1361.97
        0.0216        -1694.1
        0.0219       -1927.75
        0.0222       -2094.63
        0.0225       -2214.14
        0.0228       -2298.86
        0.0231       -2357.38
        0.0234       -2395.78
        0.0237       -2418.52
         0.024       -2428.89
        0.0243       -2429.45
        0.0246       -2422.17
        0.0249       -2408.58
        0.0252       -2389.91
        0.0255       -2367.18
        0.0258       -2341.17
        0.0261       -2312.55
        0.0264       -2281.89
        0.0267       -2249.62
         0.027       -2216.12
        0.0273        -2181.7
        0.0276       -2146.62
        0.0279        -2111.1
        0.0282       -2075.32
        0.0285       -2039.44
        0.0288       -2003.58
        0.0291       -1967.87
        0.0294       -1932.39
        0.0297       -1897.23
          0.03       -1862.45
        0.0303        -1828.1
        0.0306       -1794.23
        0.0309       -1760.86
        0.0312       -1728.04
        0.0315       -1695.79
        0.0318       -1664.13
        0.0321       -1633.07
        0.0324       -1602.61
        0.0327       -1572.79
         0.033       -1543.59
        0.0333       -1515.03
        0.0336        -1487.1
        0.0339       -1459.81
        0.0342       -1433.15
        0.0345       -1407.13
        0.0348       -1381.75
        0.0351          -1357
        0.0354       -1332.87
        0.0357       -1309.38
         0.036        -1286.5
        0.0363       -1264.26
        0.0366       -1242.62
        0.0369        -1221.6
        0.0372        -1201.2
        0.0375        -1181.4
        0.0378        -1162.2
        0.0381        -1143.6
        0.0384       -1125.61
        0.0387        -1108.2
         0.039        -1091.4
        0.0393       -1075.18
        0.0396       -1059.56
        0.0399       -1044.52
        0.0402       -1030.06
        0.0405       -1016.19
        0.0408       -1002.89
        0.0411       -990.177
