particle,length
0,0.0146946
1,0.0186184
2,0.079155
3,0.0148575
4,0.105522
5,0.0223094
6,0.0149628
7,0.0148645
8,0.0564326
9,0.0676373
10,0.181614
11,0.0257623
12,0.0159933
13,0.0146104
14,0.0147545
15,0.0146561
16,0.0972664
17,0.0147472
18,0.135701
19,0.170912
20,0.0246337
21,0.0250661
22,0.0152633
23,0.101497
24,0.0180745
25,0.211142
26,0.0257882
27,0.0144671
28,0.0246054
29,0.0554507
30,0.170005
31,0.100406
32,0.0149963
33,0.0
34,0.025819
35,0.136814
36,0.0245153
37,0.0692763
38,0.0245139
39,0.0721729
40,0.0948029
41,0.0146082
42,0.163074
43,0.0168814
44,0.0150838
45,0.0260517
46,0.0252117
47,0.0561932
48,0.113343
49,0.167321
50,0.0178599
51,0.0202558
52,0.0264631
53,0.0667536
54,0.329347
55,0.0691687
56,0.0151612
57,0.0254308
58,0.0163701
59,0.0146865
60,0.0956114
61,0.0156334
62,0.174225
63,0.114237
64,0.111319
65,0.0253538
66,0.0588634
67,0.0266062
68,0.0147741
69,0.104204
70,0.0182665
71,0.0648393
72,0.0786545
73,0.0159216
74,0.014849
75,0.0271285
76,0.116446
77,0.0264495
78,0.0183217
79,0.0965241
80,0.0175808
81,0.0155272
82,0.0577174
83,0.0148877
84,0.0242834
85,0.016509
86,0.0587464
87,0.0145488
88,0.0605443
89,0.0694452
90,0.0156191
91,0.0153141
92,0.0154395
93,0.0891187
94,0.0152192
95,0.0245485
96,0.0149025
97,0.0945397
98,0.0885949
99,0.0163107
100,0.0147147
101,0.0155011
102,0.0221449
103,0.0243513
104,0.0688457
105,0.0561594
106,0.0273553
107,0.0746037
108,0.0147451
109,0.219463
110,0.0694042
111,0.0155495
112,0.0265413
113,0.0540663
114,0.0735621
115,0.0179364
116,0.0354514
117,0.441792
118,0.0178525
119,0.0149181
120,0.114474
121,0.019957
122,0.0701538
123,0.0152003
124,0.108912
125,0.0276048
126,0.0247014
127,0.101584
128,0.0157526
129,0.0262692
130,0.0248845
131,0.133842
132,0.0156954
133,0.0148774
