# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03        113.109
       -0.0297        477.065
       -0.0294        838.877
       -0.0291        1198.39
       -0.0288        1555.44
       -0.0285           1910
       -0.0282        2261.94
       -0.0279         2611.2
       -0.0276        2958.06
       -0.0273         3302.9
        -0.027        3646.01
       -0.0267        3987.41
       -0.0264        4327.08
       -0.0261        4664.95
       -0.0258        5000.87
       -0.0255        5334.75
       -0.0252        5666.46
       -0.0249        5995.83
       -0.0246        6322.35
       -0.0243        6645.47
        -0.024        6965.58
       -0.0237         7282.9
       -0.0234        7596.91
       -0.0231        7906.79
       -0.0228        8211.89
       -0.0225        8511.04
       -0.0222           8803
       -0.0219           9086
       -0.0216        9357.18
       -0.0213        9612.94
        -0.021        9849.42
       -0.0207        10060.3
       -0.0204        10233.8
       -0.0201        10347.7
       -0.0198        10298.4
       -0.0195        10115.5
       -0.0192        9887.77
       -0.0189        9622.93
       -0.0186         9324.1
       -0.0183        8994.41
        -0.018         8634.4
       -0.0177        8244.35
       -0.0174        7824.18
       -0.0171        7372.46
       -0.0168        6887.53
       -0.0165        6368.09
       -0.0162        5813.49
       -0.0159        5221.72
       -0.0156        4591.57
       -0.0153        3920.78
        -0.015        3207.44
       -0.0147         2449.2
       -0.0144        1643.29
       -0.0141        786.765
       -0.0138       -124.506
       -0.0135       -1095.24
       -0.0132       -2129.37
       -0.0129       -3231.95
       -0.0126       -4408.54
       -0.0123       -5665.64
        -0.012       -7009.58
       -0.0117       -8447.18
       -0.0114       -9986.32
       -0.0111       -11636.9
       -0.0108       -13410.3
       -0.0105       -15318.7
       -0.0102       -17375.4
       -0.0099       -19595.5
       -0.0096         -21996
       -0.0093       -24598.3
        -0.009       -27427.7
       -0.0087       -30513.6
       -0.0084       -33890.9
       -0.0081       -37601.2
       -0.0078       -41695.5
       -0.0075       -46237.6
       -0.0072         -51310
       -0.0069       -57020.8
       -0.0066       -63514.9
       -0.0063       -70987.7
        -0.006       -79692.7
       -0.0057       -89868.9
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99664.5
       -0.0042       -96931.9
       -0.0039         -94322
       -0.0036       -91996.4
       -0.0033       -89964.4
        -0.003       -88204.1
       -0.0027       -86690.7
       -0.0024       -85406.4
       -0.0021       -84305.6
       -0.0018       -83363.1
       -0.0015       -82569.5
       -0.0012       -81909.8
       -0.0009       -81370.4
       -0.0006       -80959.1
       -0.0003       -80693.6
             0       -80608.2
        0.0003       -80722.4
        0.0006       -81009.5
        0.0009         -81435
        0.0012       -81986.5
        0.0015       -82663.9
        0.0018       -83480.9
        0.0021         -84439
        0.0024       -85547.8
        0.0027       -86828.7
         0.003       -88325.3
        0.0033       -90059.8
        0.0036       -92066.1
        0.0039       -94368.6
        0.0042       -96954.5
        0.0045       -99665.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057       -89825.3
         0.006       -79617.1
        0.0063       -70904.3
        0.0066         -63431
        0.0069       -56938.4
        0.0072       -51231.5
        0.0075       -46165.4
        0.0078       -41632.3
        0.0081       -37549.7
        0.0084       -33851.9
        0.0087       -30486.2
         0.009       -27410.2
        0.0093       -24588.6
        0.0096       -21992.9
        0.0099       -19598.1
        0.0102       -17383.7
        0.0105       -15332.2
        0.0108       -13428.1
        0.0111       -11657.9
        0.0114       -10009.4
        0.0117       -8471.95
         0.012       -7035.92
        0.0123       -5692.63
        0.0126       -4435.06
        0.0129       -3257.14
        0.0132       -2153.66
        0.0135       -1119.86
        0.0138       -150.078
        0.0141         760.53
        0.0144        1615.95
        0.0147        2420.52
         0.015        3177.09
        0.0153        3889.14
        0.0156         4559.1
        0.0159        5189.77
        0.0162        5782.47
        0.0165         6337.7
        0.0168        6856.38
        0.0171        7340.99
        0.0174         7794.2
        0.0177        8215.28
         0.018        8605.11
        0.0183           8966
        0.0186         9297.5
        0.0189        9597.92
        0.0192        9865.93
        0.0195        10098.1
        0.0198        10285.9
        0.0201        10331.2
        0.0204        10211.2
        0.0207        10034.4
         0.021        9821.27
        0.0213        9582.04
        0.0216        9323.64
        0.0219        9050.25
        0.0222        8765.22
        0.0225         8472.1
        0.0228         8172.2
        0.0231        7866.72
        0.0234        7556.75
        0.0237         7243.2
         0.024        6926.51
        0.0243        6606.71
        0.0246        6284.08
        0.0249        5958.58
        0.0252        5630.27
        0.0255        5299.93
        0.0258         4967.7
        0.0261        4633.57
        0.0264        4297.68
        0.0267        3959.96
         0.027        3620.58
        0.0273        3279.46
        0.0276        2936.44
        0.0279        2591.54
        0.0282        2244.59
        0.0285         1895.3
        0.0288        1543.46
        0.0291        1189.06
        0.0294        832.308
        0.0297        473.381
          0.03        112.315
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
