# r (m)    potential (V)
       -0.0315       -3699.59
       -0.0312        -3701.4
       -0.0309       -3706.84
       -0.0306       -3715.92
       -0.0303       -3728.67
         -0.03       -3745.13
       -0.0297       -3765.34
       -0.0294       -3789.36
       -0.0291       -3817.27
       -0.0288       -3849.13
       -0.0285       -3885.05
       -0.0282       -3925.13
       -0.0279       -3969.49
       -0.0276       -4018.27
       -0.0273       -4071.61
        -0.027       -4129.67
       -0.0267       -4192.65
       -0.0264       -4260.73
       -0.0261       -4334.13
       -0.0258        -4413.1
       -0.0255       -4497.88
       -0.0252       -4588.76
       -0.0249       -4686.03
       -0.0246       -4790.03
       -0.0243       -4901.11
        -0.024       -5019.64
       -0.0237       -5146.04
       -0.0234       -5280.74
       -0.0231       -5424.19
       -0.0228       -5576.92
       -0.0225       -5739.43
       -0.0222       -5912.29
       -0.0219       -6096.11
       -0.0216       -6291.52
       -0.0213       -6499.21
        -0.021       -6719.86
       -0.0207       -6954.24
       -0.0204       -7203.13
       -0.0201       -7467.35
       -0.0198       -7747.76
       -0.0195       -8045.35
       -0.0192       -8361.08
       -0.0189       -8695.91
       -0.0186       -9050.83
       -0.0183       -9426.85
        -0.018       -9825.05
       -0.0177       -10246.6
       -0.0174       -10692.5
       -0.0171       -11164.2
       -0.0168       -11662.8
       -0.0165       -12189.7
       -0.0162       -12746.2
       -0.0159       -13333.8
       -0.0156       -13954.1
       -0.0153       -14608.6
        -0.015       -15299.2
       -0.0147       -16027.7
       -0.0144       -16796.1
       -0.0141       -17606.5
       -0.0138       -18461.3
       -0.0135       -19363.1
       -0.0132       -20314.6
       -0.0129         -21319
       -0.0126       -22379.6
       -0.0123       -23500.2
        -0.012         -24685
       -0.0117       -25938.7
       -0.0114       -27266.6
       -0.0111       -28674.5
       -0.0108       -30169.3
       -0.0105       -31758.4
       -0.0102       -33450.5
       -0.0099       -35255.6
       -0.0096       -37185.1
       -0.0093       -39252.4
        -0.009       -41472.9
       -0.0087         -43865
       -0.0084       -46450.5
       -0.0081       -49255.7
       -0.0078       -52312.6
       -0.0075       -55660.8
       -0.0072       -59350.1
       -0.0069       -63444.5
       -0.0066       -68028.3
       -0.0063       -73216.3
        -0.006       -79172.4
       -0.0057       -86148.2
       -0.0054       -94595.4
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99777.8
       -0.0039       -98316.4
       -0.0036       -97070.2
       -0.0033       -96038.6
        -0.003       -95208.4
       -0.0027       -94558.2
       -0.0024       -94063.8
       -0.0021       -93700.7
       -0.0018       -93445.6
       -0.0015       -93276.4
       -0.0012       -93172.5
       -0.0009       -93115.2
       -0.0006       -93088.4
       -0.0003       -93078.7
             0       -93076.4
        0.0003       -93076.3
        0.0006       -93076.8
        0.0009       -93080.8
        0.0012         -93095
        0.0015       -93130.3
        0.0018       -93201.2
        0.0021       -93324.6
        0.0024         -93520
        0.0027       -93808.3
         0.003       -94212.2
        0.0033       -94755.3
        0.0036       -95462.1
        0.0039       -96356.2
        0.0042       -97456.7
        0.0045         -98773
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91638.5
        0.0063       -83734.3
        0.0066       -77120.4
        0.0069       -71434.6
        0.0072       -66458.8
        0.0075       -62046.9
        0.0078       -58094.6
        0.0081         -54525
        0.0084       -51278.9
        0.0087       -48310.2
         0.009         -45582
        0.0093       -43064.3
        0.0096       -40732.3
        0.0099       -38565.5
        0.0102       -36546.6
        0.0105       -34660.8
        0.0108       -32895.4
        0.0111       -31239.6
        0.0114       -29683.9
        0.0117       -28219.9
         0.012       -26840.4
        0.0123         -25539
        0.0126       -24309.9
        0.0129       -23148.2
        0.0132       -22049.3
        0.0135       -21009.1
        0.0138       -20024.1
        0.0141       -19090.8
        0.0144       -18206.4
        0.0147       -17368.2
         0.015       -16573.6
        0.0153       -15820.3
        0.0156       -15106.3
        0.0159       -14429.7
        0.0162       -13788.5
        0.0165       -13181.1
        0.0168       -12605.9
        0.0171       -12061.5
        0.0174       -11546.2
        0.0177       -11058.8
         0.018       -10598.1
        0.0183       -10162.6
        0.0186       -9751.35
        0.0189       -9363.07
        0.0192       -8996.68
        0.0195       -8651.11
        0.0198       -8325.37
        0.0201        -8018.5
        0.0204       -7729.55
        0.0207       -7457.51
         0.021        -7201.5
        0.0213       -6960.66
        0.0216       -6734.17
        0.0219       -6521.25
        0.0222       -6321.16
        0.0225        -6133.2
        0.0228       -5956.73
        0.0231       -5791.11
        0.0234       -5635.77
        0.0237       -5490.14
         0.024       -5353.72
        0.0243       -5226.02
        0.0246       -5106.59
        0.0249       -4995.01
        0.0252       -4890.89
        0.0255       -4793.87
        0.0258       -4703.61
        0.0261       -4619.81
        0.0264       -4542.17
        0.0267       -4470.43
         0.027       -4404.35
        0.0273       -4343.71
        0.0276       -4288.31
        0.0279       -4237.96
        0.0282       -4192.51
        0.0285       -4151.81
        0.0288       -4115.72
        0.0291       -4084.14
        0.0294       -4056.96
        0.0297       -4034.11
          0.03        -4015.5
        0.0303       -4001.09
        0.0306       -3990.83
        0.0309       -3984.68
        0.0312       -3982.64
