# r (m)    potential (V)
       -0.0315       -1379.77
       -0.0312       -1380.73
       -0.0309       -1383.54
       -0.0306       -1388.15
       -0.0303       -1394.65
         -0.03       -1403.14
       -0.0297       -1413.62
       -0.0294       -1426.16
       -0.0291       -1440.71
       -0.0288        -1457.3
       -0.0285       -1476.03
       -0.0282       -1497.07
       -0.0279       -1520.36
       -0.0276       -1546.06
       -0.0273       -1574.21
        -0.027       -1605.02
       -0.0267       -1638.52
       -0.0264       -1674.87
       -0.0261       -1714.28
       -0.0258       -1756.94
       -0.0255       -1802.94
       -0.0252       -1852.54
       -0.0249       -1905.77
       -0.0246        -1962.9
       -0.0243       -2024.11
        -0.024        -2089.7
       -0.0237       -2159.97
       -0.0234       -2235.26
       -0.0231       -2315.93
       -0.0228       -2402.35
       -0.0225       -2494.95
       -0.0222       -2594.01
       -0.0219       -2699.93
       -0.0216       -2813.41
       -0.0213       -2935.01
        -0.021       -3065.23
       -0.0207       -3204.74
       -0.0204       -3354.16
       -0.0201        -3514.3
       -0.0198       -3686.48
       -0.0195       -3880.34
       -0.0192       -4103.52
       -0.0189       -4351.35
       -0.0186       -4623.03
       -0.0183       -4918.24
        -0.018       -5237.35
       -0.0177       -5581.58
       -0.0174       -5951.94
       -0.0171       -6349.06
       -0.0168          -6774
       -0.0165       -7228.18
       -0.0162       -7713.16
       -0.0159       -8230.72
       -0.0156       -8782.63
       -0.0153       -9371.06
        -0.015       -9998.61
       -0.0147       -10667.7
       -0.0144       -11380.4
       -0.0141       -12139.5
       -0.0138       -12948.3
       -0.0135       -13809.4
       -0.0132       -14725.8
       -0.0129       -15701.1
       -0.0126       -16738.6
       -0.0123       -17842.3
        -0.012       -19017.1
       -0.0117       -20267.9
       -0.0114       -21600.6
       -0.0111         -23022
       -0.0108       -24539.7
       -0.0105       -26162.6
       -0.0102       -27900.8
       -0.0099       -29765.8
       -0.0096       -31770.8
       -0.0093       -33930.8
        -0.009       -36262.8
       -0.0087       -38787.4
       -0.0084         -41529
       -0.0081       -44516.9
       -0.0078       -47787.3
       -0.0075       -51384.9
       -0.0072       -55365.6
       -0.0069       -59801.2
       -0.0066       -64786.9
       -0.0063       -70452.3
        -0.006       -76982.3
       -0.0057       -84661.9
       -0.0054       -94001.9
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99699.9
       -0.0039       -97722.1
       -0.0036       -95994.7
       -0.0033       -94507.8
        -0.003       -93244.9
       -0.0027       -92182.6
       -0.0024       -91291.9
       -0.0021         -90546
       -0.0018       -89915.1
       -0.0015       -89373.8
       -0.0012       -88905.5
       -0.0009       -88504.6
       -0.0006       -88175.5
       -0.0003       -87922.9
             0       -87764.7
        0.0003       -87728.4
        0.0006       -87814.5
        0.0009       -88012.1
        0.0012       -88293.2
        0.0015       -88648.6
        0.0018       -89072.5
        0.0021       -89563.9
        0.0024       -90131.3
        0.0027       -90794.8
         0.003       -91583.4
        0.0033       -92524.6
        0.0036       -93646.8
        0.0039       -94978.5
        0.0042       -96540.4
        0.0045       -98345.4
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -90730.7
        0.0063         -82006
        0.0066       -74736.9
        0.0069       -68513.2
        0.0072       -63088.1
        0.0075       -58296.8
        0.0078       -54021.8
        0.0081       -50176.3
        0.0084       -46693.6
        0.0087       -43522.1
         0.009       -40620.4
        0.0093       -37954.7
        0.0096       -35497.3
        0.0099       -33224.9
        0.0102       -31118.5
        0.0105       -29161.5
        0.0108       -27339.8
        0.0111       -25640.5
        0.0114       -24052.8
        0.0117       -22567.2
         0.012       -21175.3
        0.0123       -19869.7
        0.0126       -18644.1
        0.0129       -17492.8
        0.0132       -16410.8
        0.0135       -15393.4
        0.0138         -14437
        0.0141       -13538.2
        0.0144       -12693.7
        0.0147       -11900.2
         0.015         -11155
        0.0153       -10455.5
        0.0156       -9798.75
        0.0159       -9181.96
        0.0162       -8602.89
        0.0165       -8059.66
        0.0168       -7550.38
        0.0171       -7073.24
        0.0174        -6626.7
        0.0177       -6209.25
         0.018       -5819.34
        0.0183       -5455.91
        0.0186       -5118.55
        0.0189       -4806.13
        0.0192       -4517.65
        0.0195       -4252.98
        0.0198       -4012.36
        0.0201       -3796.79
        0.0204       -3612.65
        0.0207       -3444.04
         0.021       -3287.54
        0.0213       -3142.15
        0.0216       -3006.76
        0.0219       -2880.39
        0.0222       -2762.45
        0.0225       -2652.44
        0.0228       -2549.99
        0.0231       -2454.47
        0.0234       -2365.29
        0.0237       -2282.11
         0.024       -2204.64
        0.0243       -2132.34
        0.0246       -2064.95
        0.0249       -2002.32
        0.0252       -1944.03
        0.0255       -1889.94
        0.0258       -1839.81
        0.0261       -1793.53
        0.0264       -1750.87
        0.0267       -1711.71
         0.027       -1675.83
        0.0273       -1642.95
        0.0276       -1613.03
        0.0279       -1585.89
        0.0282       -1561.42
        0.0285       -1539.59
        0.0288        -1520.3
        0.0291       -1503.58
        0.0294       -1489.19
        0.0297       -1477.09
          0.03       -1467.23
        0.0303       -1459.63
        0.0306       -1454.28
        0.0309       -1451.08
        0.0312       -1450.02
