# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -39.7541
       -0.0297       -168.836
       -0.0294         -299.2
       -0.0291       -430.976
       -0.0288       -564.325
       -0.0285       -699.429
       -0.0282       -836.485
       -0.0279       -975.705
       -0.0276       -1117.31
       -0.0273       -1261.54
        -0.027       -1408.64
       -0.0267       -1558.86
       -0.0264        -1712.5
       -0.0261       -1869.83
       -0.0258       -2031.17
       -0.0255       -2196.84
       -0.0252       -2367.19
       -0.0249       -2542.59
       -0.0246       -2723.42
       -0.0243       -2910.11
        -0.024       -3103.08
       -0.0237       -3302.81
       -0.0234       -3509.78
       -0.0231       -3724.51
       -0.0228       -3947.57
       -0.0225       -4179.52
       -0.0222          -4421
       -0.0219       -4672.64
       -0.0216       -4935.14
       -0.0213       -5209.22
        -0.021       -5495.62
       -0.0207       -5795.15
       -0.0204       -6108.64
       -0.0201       -6436.94
       -0.0198       -6780.97
       -0.0195       -7141.67
       -0.0192       -7520.01
       -0.0189       -7917.01
       -0.0186       -8333.73
       -0.0183       -8771.24
        -0.018       -9230.68
       -0.0177       -9713.23
       -0.0174       -10220.1
       -0.0171       -10752.6
       -0.0168         -11312
       -0.0165       -11899.7
       -0.0162       -12517.1
       -0.0159       -13165.9
       -0.0156       -13847.6
       -0.0153       -14563.9
        -0.015       -15316.8
       -0.0147       -16108.1
       -0.0144       -16940.1
       -0.0141       -17815.1
       -0.0138       -18735.5
       -0.0135       -19704.3
       -0.0132       -20724.3
       -0.0129       -21799.1
       -0.0126       -22932.2
       -0.0123       -24127.8
        -0.012       -25390.6
       -0.0117       -26725.8
       -0.0114         -28139
       -0.0111       -29636.8
       -0.0108       -31226.8
       -0.0105       -32917.3
       -0.0102         -34718
       -0.0099       -36640.1
       -0.0096       -38696.4
       -0.0093       -40902.2
        -0.009         -43275
       -0.0087       -45836.1
       -0.0084       -48610.6
       -0.0081       -51629.3
       -0.0078         -54930
       -0.0075       -58559.8
       -0.0072       -62579.2
       -0.0069       -67066.5
       -0.0066       -72126.5
       -0.0063       -77900.5
        -0.006       -84574.4
       -0.0057       -92323.5
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99832.1
       -0.0042       -98471.9
       -0.0039       -97220.4
       -0.0036       -96167.8
       -0.0033       -95316.4
        -0.003       -94647.8
       -0.0027       -94138.4
       -0.0024       -93763.8
       -0.0021       -93500.6
       -0.0018       -93326.3
       -0.0015         -93220
       -0.0012       -93162.6
       -0.0009       -93137.1
       -0.0006       -93129.7
       -0.0003       -93129.6
             0       -93130.4
        0.0003       -93129.6
        0.0006       -93129.6
        0.0009       -93137.1
        0.0012       -93162.4
        0.0015       -93219.8
        0.0018         -93326
        0.0021       -93500.2
        0.0024       -93763.3
        0.0027       -94137.7
         0.003         -94647
        0.0033       -95315.5
        0.0036       -96166.7
        0.0039       -97219.2
        0.0042       -98470.7
        0.0045       -99831.1
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057         -92336
         0.006       -84583.8
        0.0063       -77909.9
        0.0066       -72136.1
        0.0069       -67076.6
        0.0072       -62589.7
        0.0075       -58570.8
        0.0078       -54941.6
        0.0081       -51641.7
        0.0084       -48623.8
        0.0087       -45850.2
         0.009       -43290.2
        0.0093       -40918.5
        0.0096         -38714
        0.0099         -36659
        0.0102       -34738.4
        0.0105       -32939.3
        0.0108       -31250.4
        0.0111       -29662.2
        0.0114       -28166.2
        0.0117       -26754.8
         0.012       -25421.6
        0.0123       -24160.8
        0.0126       -22967.2
        0.0129         -21836
        0.0132       -20763.3
        0.0135       -19745.3
        0.0138       -18778.5
        0.0141       -17859.9
        0.0144       -16986.8
        0.0147       -16156.6
         0.015       -15366.8
        0.0153       -14615.4
        0.0156       -13900.4
        0.0159       -13219.9
        0.0162       -12572.1
        0.0165       -11955.5
        0.0168       -11368.4
        0.0171       -10809.4
        0.0174       -10277.1
        0.0177       -9770.19
         0.018       -9287.42
        0.0183       -8827.55
        0.0186       -8389.43
        0.0189       -7971.92
        0.0192       -7573.96
        0.0195        -7194.5
        0.0198       -6832.55
        0.0201       -6487.15
        0.0204       -6157.37
        0.0207       -5842.31
         0.021       -5541.13
        0.0213       -5253.02
        0.0216       -4977.19
        0.0219       -4712.91
        0.0222       -4459.45
        0.0225       -4216.16
        0.0228       -3982.39
        0.0231       -3757.53
        0.0234          -3541
        0.0237       -3332.27
         0.024        -3130.8
        0.0243       -2936.12
        0.0246       -2747.76
        0.0249       -2565.29
        0.0252        -2388.3
        0.0255       -2216.39
        0.0258       -2049.21
        0.0261        -1886.4
        0.0264       -1727.63
        0.0267        -1572.6
         0.027       -1421.01
        0.0273       -1272.59
        0.0276       -1127.08
        0.0279       -984.209
        0.0282       -843.758
        0.0285       -705.496
        0.0288        -569.21
        0.0291         -434.7
        0.0294       -301.781
        0.0297        -170.29
          0.03       -40.0964
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
