# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297         436.45
       -0.0294        1325.43
       -0.0291        2212.38
       -0.0288        3094.25
       -0.0285        3969.37
       -0.0282        4836.51
       -0.0279        5694.15
       -0.0276        6540.59
       -0.0273        7373.88
        -0.027        8191.73
       -0.0267        8991.93
       -0.0264        9771.36
       -0.0261          10527
       -0.0258        11257.2
       -0.0255        11958.1
       -0.0252        12623.6
       -0.0249        13247.7
       -0.0246        13825.3
       -0.0243          14350
        -0.024        14810.7
       -0.0237        15195.3
       -0.0234        15492.3
       -0.0231        15685.1
       -0.0228        15752.9
       -0.0225        15667.7
       -0.0222        15392.8
       -0.0219        14879.4
       -0.0216          14059
       -0.0213        12830.9
        -0.021          11052
       -0.0207        8467.31
       -0.0204        4609.23
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192        746.579
       -0.0189        7172.96
       -0.0186        11750.3
       -0.0183        15265.5
        -0.018        18093.2
       -0.0177        20433.9
       -0.0174        22404.3
       -0.0171        24077.8
       -0.0168        25502.5
       -0.0165        26711.9
       -0.0162        27730.2
       -0.0159        28575.1
       -0.0156        29259.8
       -0.0153        29794.3
        -0.015        30185.8
       -0.0147        30438.6
       -0.0144          30555
       -0.0141        30536.7
       -0.0138        30383.4
       -0.0135        30094.6
       -0.0132        29667.1
       -0.0129        29097.8
       -0.0126        28383.3
       -0.0123        27518.1
        -0.012        26494.9
       -0.0117        25306.2
       -0.0114        23944.4
       -0.0111        22400.1
       -0.0108        20661.4
       -0.0105        18714.7
       -0.0102        16543.8
       -0.0099        14129.3
       -0.0096        11449.7
       -0.0093        8478.69
        -0.009        5185.58
       -0.0087        1533.04
       -0.0084       -2524.18
       -0.0081          -7041
       -0.0078       -12083.8
       -0.0075       -17734.8
       -0.0072       -24099.4
       -0.0069       -31316.2
       -0.0066       -39563.7
       -0.0063       -49077.5
        -0.006       -60187.9
       -0.0057       -73396.5
       -0.0054       -89583.1
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99025.2
       -0.0039       -92601.2
       -0.0036       -86822.4
       -0.0033       -81610.5
        -0.003       -76914.7
       -0.0027       -72691.4
       -0.0024         -68899
       -0.0021       -65508.6
       -0.0018       -62510.2
       -0.0015       -59930.4
       -0.0012       -57860.7
       -0.0009       -56379.9
       -0.0006       -55452.1
       -0.0003       -54953.4
             0       -54782.2
        0.0003       -54865.1
        0.0006       -55155.8
        0.0009       -55634.2
        0.0012       -56319.9
        0.0015       -57299.1
        0.0018       -58733.8
        0.0021       -60743.6
        0.0024       -63323.2
        0.0027       -66391.6
         0.003       -69899.7
        0.0033       -73852.5
        0.0036         -78277
        0.0039       -83191.8
        0.0042       -88623.3
        0.0045       -94618.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -83395.2
        0.0063       -67830.7
        0.0066       -54968.8
        0.0069       -44074.6
        0.0072       -34695.7
        0.0075       -26523.4
        0.0078         -19336
        0.0081       -12967.3
        0.0084       -7287.13
        0.0087       -2195.44
         0.009        2384.77
        0.0093        6515.71
        0.0096        10249.3
        0.0099        13628.3
        0.0102        16687.9
        0.0105        19458.7
        0.0108          21966
        0.0111        24231.9
        0.0114        26274.4
        0.0117        28107.8
         0.012        29745.7
        0.0123        31199.3
        0.0126        32477.8
        0.0129        33589.5
        0.0132        34542.1
        0.0135          35341
        0.0138          35990
        0.0141        36492.6
        0.0144        36849.4
        0.0147        37059.4
         0.015        37121.2
        0.0153        37031.5
        0.0156        36785.8
        0.0159        36377.6
        0.0162        35797.7
        0.0165        35032.6
        0.0168        34063.7
        0.0171        32870.6
        0.0174          31426
        0.0177        29690.5
         0.018        27607.6
        0.0183        25097.1
        0.0186        22042.6
        0.0189        18260.2
        0.0192        13429.7
        0.0195        6929.73
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207        1299.18
         0.021        9253.59
        0.0213        14645.3
        0.0216        18530.6
        0.0219        21436.1
        0.0222        23667.4
        0.0225        25404.3
        0.0228          26766
        0.0231        27833.1
        0.0234        28668.5
        0.0237          29314
         0.024        29802.8
        0.0243        30160.6
        0.0246        30408.1
        0.0249        30565.1
        0.0252        30645.3
        0.0255          30662
        0.0258        30622.4
        0.0261        30536.5
        0.0264        30409.2
        0.0267        30246.4
         0.027        30053.2
        0.0273        29836.2
        0.0276        29600.1
        0.0279        29347.5
        0.0282        29080.3
        0.0285        28800.4
        0.0288        28509.8
        0.0291        28210.6
        0.0294        27904.7
        0.0297        27593.4
          0.03        27277.3
        0.0303        26958.2
        0.0306        26637.2
        0.0309        26315.6
        0.0312        25993.3
        0.0315        25672.1
        0.0318        25352.6
        0.0321        25035.4
        0.0324        24720.7
        0.0327        24409.3
         0.033        24101.7
        0.0333        23798.3
        0.0336        23499.1
        0.0339        23205.5
        0.0342        22914.2
        0.0345        22626.4
        0.0348        22344.7
        0.0351        22068.8
        0.0354        21798.7
        0.0357        21534.4
         0.036        21276.3
        0.0363        21024.1
        0.0366          20778
        0.0369        20537.9
        0.0372          20304
        0.0375        20076.2
        0.0378        19854.8
        0.0381        19639.6
        0.0384        19430.8
        0.0387        19228.4
         0.039        19032.2
        0.0393        18842.2
        0.0396        18658.9
        0.0399        18482.1
        0.0402        18311.7
        0.0405        18147.9
        0.0408        17990.8
        0.0411        17840.6
        0.0414        17695.9
        0.0417        17557.8
         0.042        17426.7
        0.0423        17302.3
        0.0426        17184.8
        0.0429        17073.9
        0.0432        16969.6
        0.0435          16872
        0.0438          16781
        0.0441        16696.7
        0.0444        16618.8
        0.0447        16547.6
         0.045        16483.2
        0.0453        16425.1
        0.0456        16373.7
