# iteration    r (m)    potential (V)
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03              0
         1        -0.0297      -0.395164
         1        -0.0294       -1.20887
         1        -0.0291       -2.03269
         1        -0.0288       -2.86378
         1        -0.0285       -3.70077
         1        -0.0282       -4.54259
         1        -0.0279       -5.38819
         1        -0.0276       -6.23638
         1        -0.0273        -7.0858
         1         -0.027       -7.93487
         1        -0.0267       -8.78172
         1        -0.0264       -9.62415
         1        -0.0261       -10.4595
         1        -0.0258       -11.2847
         1        -0.0255        -12.096
         1        -0.0252       -12.8887
         1        -0.0249       -13.6575
         1        -0.0246       -14.3955
         1        -0.0243       -15.0946
         1         -0.024       -15.7445
         1        -0.0237       -16.3326
         1        -0.0234       -16.8429
         1        -0.0231       -17.2548
         1        -0.0228        -17.542
         1        -0.0225       -17.6696
         1        -0.0222       -17.5909
         1        -0.0219       -17.2413
         1        -0.0216       -16.5291
         1        -0.0213       -15.3184
         1         -0.021       -13.3981
         1        -0.0207       -10.4181
         1        -0.0204       -5.74991
         1        -0.0201              0
         1        -0.0198              0
         1        -0.0195              0
         1        -0.0192       -1.82918
         1        -0.0189       -18.2469
         1        -0.0186       -30.9087
         1        -0.0183        -41.616
         1         -0.018       -51.2037
         1        -0.0177        -60.114
         1        -0.0174       -68.6079
         1        -0.0171       -76.8535
         1        -0.0168        -84.967
         1        -0.0165        -93.034
         1        -0.0162       -101.121
         1        -0.0159       -109.281
         1        -0.0156       -117.562
         1        -0.0153       -126.002
         1         -0.015        -134.64
         1        -0.0147       -143.511
         1        -0.0144       -152.647
         1        -0.0141       -162.083
         1        -0.0138       -171.853
         1        -0.0135       -181.991
         1        -0.0132       -192.534
         1        -0.0129       -203.521
         1        -0.0126       -214.991
         1        -0.0123        -226.99
         1         -0.012       -239.565
         1        -0.0117       -252.768
         1        -0.0114       -266.658
         1        -0.0111       -281.297
         1        -0.0108       -296.756
         1        -0.0105       -313.117
         1        -0.0102       -330.469
         1        -0.0099       -348.914
         1        -0.0096       -368.572
         1        -0.0093       -389.577
         1         -0.009       -412.088
         1        -0.0087       -436.291
         1        -0.0084       -462.407
         1        -0.0081       -490.701
         1        -0.0078       -521.495
         1        -0.0075       -555.187
         1        -0.0072       -592.278
         1        -0.0069        -633.41
         1        -0.0066       -679.427
         1        -0.0063       -731.483
         1         -0.006       -791.219
         1        -0.0057        -861.16
         1        -0.0054       -945.831
         1        -0.0051          -1000
         1        -0.0048          -1000
         1        -0.0045          -1000
         1        -0.0042       -997.785
         1        -0.0039       -983.217
         1        -0.0036         -970.8
         1        -0.0033        -960.53
         1         -0.003       -952.275
         1        -0.0027       -945.819
         1        -0.0024       -940.921
         1        -0.0021       -937.338
         1        -0.0018       -934.833
         1        -0.0015       -933.187
         1        -0.0012       -932.191
         1        -0.0009       -931.659
         1        -0.0006       -931.427
         1        -0.0003       -931.361
         1              0       -931.361
         1         0.0003       -931.368
         1         0.0006       -931.369
         1         0.0009       -931.391
         1         0.0012       -931.509
         1         0.0015       -931.832
         1         0.0018       -932.505
         1         0.0021       -933.701
         1         0.0024       -935.613
         1         0.0027       -938.452
         1          0.003       -942.445
         1         0.0033       -947.828
         1         0.0036       -954.845
         1         0.0039       -963.732
         1         0.0042       -974.681
         1         0.0045       -987.782
         1         0.0048          -1000
         1         0.0051          -1000
         1         0.0054          -1000
         1         0.0057          -1000
         1          0.006       -916.382
         1         0.0063       -837.326
         1         0.0066       -771.161
         1         0.0069       -714.263
