# iter      epot diff   scharge diff 
     1        1517.03     0.00857553 
     2        546.515     0.00173286 
     3        123.856     0.00176707 
     4         17.819     0.00164331 
     5        13.6463     0.00150371 
     6        12.5466     0.00151046 
     7        10.6855     0.00144651 
     8        10.3193     0.00148064 
     9        12.5022     0.00136817 
    10        16.3884     0.00222059 
    11        17.0383     0.00167782 
    12        13.5854     0.00155477 
    13         13.681     0.00145204 
    14        11.3538     0.00155441 
    15        10.7887     0.00164137 
    16        16.4002     0.00157408 
    17        13.6985     0.00175181 
    18        11.3855     0.00155972 
    19         13.063     0.00158581 
