x axis: average potential at r=0 = -9628.7860 V
 iteration  potential
         1   -9313.60
         2   -9622.65
         3   -9647.61
         4   -9646.59
         5   -9646.48
         6   -9646.54
         7   -9646.69
         8   -9646.62
         9   -9646.54
        10   -9646.50
        11   -9646.52
        12   -9646.61
        13   -9646.58
        14   -9646.62
        15   -9646.60
        16   -9646.64
        17   -9646.63
        18   -9646.52
        19   -9646.58
        20   -9646.60

y axis: average potential at r=0 = -9628.7860 V
 iteration  potential
         1   -9313.60
         2   -9622.65
         3   -9647.61
         4   -9646.59
         5   -9646.48
         6   -9646.54
         7   -9646.69
         8   -9646.62
         9   -9646.54
        10   -9646.50
        11   -9646.52
        12   -9646.61
        13   -9646.58
        14   -9646.62
        15   -9646.60
        16   -9646.64
        17   -9646.63
        18   -9646.52
        19   -9646.58
        20   -9646.60

z axis: average potential at r=0 = -9628.7860 V
 iteration  potential
         1   -9313.60
         2   -9622.65
         3   -9647.61
         4   -9646.59
         5   -9646.48
         6   -9646.54
         7   -9646.69
         8   -9646.62
         9   -9646.54
        10   -9646.50
        11   -9646.52
        12   -9646.61
        13   -9646.58
        14   -9646.62
        15   -9646.60
        16   -9646.64
        17   -9646.63
        18   -9646.52
        19   -9646.58
        20   -9646.60

