# Memory breakdown for run25/
# N_clouds (ions)     = 800000
# N_clouds_e (electrons) = 800000
# bytes/particle = 108, bytes/step = 56
# Mesh nodes = 17808000 (4 scalar + 1 vector(3) fields)
# Mesh-field memory     = 0.929 GB
# Solver workspace est. = 1.858 GB
# Geometry est.         = 0.066 GB
# Constant overhead total = 2.853 GB
# Particle data (constant)  = 0.161 GB
#
# iter  ion_steps  e_steps  traj_MB  overhead_MB  total_GB
     1     61060166     31389189    4937.33      3085.88    7.8352
     2     98765900     44814122    7668.00      3085.88   10.5018
     3    103499717     45638562    7964.84      3085.88   10.7917
     4    100589200     48438473    7958.94      3085.88   10.7860
     5    100675174     48636368    7974.10      3085.88   10.8008
     6    100570418     48431753    7957.57      3085.88   10.7846
     7    100522796     48563306    7962.06      3085.88   10.7890
     8    100347354     48330542    7940.26      3085.88   10.7677
     9    100583749     48594947    7967.00      3085.88   10.7938
    10    100570476     48481305    7960.22      3085.88   10.7872
    11    100121439     48391021    7931.42      3085.88   10.7591
    12    100550797     48504006    7960.39      3085.88   10.7874
    13    100651579     48377529    7959.01      3085.88   10.7860
    14    100436668     48510144    7954.62      3085.88   10.7817
    15    101156668     48434312    7989.02      3085.88   10.8153
    16     99912900     48614882    7932.24      3085.88   10.7599
    17    100654084     48383116    7959.45      3085.88   10.7864
    18    100472421     48574776    7959.98      3085.88   10.7870
    19    100655712     48501286    7965.84      3085.88   10.7927
    20    100820811     48462899    7972.61      3085.88   10.7993
