particle,length
0,0.0673271
1,0.219157
2,0.0569313
3,0.0270133
4,0.0162753
5,0.0266657
6,0.0682261
7,0.547041
8,0.0145736
9,0.15359
10,0.326035
11,0.0243773
12,0.0153109
13,0.0173135
14,0.0159658
15,0.0146895
16,0.02416
17,0.110609
18,0.234082
19,0.018402
20,0.0156962
21,0.118863
22,0.0146004
23,0.0252032
24,0.0145133
25,0.0242719
26,0.0771505
27,0.31138
28,0.0720684
29,0.0664805
30,0.169222
31,0.0183304
32,0.0690299
33,0.0251104
34,0.015478
35,0.0811382
36,0.0147711
37,0.0246297
38,0.418704
39,0.49422
40,0.0265249
41,0.0149445
42,0.0245206
43,0.0729386
44,0.106258
45,0.0154773
46,0.0179239
47,0.0145168
48,0.0250805
49,0.0166663
50,0.166785
51,0.0646931
52,0.0244158
53,0.068561
54,0.111458
55,0.0150312
56,0.0756695
57,0.0149977
58,0.0604847
59,0.115276
60,0.0147174
61,0.0742745
62,0.0158441
63,0.0246845
64,0.0839131
65,0.0261395
66,0.0244166
67,0.0151604
68,0.0214306
69,0.0171571
70,0.0184147
71,0.0890779
72,0.0162456
73,0.0177315
74,0.119056
75,0.0146983
76,0.0159907
77,0.0620077
78,0.0222241
79,0.115033
80,0.644065
81,0.0152383
82,0.0147815
83,0.145516
84,0.0145485
85,0.0145317
86,0.0148684
87,0.240402
88,0.0270356
89,0.110302
90,0.076134
91,0.0158207
92,0.0669419
93,0.0681898
94,0.0660917
95,0.0157643
96,0.226656
97,0.015044
98,0.11037
99,0.262716
100,0.185573
101,0.0245847
102,0.0194174
103,0.0186386
104,0.0688429
105,0.695572
106,0.129437
107,0.0244556
108,0.104252
109,0.080626
110,0.618657
111,0.111879
112,0.110794
113,0.0832995
114,0.0747343
115,0.0607956
116,0.0790104
117,0.0258699
118,0.0732953
119,0.0671005
120,0.0182356
121,0.146836
122,0.0165007
123,0.0596865
124,0.0256183
125,0.0276324
126,0.0148706
127,0.217282
128,0.017768
129,0.0241867
130,0.0620506
131,0.0145712
132,0.143987
133,0.700919
134,0.620972
135,0.060488
136,0.0152913
137,0.0565326
138,0.0145926
139,0.0268914
140,0.0619503
141,0.0806684
142,0.0801267
143,0.0154349
144,0.0722563
145,0.272459
146,0.0610555
147,0.1097
148,0.0259565
149,0.0244218
150,0.210053
151,0.014929
152,0.076588
153,0.026223
154,0.0149318
155,0.0145645
156,0.0564377
157,0.0672141
158,0.0617463
159,0.0597336
160,0.0565712
161,0.0969444
162,0.0147547
163,0.151993
164,0.0257537
165,0.0611362
166,0.0207146
167,0.0243072
168,0.0573693
169,0.101934
170,0.147699
171,0.116374
172,0.01818
173,0.0557988
174,0.189011
175,0.0149348
176,0.0607186
177,0.0165584
178,0.0210164
179,0.0154981
180,0.0152276
181,0.14738
182,0.0152399
183,0.0151571
184,0.178563
185,0.199475
186,0.0550431
187,0.0153821
188,0.0154181
189,0.0179272
190,0.0715222
191,0.0147038
192,0.0244922
193,0.120046
194,0.232832
195,0.141174
196,0.0248051
197,0.0153441
198,0.0245673
199,0.0561566
200,0.0657845
201,0.138903
202,0.0892583
203,0.0146422
204,0.480418
205,0.173102
206,0.015276
207,0.0708495
208,0.0610252
209,0.0247017
210,0.024747
211,0.019107
212,0.108435
213,0.176398
214,0.0243126
215,0.0145459
216,0.116108
217,0.146922
218,0.0713609
219,0.0726071
220,0.0248485
221,0.0262594
222,0.112281
223,0.0896002
224,0.0167937
225,0.0179369
226,0.0585398
227,0.0214638
228,0.0602843
229,0.0145161
230,0.0164036
231,0.101027
232,0.0200051
233,0.0309803
234,0.0147872
235,0.152721
236,0.0205794
237,0.01472
238,0.104161
239,0.025947
240,0.100494
241,0.0791126
242,0.108348
243,0.0249788
244,0.0242722
245,0.0150486
246,0.0146644
247,0.0151252
248,0.0146256
249,0.0180883
250,0.105321
251,0.0246513
252,0.111293
253,0.0148377
254,0.0146078
255,0.124583
256,0.0155654
257,0.0146537
258,0.0260616
259,0.0773757
260,0.0660615
261,0.116905
262,0.0236786
263,0.0226878
264,0.0240377
265,0.105934
266,0.0178955
267,0.102682
268,0.108729
269,0.117053
270,0.0151497
271,0.334857
272,0.0147057
273,0.028616
274,0.0726365
275,0.0156609
276,0.0772498
277,0.0733552
278,0.0153567
279,0.203103
280,0.0150881
281,0.0163387
282,0.0795938
283,0.070385
284,0.0146127
285,0.057155
286,0.016445
287,0.0205484
288,0.0176758
289,0.024622
290,0.0154211
291,0.0585267
292,0.0668294
293,0.0147327
294,0.0241451
295,0.149433
296,0.0803564
297,0.130928
298,0.0174162
299,0.0228655
300,0.0156252
301,0.0321672
302,0.165366
303,0.943911
304,0.0161045
305,0.0714447
306,0.105717
307,0.108978
308,0.0665859
309,0.0158393
310,0.105102
311,0.0246587
312,0.0163261
313,0.0571206
314,0.0148893
315,0.0819731
316,0.143987
317,0.0151109
318,0.255531
319,0.15252
320,0.0643909
321,0.0629027
322,0.066131
323,0.019401
324,0.0747986
325,0.0736644
326,0.103379
327,0.0147996
328,0.112707
329,0.0172543
330,0.149036
331,0.0566229
332,0.0205195
333,0.0790723
334,0.0979716
335,0.0217285
336,0.0244017
337,0.217013
338,0.0249386
339,0.0702555
340,0.0829883
341,0.0959955
342,0.0647889
343,0.0147211
344,0.0752778
345,0.0157236
346,0.222315
347,0.0148602
348,0.0147617
349,0.32398
350,0.0191306
351,0.0597083
352,0.0760106
353,0.014593
354,0.0149899
355,0.0273256
356,0.0191502
357,0.0916697
358,0.015035
359,0.0247489
360,0.0193021
361,0.180148
362,0.0251515
363,0.133189
364,0.105689
365,0.0928658
366,0.0158893
367,0.014858
