# iteration    total_steps
         1             61060166
         2             98765900
         3            103499717
         4            100589200
         5            100675174
         6            100570418
         7            100522796
         8            100347354
         9            100583749
        10            100570476
        11            100121439
        12            100550797
        13            100651579
        14            100436668
        15            101156668
        16             99912900
        17            100654084
        18            100472421
        19            100655712
        20            100820811
