# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -1.65479
       -0.0294       -5.06236
       -0.0291       -8.51259
       -0.0288       -11.9939
       -0.0285       -15.5008
       -0.0282       -19.0292
       -0.0279       -22.5748
       -0.0276       -26.1332
       -0.0273       -29.6989
        -0.027       -33.2655
       -0.0267       -36.8255
       -0.0264         -40.37
       -0.0261       -43.8884
       -0.0258       -47.3678
       -0.0255       -50.7929
       -0.0252        -54.145
       -0.0249       -57.4016
       -0.0246       -60.5347
       -0.0243       -63.5098
        -0.024       -66.2846
       -0.0237       -68.8056
       -0.0234       -71.0058
       -0.0231       -72.7998
       -0.0228       -74.0757
       -0.0225       -74.6849
       -0.0222       -74.4282
       -0.0219       -73.0306
       -0.0216       -70.1012
       -0.0213       -65.0581
        -0.021       -56.9927
       -0.0207       -44.3985
       -0.0204       -24.5616
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -8.10946
       -0.0189       -80.8871
       -0.0186       -137.201
       -0.0183       -185.051
        -0.018       -228.124
       -0.0177       -268.362
       -0.0174       -307.054
       -0.0171       -344.936
       -0.0168       -382.465
       -0.0165       -420.019
       -0.0162       -457.894
       -0.0159       -496.337
       -0.0156       -535.547
       -0.0153       -575.709
        -0.015           -617
       -0.0147       -659.592
       -0.0144       -703.644
       -0.0141       -749.325
       -0.0138       -796.802
       -0.0135       -846.247
       -0.0132       -897.844
       -0.0129        -951.79
       -0.0126       -1008.29
       -0.0123       -1067.57
        -0.012       -1129.87
       -0.0117       -1195.46
       -0.0114       -1264.61
       -0.0111       -1337.67
       -0.0108       -1414.99
       -0.0105       -1496.98
       -0.0102        -1584.1
       -0.0099       -1676.89
       -0.0096       -1775.95
       -0.0093       -1881.98
        -0.009       -1995.79
       -0.0087       -2118.35
       -0.0084       -2250.79
       -0.0081       -2394.48
       -0.0078       -2551.08
       -0.0075       -2722.65
       -0.0072       -2911.76
       -0.0069       -3121.73
       -0.0066       -3356.92
       -0.0063       -3623.28
        -0.006       -3929.23
       -0.0057       -4287.76
       -0.0054       -4722.08
       -0.0051          -5000
       -0.0048          -5000
       -0.0045          -5000
       -0.0042       -4987.57
       -0.0039       -4905.84
       -0.0036        -4835.5
       -0.0033       -4776.33
        -0.003       -4727.62
       -0.0027        -4688.4
       -0.0024        -4657.5
       -0.0021       -4633.58
       -0.0018       -4615.51
       -0.0015       -4602.18
       -0.0012       -4592.61
       -0.0009       -4586.19
       -0.0006       -4582.17
       -0.0003       -4579.66
             0       -4578.18
        0.0003       -4577.59
        0.0006       -4578.04
        0.0009       -4579.54
        0.0012       -4582.21
        0.0015       -4586.55
        0.0018       -4593.39
        0.0021       -4603.92
        0.0024       -4619.01
        0.0027       -4639.22
         0.003       -4665.58
        0.0033       -4699.32
        0.0036       -4741.62
        0.0039       -4793.74
        0.0042       -4856.72
        0.0045       -4931.08
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4569.87
        0.0063        -4163.5
        0.0066       -3823.71
        0.0069       -3531.81
        0.0072       -3276.55
        0.0075       -3050.38
        0.0078        -2847.9
        0.0081       -2665.13
        0.0084          -2499
        0.0087       -2347.11
         0.009       -2207.56
        0.0093       -2078.77
        0.0096       -1959.48
        0.0099        -1848.6
        0.0102       -1745.22
        0.0105       -1648.56
        0.0108       -1557.97
        0.0111       -1472.86
        0.0114       -1392.73
        0.0117       -1317.13
         0.012       -1245.67
        0.0123          -1178
        0.0126       -1113.81
        0.0129       -1052.82
        0.0132       -994.764
        0.0135       -939.403
        0.0138        -886.52
        0.0141       -835.911
        0.0144       -787.385
        0.0147       -740.762
         0.015        -695.87
        0.0153       -652.542
        0.0156       -610.611
        0.0159       -569.903
        0.0162       -530.246
        0.0165       -491.453
        0.0168       -453.321
        0.0171       -415.619
        0.0174       -378.071
        0.0177       -340.334
         0.018       -301.965
        0.0183       -262.375
        0.0186       -220.644
        0.0189       -175.317
        0.0192       -123.917
        0.0195       -61.6181
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -5.59856
         0.021       -39.2246
        0.0213       -60.9776
        0.0216       -75.7339
        0.0219       -86.0251
        0.0222       -93.2889
        0.0225       -98.4052
        0.0228       -101.963
        0.0231       -104.344
        0.0234       -105.822
        0.0237         -106.6
         0.024       -106.829
        0.0243       -106.625
        0.0246       -106.077
        0.0249       -105.255
        0.0252       -104.216
        0.0255       -103.005
        0.0258        -101.66
        0.0261        -100.21
        0.0264       -98.6754
        0.0267       -97.0776
         0.027       -95.4331
        0.0273       -93.7557
        0.0276        -92.057
        0.0279       -90.3467
        0.0282       -88.6327
        0.0285       -86.9218
        0.0288       -85.2197
        0.0291       -83.5312
        0.0294       -81.8606
        0.0297       -80.2112
          0.03       -78.5859
        0.0303       -76.9869
        0.0306        -75.416
        0.0309       -73.8743
        0.0312        -72.363
        0.0315        -70.883
        0.0318       -69.4352
        0.0321       -68.0204
        0.0324       -66.6394
        0.0327       -65.2925
         0.033       -63.9798
        0.0333       -62.7009
        0.0336        -61.455
        0.0339       -60.2407
        0.0342       -59.0642
        0.0345       -57.9253
        0.0348       -56.8172
        0.0351        -55.741
        0.0354       -54.6967
        0.0357       -53.6842
         0.036       -52.7034
        0.0363        -51.754
        0.0366       -50.8357
        0.0369       -49.9482
        0.0372       -49.0909
        0.0375       -48.2637
        0.0378       -47.4662
        0.0381       -46.6979
        0.0384       -45.9587
        0.0387       -45.2483
         0.039       -44.5665
        0.0393       -43.9117
        0.0396         -43.29
        0.0399       -42.6983
        0.0402       -42.1321
        0.0405       -41.5917
        0.0408       -41.0768
        0.0411       -40.5871
        0.0414       -40.1224
