# r (m)    potential (V)
       -0.0315       -167.408
       -0.0312       -167.484
       -0.0309       -167.717
       -0.0306       -168.104
       -0.0303        -168.65
         -0.03       -169.355
       -0.0297       -170.219
       -0.0294       -171.248
       -0.0291       -172.444
       -0.0288       -173.811
       -0.0285       -175.355
       -0.0282       -177.079
       -0.0279       -178.987
       -0.0276       -181.088
       -0.0273       -183.386
        -0.027       -185.891
       -0.0267       -188.612
       -0.0264       -191.557
       -0.0261       -194.738
       -0.0258       -198.162
       -0.0255       -201.841
       -0.0252       -205.789
       -0.0249       -210.021
       -0.0246       -214.554
       -0.0243       -219.403
        -0.024        -224.59
       -0.0237       -230.132
       -0.0234       -236.049
       -0.0231       -242.365
       -0.0228       -249.102
       -0.0225       -256.287
       -0.0222       -263.946
       -0.0219       -272.109
       -0.0216       -280.812
       -0.0213       -290.089
        -0.021        -299.98
       -0.0207       -310.526
       -0.0204        -321.77
       -0.0201        -333.76
       -0.0198       -346.544
       -0.0195       -360.253
       -0.0192       -375.003
       -0.0189       -390.813
       -0.0186       -407.721
       -0.0183       -425.736
        -0.018       -444.889
       -0.0177       -465.239
       -0.0174       -486.829
       -0.0171       -509.706
       -0.0168       -533.931
       -0.0165       -559.568
       -0.0162       -586.686
       -0.0159       -615.362
       -0.0156       -645.676
       -0.0153       -677.718
        -0.015       -711.576
       -0.0147       -747.348
       -0.0144       -785.136
       -0.0141        -825.05
       -0.0138        -867.21
       -0.0135       -911.752
       -0.0132       -958.821
       -0.0129       -1008.57
       -0.0126       -1061.19
       -0.0123       -1116.85
        -0.012       -1175.79
       -0.0117       -1238.25
       -0.0114        -1304.5
       -0.0111       -1374.84
       -0.0108       -1449.62
       -0.0105       -1529.26
       -0.0102       -1614.22
       -0.0099       -1705.03
       -0.0096       -1802.26
       -0.0093       -1906.61
        -0.009       -2018.83
       -0.0087       -2139.84
       -0.0084       -2270.77
       -0.0081       -2412.96
       -0.0078       -2568.06
       -0.0075        -2738.1
       -0.0072       -2925.65
       -0.0069       -3133.99
       -0.0066       -3367.46
       -0.0063       -3631.93
        -0.006        -3935.8
       -0.0057       -4291.99
       -0.0054       -4723.65
       -0.0051          -5000
       -0.0048          -5000
       -0.0045          -5000
       -0.0042       -4988.02
       -0.0039       -4909.21
       -0.0036       -4841.56
       -0.0033        -4784.9
        -0.003       -4738.52
       -0.0027       -4701.25
       -0.0024       -4671.87
       -0.0021       -4649.12
       -0.0018       -4631.83
       -0.0015       -4618.91
       -0.0012       -4609.45
       -0.0009       -4602.63
       -0.0006       -4597.77
       -0.0003       -4594.37
             0       -4592.32
        0.0003       -4591.81
        0.0006        -4592.8
        0.0009       -4595.32
        0.0012        -4599.2
        0.0015       -4604.69
        0.0018       -4612.32
        0.0021       -4622.84
        0.0024        -4637.1
        0.0027       -4656.06
         0.003       -4680.86
        0.0033        -4712.7
        0.0036       -4752.84
        0.0039       -4802.47
        0.0042       -4862.64
        0.0045       -4933.88
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057          -5000
         0.006       -4572.49
        0.0063       -4168.66
        0.0066       -3831.04
        0.0069       -3541.02
        0.0072       -3287.42
        0.0075       -3062.75
        0.0078       -2861.68
        0.0081       -2680.26
        0.0084       -2515.44
        0.0087       -2364.84
         0.009       -2226.58
        0.0093       -2099.11
        0.0096       -1981.15
        0.0099       -1871.66
        0.0102       -1769.77
        0.0105       -1674.75
        0.0108       -1585.95
        0.0111       -1502.82
        0.0114       -1424.86
        0.0117       -1351.61
         0.012        -1282.7
        0.0123       -1217.78
        0.0126       -1156.55
        0.0129       -1098.76
        0.0132       -1044.17
        0.0135       -992.562
        0.0138       -943.756
        0.0141       -897.586
        0.0144       -853.893
        0.0147        -812.53
         0.015       -773.372
        0.0153       -736.306
        0.0156       -701.223
        0.0159       -668.025
        0.0162       -636.614
        0.0165       -606.902
        0.0168       -578.803
        0.0171       -552.236
        0.0174       -527.126
        0.0177       -503.401
         0.018       -481.001
        0.0183       -459.869
        0.0186        -439.96
        0.0189       -421.232
        0.0192       -403.627
        0.0195       -387.097
        0.0198       -371.643
        0.0201       -357.239
        0.0204       -343.897
        0.0207       -331.429
         0.021        -319.79
        0.0213       -308.923
        0.0216        -298.76
        0.0219       -289.241
        0.0222       -280.329
        0.0225       -271.988
        0.0228       -264.187
        0.0231       -256.882
        0.0234       -250.043
        0.0237       -243.639
         0.024       -237.647
        0.0243       -232.048
        0.0246        -226.82
        0.0249       -221.945
        0.0252       -217.406
        0.0255       -213.186
        0.0258       -209.265
        0.0261        -205.63
        0.0264       -202.264
        0.0267        -199.16
         0.027       -196.302
        0.0273       -193.681
        0.0276        -191.29
        0.0279       -189.118
        0.0282       -187.159
        0.0285       -185.405
        0.0288       -183.851
        0.0291       -182.492
        0.0294       -181.324
        0.0297       -180.343
          0.03       -179.545
        0.0303       -178.928
        0.0306       -178.489
        0.0309       -178.227
        0.0312       -178.139
