# iteration    r (m)    potential (V)
         1        -0.0315       -185.658
         1        -0.0312       -185.749
         1        -0.0309       -186.023
         1        -0.0306       -186.479
         1        -0.0303        -187.12
         1          -0.03       -187.946
         1        -0.0297       -188.962
         1        -0.0294       -190.169
         1        -0.0291       -191.571
         1        -0.0288       -193.172
         1        -0.0285       -194.977
         1        -0.0282       -196.991
         1        -0.0279       -199.221
         1        -0.0276       -201.672
         1        -0.0273       -204.354
         1         -0.027       -207.273
         1        -0.0267       -210.439
         1        -0.0264       -213.862
         1        -0.0261       -217.553
         1        -0.0258       -221.524
         1        -0.0255       -225.787
         1        -0.0252       -230.357
         1        -0.0249       -235.248
         1        -0.0246       -240.477
         1        -0.0243       -246.062
         1         -0.024       -252.022
         1        -0.0237       -258.376
         1        -0.0234       -265.147
         1        -0.0231       -272.358
         1        -0.0228       -280.035
         1        -0.0225       -288.202
         1        -0.0222        -296.89
         1        -0.0219       -306.127
         1        -0.0216       -315.945
         1        -0.0213       -326.378
         1         -0.021       -337.462
         1        -0.0207       -349.233
         1        -0.0204       -361.731
         1        -0.0201       -374.997
         1        -0.0198       -389.073
         1        -0.0195       -404.005
         1        -0.0192       -419.839
         1        -0.0189       -436.624
         1        -0.0186        -454.41
         1        -0.0183        -473.25
         1         -0.018       -493.197
         1        -0.0177       -514.308
         1        -0.0174       -536.641
         1        -0.0171       -560.257
         1        -0.0168        -585.22
         1        -0.0165       -611.595
         1        -0.0162       -639.451
         1        -0.0159       -668.862
         1        -0.0156       -699.904
         1        -0.0153       -732.659
         1         -0.015       -767.213
         1        -0.0147        -803.66
         1        -0.0144       -842.099
         1        -0.0141       -882.639
         1        -0.0138       -925.396
         1        -0.0135       -970.499
         1        -0.0132       -1018.09
         1        -0.0129       -1068.31
         1        -0.0126       -1121.35
         1        -0.0123       -1177.39
         1         -0.012       -1236.63
         1        -0.0117       -1299.31
         1        -0.0114       -1365.71
         1        -0.0111        -1436.1
         1        -0.0108       -1510.82
         1        -0.0105       -1590.26
         1        -0.0102       -1674.85
         1        -0.0099       -1765.08
         1        -0.0096       -1861.52
         1        -0.0093       -1964.84
         1         -0.009       -2075.82
         1        -0.0087       -2195.38
         1        -0.0084       -2324.59
         1        -0.0081       -2464.78
         1        -0.0078       -2617.54
         1        -0.0075       -2784.85
         1        -0.0072        -2969.2
         1        -0.0069       -3173.78
         1        -0.0066        -3402.8
         1        -0.0063          -3662
         1         -0.006       -3959.56
         1        -0.0057       -4308.05
         1        -0.0054       -4730.02
         1        -0.0051          -5000
         1        -0.0048          -5000
         1        -0.0045          -5000
         1        -0.0042       -4988.94
         1        -0.0039       -4916.16
         1        -0.0036       -4854.12
         1        -0.0033        -4802.8
         1         -0.003       -4761.54
         1        -0.0027       -4729.27
         1        -0.0024       -4704.78
         1        -0.0021       -4686.85
         1        -0.0018       -4674.32
         1        -0.0015       -4666.06
         1        -0.0012       -4661.07
         1        -0.0009       -4658.39
         1        -0.0006        -4657.2
         1        -0.0003       -4656.85
         1              0       -4656.82
         1         0.0003       -4656.84
         1         0.0006       -4656.82
         1         0.0009       -4656.91
         1         0.0012       -4657.48
         1         0.0015       -4659.08
