# step    pot_x    pot_y    pot_z
        10       -4656.86       -4656.86       -4656.86
        20       -4656.86       -4656.86       -4656.86
        30       -4656.86       -4656.86       -4656.86
        40       -4656.86       -4656.86       -4656.86
        50       -4656.86       -4656.86       -4656.86
        60       -4656.86       -4656.86       -4656.86
        70       -4656.86       -4656.86       -4656.86
        80       -4656.86       -4656.86       -4656.86
        90       -4656.86       -4656.86       -4656.86
       100       -4656.86       -4656.86       -4656.86
       110       -4656.86       -4656.86       -4656.86
       120       -4656.86       -4656.86       -4656.86
       130       -4656.86       -4656.86       -4656.86
       140       -4656.86       -4656.86       -4656.86
       150       -4656.86       -4656.86       -4656.86
       160       -4656.86       -4656.86       -4656.86
       170       -4656.86       -4656.86       -4656.86
       180       -4656.86       -4656.86       -4656.86
       190       -4656.86       -4656.86       -4656.86
       200       -4656.86       -4656.86       -4656.86
       210       -4656.86       -4656.86       -4656.86
       220       -4656.86       -4656.86       -4656.86
       230       -4656.86       -4656.86       -4656.86
       240       -4656.86       -4656.86       -4656.86
       250       -4656.86       -4656.86       -4656.86
       260       -4656.86       -4656.86       -4656.86
       270       -4656.86       -4656.86       -4656.86
       280       -4656.86       -4656.86       -4656.86
       290       -4656.86       -4656.86       -4656.86
       300       -4656.86       -4656.86       -4656.86
       310       -4656.86       -4656.86       -4656.86
       320       -4656.86       -4656.86       -4656.86
       330       -4656.86       -4656.86       -4656.86
       340       -4656.86       -4656.86       -4656.86
       350       -4656.86       -4656.86       -4656.86
       360       -4656.86       -4656.86       -4656.86
       370       -4656.86       -4656.86       -4656.86
       380       -4656.86       -4656.86       -4656.86
       390       -4656.86       -4656.86       -4656.86
       400       -4656.86       -4656.86       -4656.86
       410       -4656.86       -4656.86       -4656.86
       420       -4656.86       -4656.86       -4656.86
       430       -4656.86       -4656.86       -4656.86
       440       -4656.86       -4656.86       -4656.86
       450       -4656.86       -4656.86       -4656.86
       460       -4656.86       -4656.86       -4656.86
       470       -4656.86       -4656.86       -4656.86
       480       -4656.86       -4656.86       -4656.86
       490       -4656.86       -4656.86       -4656.86
       500       -4656.86       -4656.86       -4656.86
