# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -1.98779
       -0.0297       -8.44213
       -0.0294       -14.9606
       -0.0291       -21.5498
       -0.0288       -28.2177
       -0.0285       -34.9734
       -0.0282        -41.827
       -0.0279       -48.7891
       -0.0276       -55.8709
       -0.0273       -63.0842
        -0.027       -70.4415
       -0.0267       -77.9559
       -0.0264       -85.6412
       -0.0261       -93.5119
       -0.0258       -101.583
       -0.0255       -109.872
       -0.0252       -118.395
       -0.0249       -127.171
       -0.0246       -136.219
       -0.0243       -145.561
        -0.024       -155.217
       -0.0237       -165.211
       -0.0234       -175.568
       -0.0231       -186.314
       -0.0228       -197.477
       -0.0225       -209.085
       -0.0222        -221.17
       -0.0219       -233.763
       -0.0216         -246.9
       -0.0213       -260.615
        -0.021       -274.947
       -0.0207       -289.935
       -0.0204        -305.62
       -0.0201       -322.047
       -0.0198       -339.259
       -0.0195       -357.304
       -0.0192       -376.231
       -0.0189       -396.091
       -0.0186       -416.936
       -0.0183       -438.821
        -0.018       -461.803
       -0.0177       -485.939
       -0.0174       -511.291
       -0.0171       -537.922
       -0.0168       -565.898
       -0.0165       -595.289
       -0.0162       -626.168
       -0.0159        -658.61
       -0.0156       -692.698
       -0.0153       -728.518
        -0.015       -766.163
       -0.0147       -805.732
       -0.0144       -847.332
       -0.0141       -891.081
       -0.0138       -937.104
       -0.0135        -985.54
       -0.0132       -1036.54
       -0.0129       -1090.28
       -0.0126       -1146.93
       -0.0123       -1206.72
        -0.012       -1269.85
       -0.0117       -1336.61
       -0.0114       -1407.26
       -0.0111       -1482.16
       -0.0108       -1561.65
       -0.0105       -1646.17
       -0.0102        -1736.2
       -0.0099        -1832.3
       -0.0096       -1935.12
       -0.0093        -2045.4
        -0.009       -2164.04
       -0.0087       -2292.08
       -0.0084        -2430.8
       -0.0081       -2581.73
       -0.0078       -2746.75
       -0.0075       -2928.23
       -0.0072       -3129.18
       -0.0069       -3353.53
       -0.0066        -3606.5
       -0.0063       -3895.17
        -0.006       -4228.82
       -0.0057       -4616.22
       -0.0054          -5000
       -0.0051          -5000
       -0.0048          -5000
       -0.0045       -4991.61
       -0.0042       -4923.63
       -0.0039       -4861.09
       -0.0036       -4808.48
       -0.0033       -4765.94
        -0.003       -4732.53
       -0.0027       -4707.08
       -0.0024       -4688.37
       -0.0021       -4675.23
       -0.0018       -4666.53
       -0.0015       -4661.23
       -0.0012       -4658.38
       -0.0009       -4657.12
       -0.0006       -4656.76
       -0.0003       -4656.76
             0        -4656.8
        0.0003       -4656.76
        0.0006       -4656.76
        0.0009       -4657.12
        0.0012       -4658.37
        0.0015       -4661.22
        0.0018       -4666.52
        0.0021       -4675.21
        0.0024       -4688.35
        0.0027       -4707.05
         0.003       -4732.49
        0.0033       -4765.89
        0.0036       -4808.42
        0.0039       -4861.02
        0.0042       -4923.57
        0.0045       -4991.56
        0.0048          -5000
        0.0051          -5000
        0.0054          -5000
        0.0057       -4616.85
         0.006       -4229.29
        0.0063       -3895.63
        0.0066       -3606.98
        0.0069       -3354.02
        0.0072        -3129.7
        0.0075       -2928.77
        0.0078       -2747.32
        0.0081       -2582.34
        0.0084       -2431.45
        0.0087       -2292.78
         0.009       -2164.78
        0.0093       -2046.21
        0.0096       -1935.99
        0.0099       -1833.24
        0.0102       -1737.22
        0.0105       -1647.26
        0.0108       -1562.83
        0.0111       -1483.42
        0.0114       -1408.62
        0.0117       -1338.06
         0.012        -1271.4
        0.0123       -1208.36
        0.0126       -1148.68
        0.0129       -1092.13
        0.0132       -1038.49
        0.0135        -987.59
        0.0138       -939.252
        0.0141       -893.325
        0.0144       -849.668
        0.0147       -808.154
         0.015       -768.666
        0.0153       -731.095
        0.0156       -695.341
        0.0159       -661.311
        0.0162       -628.918
        0.0165       -598.079
        0.0168       -568.718
        0.0171        -540.76
        0.0174       -514.138
        0.0177       -488.785
         0.018       -464.638
        0.0183       -441.635
        0.0186        -419.72
        0.0189       -398.835
        0.0192       -378.927
        0.0195       -359.944
        0.0198       -341.836
        0.0201       -324.555
        0.0204       -308.055
        0.0207       -292.291
         0.021        -277.22
        0.0213       -262.803
        0.0216           -249
        0.0219       -235.774
        0.0222       -223.091
        0.0225       -210.915
        0.0228       -199.216
        0.0231       -187.964
        0.0234       -177.128
        0.0237       -166.683
         0.024       -156.602
        0.0243        -146.86
        0.0246       -137.436
        0.0249       -128.306
        0.0252        -119.45
        0.0255       -110.849
        0.0258       -102.485
        0.0261       -94.3398
        0.0264       -86.3974
        0.0267       -78.6425
         0.027       -71.0602
        0.0273       -63.6367
        0.0276       -56.3589
        0.0279       -49.2141
        0.0282       -42.1905
        0.0285       -35.2767
        0.0288       -28.4618
        0.0291       -21.7359
        0.0294       -15.0896
        0.0297       -8.51484
          0.03        -2.0049
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
