# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297          -43.4
       -0.0294       -132.647
       -0.0291       -222.828
       -0.0288       -313.623
       -0.0285       -404.873
       -0.0282       -496.457
       -0.0279       -588.252
       -0.0276       -680.126
       -0.0273       -771.927
        -0.027       -863.476
       -0.0267       -954.562
       -0.0264       -1044.94
       -0.0261       -1134.32
       -0.0258       -1222.36
       -0.0255       -1308.67
       -0.0252       -1392.74
       -0.0249       -1473.98
       -0.0246       -1551.67
       -0.0243       -1624.95
        -0.024       -1692.72
       -0.0237       -1753.62
       -0.0234       -1805.98
       -0.0231       -1847.62
       -0.0228       -1875.76
       -0.0225       -1886.73
       -0.0222       -1875.61
       -0.0219       -1835.65
       -0.0216       -1757.27
       -0.0213       -1626.19
        -0.021       -1420.25
       -0.0207       -1102.79
       -0.0204       -607.796
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -186.455
       -0.0189       -1858.01
       -0.0186       -3144.54
       -0.0183       -4230.15
        -0.018        -5200.3
       -0.0177       -6100.28
       -0.0174       -6956.84
       -0.0171       -7787.22
       -0.0168       -8603.33
       -0.0165       -9413.91
       -0.0162       -10225.8
       -0.0159       -11044.4
       -0.0156       -11874.4
       -0.0153       -12720.1
        -0.015       -13585.1
       -0.0147       -14472.9
       -0.0144         -15387
       -0.0141       -16330.8
       -0.0138       -17307.7
       -0.0135       -18321.2
       -0.0132         -19375
       -0.0129       -20472.8
       -0.0126       -21618.8
       -0.0123       -22817.5
        -0.012       -24073.6
       -0.0117       -25392.3
       -0.0114       -26779.3
       -0.0111       -28241.2
       -0.0108       -29784.9
       -0.0105       -31418.6
       -0.0102       -33151.1
       -0.0099       -34992.8
       -0.0096       -36955.4
       -0.0093       -39052.6
        -0.009       -41300.2
       -0.0087       -43716.6
       -0.0084       -46324.1
       -0.0081         -49149
       -0.0078       -52223.6
       -0.0075       -55587.5
       -0.0072       -59290.8
       -0.0069       -63397.6
       -0.0066       -67992.2
       -0.0063       -73189.7
        -0.006         -79154
       -0.0057       -86137.4
       -0.0054       -94591.5
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99778.9
       -0.0039       -98324.3
       -0.0036       -97084.6
       -0.0033       -96059.2
        -0.003       -95235.1
       -0.0027       -94590.6
       -0.0024       -94101.6
       -0.0021       -93743.8
       -0.0018       -93493.8
       -0.0015       -93329.5
       -0.0012       -93230.1
       -0.0009       -93177.1
       -0.0006         -93154
       -0.0003       -93147.4
             0       -93147.5
        0.0003       -93148.4
        0.0006       -93148.5
        0.0009       -93150.9
        0.0012       -93162.7
        0.0015         -93195
        0.0018       -93262.3
        0.0021       -93381.8
        0.0024       -93572.7
        0.0027       -93856.2
         0.003       -94254.9
        0.0033       -94792.3
        0.0036       -95492.8
        0.0039       -96379.8
        0.0042       -97472.7
        0.0045       -98780.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91655.7
        0.0063       -83766.7
        0.0066       -77164.2
        0.0069       -71486.5
        0.0072         -66516
        0.0075       -62106.8
        0.0078       -58154.8
        0.0081         -54583
        0.0084       -51332.3
        0.0087       -48356.6
         0.009       -45618.7
        0.0093       -43088.8
        0.0096       -40741.8
        0.0099       -38556.9
        0.0102       -36516.7
        0.0105       -34606.1
        0.0108       -32812.1
        0.0111       -31123.5
        0.0114       -29530.6
        0.0117       -28024.5
         0.012       -26597.6
        0.0123       -25243.2
        0.0126       -23954.8
        0.0129         -22727
        0.0132       -21554.7
        0.0135       -20433.2
        0.0138         -19358
        0.0141       -18325.2
        0.0144       -17330.8
        0.0147       -16371.3
         0.015         -15443
        0.0153       -14542.5
        0.0156       -13666.1
        0.0159       -12810.3
        0.0162       -11971.3
        0.0165       -11144.9
        0.0168       -10326.6
        0.0171       -9511.02
        0.0174       -8691.75
        0.0177       -7860.77
         0.018       -7007.47
        0.0183       -6117.14
        0.0186       -5168.03
        0.0189       -4125.61
        0.0192       -2929.86
        0.0195       -1463.97
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -149.367
         0.021       -1047.45
        0.0213       -1633.12
        0.0216       -2035.94
        0.0219       -2322.04
        0.0222       -2528.71
        0.0225       -2678.78
        0.0228       -2787.09
        0.0231       -2863.77
        0.0234       -2916.02
        0.0237       -2949.11
         0.024       -2966.99
        0.0243       -2972.69
        0.0246       -2968.57
        0.0249        -2956.5
        0.0252       -2937.97
        0.0255       -2914.17
        0.0258        -2886.1
        0.0261       -2854.58
        0.0264       -2820.28
        0.0267       -2783.76
         0.027       -2745.47
        0.0273        -2705.8
        0.0276        -2665.1
        0.0279       -2623.63
        0.0282       -2581.64
        0.0285       -2539.34
        0.0288       -2496.88
        0.0291       -2454.41
        0.0294       -2412.06
        0.0297       -2369.94
          0.03       -2328.13
        0.0303        -2286.7
        0.0306       -2245.73
        0.0309       -2205.29
        0.0312       -2165.41
        0.0315       -2126.14
        0.0318       -2087.51
        0.0321       -2049.56
        0.0324        -2012.3
        0.0327       -1975.77
         0.033       -1939.97
        0.0333       -1904.93
        0.0336       -1870.65
        0.0339       -1837.16
        0.0342       -1804.44
        0.0345       -1772.52
        0.0348        -1741.4
        0.0351       -1711.07
        0.0354       -1681.53
        0.0357       -1652.79
         0.036       -1624.85
        0.0363        -1597.7
        0.0366       -1571.34
        0.0369       -1545.77
        0.0372       -1520.97
        0.0375       -1496.96
        0.0378       -1473.72
        0.0381       -1451.24
        0.0384       -1429.53
        0.0387       -1408.57
         0.039       -1388.36
        0.0393       -1368.89
        0.0396       -1350.16
        0.0399       -1332.16
        0.0402        -1314.9
        0.0405       -1298.35
