# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -42.6518
       -0.0297       -181.048
       -0.0294       -320.665
       -0.0291       -461.626
       -0.0288       -604.081
       -0.0285       -748.205
       -0.0282       -894.188
       -0.0279       -1042.23
       -0.0276       -1192.56
       -0.0273       -1345.39
        -0.027       -1500.97
       -0.0267       -1659.55
       -0.0264        -1821.4
       -0.0261       -1986.81
       -0.0258       -2156.07
       -0.0255       -2329.51
       -0.0252       -2507.46
       -0.0249       -2690.28
       -0.0246       -2878.36
       -0.0243       -3072.08
        -0.024       -3271.88
       -0.0237        -3478.2
       -0.0234       -3691.53
       -0.0231       -3912.36
       -0.0228       -4141.23
       -0.0225       -4378.69
       -0.0222       -4625.33
       -0.0219       -4881.76
       -0.0216        -5148.6
       -0.0213       -5426.53
        -0.021        -5716.2
       -0.0207       -6018.28
       -0.0204        -6333.4
       -0.0201       -6662.06
       -0.0198       -7003.86
       -0.0195       -7361.35
       -0.0192       -7736.51
       -0.0189       -8130.33
       -0.0186       -8543.85
       -0.0183       -8978.17
        -0.018       -9434.42
       -0.0177       -9913.78
       -0.0174       -10417.5
       -0.0171       -10946.8
       -0.0168       -11503.1
       -0.0165       -12087.6
       -0.0162         -12702
       -0.0159       -13347.7
       -0.0156       -14026.4
       -0.0153       -14739.7
        -0.015       -15489.5
       -0.0147       -16277.9
       -0.0144       -17106.9
       -0.0141       -17978.9
       -0.0138       -18896.4
       -0.0135       -19862.1
       -0.0132       -20879.1
       -0.0129       -21950.8
       -0.0126       -23080.9
       -0.0123       -24273.4
        -0.012       -25533.1
       -0.0117       -26864.9
       -0.0114       -28274.8
       -0.0111       -29769.3
       -0.0108       -31355.7
       -0.0105       -33042.5
       -0.0102       -34839.4
       -0.0099       -36757.5
       -0.0096       -38809.7
       -0.0093         -41011
        -0.009       -43379.3
       -0.0087       -45935.4
       -0.0084       -48704.7
       -0.0081       -51717.7
       -0.0078       -55012.3
       -0.0075       -58635.5
       -0.0072       -62647.5
       -0.0069       -67126.6
       -0.0066       -72177.3
       -0.0063       -77940.9
        -0.006       -84602.6
       -0.0057       -92337.5
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99832.5
       -0.0042       -98475.1
       -0.0039       -97226.3
       -0.0036         -96176
       -0.0033       -95326.6
        -0.003       -94659.5
       -0.0027       -94151.4
       -0.0024       -93777.9
       -0.0021       -93515.5
       -0.0018       -93341.8
       -0.0015         -93236
       -0.0012         -93179
       -0.0009       -93153.9
       -0.0006       -93146.7
       -0.0003       -93146.7
             0       -93147.5
        0.0003       -93146.7
        0.0006       -93146.6
        0.0009       -93153.8
        0.0012       -93178.8
        0.0015       -93235.8
        0.0018       -93341.5
        0.0021         -93515
        0.0024       -93777.3
        0.0027       -94150.7
         0.003       -94658.8
        0.0033       -95325.6
        0.0036       -96174.9
        0.0039       -97225.1
        0.0042       -98473.9
        0.0045       -99831.4
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057         -92350
         0.006         -84612
        0.0063       -77950.3
        0.0066       -72187.1
        0.0069       -67136.8
        0.0072       -62658.1
        0.0075       -58646.6
        0.0078       -55024.1
        0.0081       -51730.3
        0.0084       -48718.1
        0.0087       -45949.8
         0.009       -43394.8
        0.0093       -41027.8
        0.0096       -38827.7
        0.0099         -36777
        0.0102       -34860.4
        0.0105       -33065.1
        0.0108         -31380
        0.0111       -29795.4
        0.0114       -28302.9
        0.0117       -26894.9
         0.012       -25565.1
        0.0123       -24307.5
        0.0126       -23117.1
        0.0129       -21989.1
        0.0132       -20919.5
        0.0135       -19904.5
        0.0138       -18940.8
        0.0141       -18025.3
        0.0144       -17155.2
        0.0147       -16327.9
         0.015       -15541.2
        0.0153       -14792.9
        0.0156       -14080.9
        0.0159       -13403.5
        0.0162       -12758.8
        0.0165       -12145.2
        0.0168       -11561.2
        0.0171       -11005.3
        0.0174       -10476.2
        0.0177       -9972.45
         0.018       -9492.83
        0.0183        -9036.1
        0.0186       -8601.12
        0.0189       -8186.73
        0.0192       -7791.85
        0.0195       -7415.44
        0.0198       -7056.47
        0.0201       -6713.07
        0.0204       -6382.89
        0.0207       -6066.17
         0.021       -5762.43
        0.0213       -5471.03
        0.0216       -5191.32
        0.0219       -4922.65
        0.0222       -4664.38
        0.0225       -4415.88
        0.0228       -4176.56
        0.0231       -3945.84
        0.0234       -3723.17
        0.0237       -3508.02
         0.024       -3299.91
        0.0243       -3098.37
        0.0246       -2902.93
        0.0249       -2713.19
        0.0252       -2528.74
        0.0255        -2349.2
        0.0258       -2174.22
        0.0261       -2003.46
        0.0264       -1836.59
        0.0267       -1673.32
         0.027       -1513.36
        0.0273       -1356.44
        0.0276        -1202.3
        0.0279        -1050.7
        0.0282       -901.417
        0.0285       -754.222
        0.0288       -608.914
        0.0291         -465.3
        0.0294       -323.204
        0.0297       -182.474
          0.03       -42.9862
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
