# r (m)    potential (V)
       -0.0315       -4043.89
       -0.0312       -4045.75
       -0.0309       -4051.35
       -0.0306        -4060.7
       -0.0303       -4073.82
         -0.03       -4090.74
       -0.0297       -4111.51
       -0.0294       -4136.19
       -0.0291       -4164.82
       -0.0288        -4197.5
       -0.0285       -4234.31
       -0.0282       -4275.35
       -0.0279       -4320.74
       -0.0276       -4370.61
       -0.0273       -4425.09
        -0.027       -4484.36
       -0.0267       -4548.58
       -0.0264       -4617.94
       -0.0261       -4692.67
       -0.0258       -4772.98
       -0.0255       -4859.14
       -0.0252        -4951.4
       -0.0249       -5050.07
       -0.0246       -5155.45
       -0.0243        -5267.9
        -0.024       -5387.77
       -0.0237       -5515.47
       -0.0234       -5651.41
       -0.0231       -5796.04
       -0.0228       -5949.84
       -0.0225       -6113.32
       -0.0222          -6287
       -0.0219       -6471.46
       -0.0216       -6667.28
       -0.0213       -6875.08
        -0.021       -7095.48
       -0.0207       -7329.15
       -0.0204        -7576.7
       -0.0201       -7838.74
       -0.0198       -8115.66
       -0.0195       -8407.07
       -0.0192       -8716.06
       -0.0189       -9044.17
       -0.0186        -9392.4
       -0.0183       -9761.81
        -0.018       -10153.5
       -0.0177       -10568.6
       -0.0174       -11008.3
       -0.0171       -11473.7
       -0.0168       -11966.3
       -0.0165       -12487.2
       -0.0162       -13037.9
       -0.0159       -13619.9
       -0.0156       -14234.6
       -0.0153       -14883.7
        -0.015       -15568.9
       -0.0147       -16292.1
       -0.0144       -17055.2
       -0.0141       -17860.5
       -0.0138       -18710.2
       -0.0135         -19607
       -0.0132       -20553.5
       -0.0129       -21552.8
       -0.0126       -22608.5
       -0.0123       -23724.1
        -0.012       -24903.9
       -0.0117       -26152.6
       -0.0114       -27475.3
       -0.0111       -28878.1
       -0.0108       -30367.5
       -0.0105       -31951.2
       -0.0102       -33637.7
       -0.0099       -35436.9
       -0.0096       -37360.4
       -0.0093       -39421.3
        -0.009       -41635.2
       -0.0087       -44020.3
       -0.0084       -46598.4
       -0.0081       -49395.7
       -0.0078       -52444.2
       -0.0075       -55783.2
       -0.0072       -59462.5
       -0.0069       -63545.7
       -0.0066         -68117
       -0.0063       -73290.8
        -0.006       -79230.5
       -0.0057         -86187
       -0.0054       -94610.6
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99779.1
       -0.0039       -98325.9
       -0.0036       -97087.2
       -0.0033       -96062.5
        -0.003       -95238.7
       -0.0027       -94594.3
       -0.0024       -94105.2
       -0.0021       -93747.2
       -0.0018       -93496.9
       -0.0015       -93332.1
       -0.0012       -93232.3
       -0.0009       -93178.7
       -0.0006       -93155.1
       -0.0003         -93148
             0       -93147.5
        0.0003       -93147.8
        0.0006       -93147.4
        0.0009       -93149.3
        0.0012       -93160.7
        0.0015       -93192.7
        0.0018       -93259.7
        0.0021       -93378.9
        0.0024       -93569.7
        0.0027       -93853.2
         0.003       -94251.9
        0.0033       -94789.5
        0.0036       -95490.3
        0.0039       -96377.9
        0.0042       -97471.3
        0.0045       -98779.9
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91661.9
        0.0063       -83779.6
        0.0066       -77183.9
        0.0069       -71513.6
        0.0072       -66551.4
        0.0075       -62151.4
        0.0078       -58209.9
        0.0081       -54649.9
        0.0084       -51412.8
        0.0087       -48452.3
         0.009       -45731.8
        0.0093       -43221.3
        0.0096       -40896.2
        0.0099       -38735.9
        0.0102       -36723.2
        0.0105       -34843.4
        0.0108       -33083.8
        0.0111       -31433.6
        0.0114       -29883.2
        0.0117       -28424.5
         0.012       -27050.2
        0.0123       -25753.8
        0.0126       -24529.8
        0.0129       -23373.1
        0.0132       -22279.1
        0.0135       -21243.9
        0.0138       -20263.9
        0.0141       -19335.6
        0.0144       -18456.3
        0.0147       -17623.2
         0.015       -16833.7
        0.0153       -16085.7
        0.0156       -15377.1
        0.0159       -14705.8
        0.0162       -14070.2
        0.0165       -13468.5
        0.0168         -12899
        0.0171       -12360.4
        0.0174       -11851.2
        0.0177         -11370
         0.018       -10915.6
        0.0183       -10486.6
        0.0186       -10081.8
        0.0189        -9700.2
        0.0192       -9340.57
        0.0195       -9001.86
        0.0198          -8683
        0.0201       -8383.01
        0.0204       -8099.39
        0.0207       -7830.44
         0.021       -7576.35
        0.0213       -7336.65
        0.0216       -7110.72
        0.0219       -6897.92
        0.0222       -6697.62
        0.0225       -6509.19
        0.0228       -6332.04
        0.0231       -6165.57
        0.0234       -6009.26
        0.0237       -5862.57
         0.024       -5725.02
        0.0243       -5596.13
        0.0246       -5475.48
        0.0249       -5362.66
        0.0252       -5257.29
        0.0255       -5159.02
        0.0258       -5067.52
        0.0261       -4982.49
        0.0264       -4903.66
        0.0267       -4830.77
         0.027       -4763.57
        0.0273       -4701.87
        0.0276       -4645.46
        0.0279       -4594.17
        0.0282       -4547.84
        0.0285       -4506.32
        0.0288       -4469.49
        0.0291       -4437.25
        0.0294       -4409.49
        0.0297       -4386.13
          0.03        -4367.1
        0.0303       -4352.36
        0.0306       -4341.85
        0.0309       -4335.56
        0.0312       -4333.47
