particle,length
0,0.0251967
1,0.0241261
2,0.0654784
3,0.0574845
4,0.0174785
5,0.0145345
6,0.0163498
7,0.0304498
8,0.0256197
9,0.0149354
10,0.0662278
11,0.0150557
12,0.0184499
13,0.0179883
14,0.0176719
15,0.0175452
16,0.0579501
17,0.295821
18,0.0588434
19,0.0659836
20,0.0159408
21,0.0174838
22,0.0802115
23,0.0558924
24,0.0147635
25,0.0265182
26,0.030521
27,0.0668153
28,0.0158676
29,0.026713
30,0.0150855
31,0.0158587
32,0.0262377
33,0.0665579
34,0.122683
35,0.0243356
36,0.0887182
37,0.0692673
38,0.0541288
39,0.0151146
40,0.26003
41,0.0153485
42,0.014613
43,0.0264172
44,0.111649
45,0.0145651
46,0.0146527
47,0.058376
48,0.0243708
49,0.0250975
50,0.164938
51,0.0803898
52,0.0256366
53,0.0259944
54,0.024196
55,0.0148197
56,0.0155527
57,0.0763357
58,0.0156767
59,0.0558147
60,0.0242275
61,0.152548
62,0.015067
63,0.0968318
64,0.014641
65,0.0163611
66,0.0659038
67,0.0150376
68,0.016809
69,0.0666855
70,0.0174836
71,0.0248876
72,0.0168885
73,0.0283476
74,0.159351
75,0.015315
76,0.0296422
77,0.0270202
78,0.0584907
79,0.0287114
80,0.015272
81,0.0161525
82,0.026179
83,0.0990655
84,0.0174415
85,0.0982636
86,0.0719764
87,0.065303
88,0.0717665
89,0.014891
90,0.0643766
91,0.0252553
92,0.0662481
93,0.0146588
94,0.0980766
95,0.0759617
96,0.0565296
97,0.0296568
98,0.0147669
99,0.0144931
100,0.0155434
101,0.0158407
102,0.187483
103,0.124101
104,0.070119
105,0.015249
106,0.0245558
107,0.0255294
108,0.083477
109,0.015829
110,0.191696
111,0.0625751
112,0.015544
113,0.0217562
114,0.057337
115,0.103225
116,0.0177923
117,0.0255876
118,0.0307883
119,0.0152956
120,0.0148318
121,0.0154362
122,0.0151364
123,0.0258235
124,0.0687081
125,0.0850594
126,0.0576149
127,0.0146224
128,0.0249793
129,0.015364
130,0.028023
131,0.0643058
132,0.0975702
133,0.0289944
134,0.0270988
135,0.147738
136,0.0151043
137,0.0160918
138,0.0145994
139,0.024897
140,0.104776
141,0.014833
142,0.417168
143,0.0934041
144,0.0202541
145,0.0149758
146,0.0148658
147,0.0998856
148,0.0258023
149,0.0180706
150,0.0241291
151,0.0252473
152,0.0147694
153,0.0984681
154,0.0248893
155,0.0162068
156,0.284573
157,0.183288
158,0.015201
159,0.0250552
160,0.102709
161,0.0988671
162,0.025566
163,0.063374
164,0.0147394
165,0.0153479
166,0.0148899
167,0.0151952
168,0.0339114
169,0.0148573
170,0.189318
171,0.0187448
172,0.064533
173,0.0147209
174,0.0173982
175,0.261919
176,0.121735
177,0.0676134
178,0.0296543
179,0.0176672
180,0.105891
181,0.0280712
182,0.101335
183,0.0554712
184,0.097158
185,0.0144886
186,0.0189989
187,0.156415
188,0.0168887
189,0.0243145
190,0.0249167
191,0.241668
192,0.0263976
193,0.02975
194,0.0146295
195,0.0147229
196,0.0252007
197,0.0644438
198,0.0251733
199,0.0263337
200,0.0953745
201,0.100972
202,0.243337
203,0.0147877
204,0.0157667
205,0.0698559
206,0.0159741
207,0.0248426
