# r (m)    potential (V)
       -0.0315       -3575.86
       -0.0312       -3577.56
       -0.0309       -3582.69
       -0.0306       -3591.25
       -0.0303       -3603.28
         -0.03        -3618.8
       -0.0297       -3637.87
       -0.0294       -3660.55
       -0.0291       -3686.89
       -0.0288       -3716.99
       -0.0285       -3750.92
       -0.0282        -3788.8
       -0.0279       -3830.75
       -0.0276       -3876.87
       -0.0273       -3927.32
        -0.027       -3982.26
       -0.0267       -4041.86
       -0.0264       -4106.31
       -0.0261       -4175.83
       -0.0258       -4250.64
       -0.0255       -4330.98
       -0.0252       -4417.13
       -0.0249       -4509.37
       -0.0246       -4608.02
       -0.0243       -4713.44
        -0.024       -4825.97
       -0.0237       -4946.04
       -0.0234       -5074.05
       -0.0231       -5210.46
       -0.0228       -5355.76
       -0.0225       -5510.49
       -0.0222        -5675.2
       -0.0219       -5850.49
       -0.0216       -6037.05
       -0.0213       -6235.55
        -0.021       -6446.77
       -0.0207       -6671.43
       -0.0204       -6910.31
       -0.0201       -7164.25
       -0.0198       -7434.13
       -0.0195       -7721.61
       -0.0192       -8028.32
       -0.0189        -8354.9
       -0.0186       -8702.11
       -0.0183       -9070.71
        -0.018       -9461.77
       -0.0177       -9876.38
       -0.0174       -10315.5
       -0.0171       -10780.3
       -0.0168         -11272
       -0.0165       -11791.9
       -0.0162       -12341.4
       -0.0159         -12922
       -0.0156       -13535.2
       -0.0153       -14182.8
        -0.015       -14866.4
       -0.0147       -15588.2
       -0.0144       -16349.9
       -0.0141       -17153.9
       -0.0138       -18002.5
       -0.0135       -18898.3
       -0.0132       -19844.1
       -0.0129       -20843.1
       -0.0126       -21898.8
       -0.0123         -23015
        -0.012         -24196
       -0.0117       -25446.4
       -0.0114       -26771.7
       -0.0111       -28177.9
       -0.0108       -29671.8
       -0.0105       -31261.2
       -0.0102       -32955.1
       -0.0099       -34763.6
       -0.0096       -36698.4
       -0.0093       -38772.8
        -0.009       -41002.5
       -0.0087       -43405.7
       -0.0084       -46004.5
       -0.0081       -48825.6
       -0.0078       -51901.3
       -0.0075       -55271.6
       -0.0072       -58987.1
       -0.0069       -63112.5
       -0.0066       -67733.1
       -0.0063       -72965.1
        -0.006       -78973.9
       -0.0057       -86014.1
       -0.0054       -94542.3
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99769.6
       -0.0039       -98253.8
       -0.0036       -96956.6
       -0.0033         -95876
        -0.003       -94997.9
       -0.0027       -94300.1
       -0.0024       -93757.7
       -0.0021       -93345.7
       -0.0018       -93040.3
       -0.0015         -92819
       -0.0012       -92660.7
       -0.0009       -92546.3
       -0.0006       -92460.2
       -0.0003       -92392.2
             0         -92340
        0.0003       -92322.5
        0.0006       -92355.6
        0.0009       -92414.1
        0.0012       -92487.5
        0.0015       -92581.6
        0.0018       -92708.8
        0.0021       -92885.9
        0.0024       -93132.6
        0.0027       -93470.6
         0.003       -93922.8
        0.0033       -94513.6
        0.0036         -95268
        0.0039       -96210.2
        0.0042       -97360.2
        0.0045         -98728
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91556.6
        0.0063       -83577.4
        0.0066       -76903.3
        0.0069       -71167.8
        0.0072       -66150.4
        0.0075       -61703.5
        0.0078       -57721.9
        0.0081       -54127.3
        0.0084       -50860.1
        0.0087       -47873.5
         0.009       -45130.1
        0.0093       -42599.6
        0.0096         -40257
        0.0099       -38081.5
        0.0102       -36055.7
        0.0105       -34164.9
        0.0108       -32396.4
        0.0111       -30739.1
        0.0114       -29183.1
        0.0117       -27720.1
         0.012       -26342.5
        0.0123       -25043.7
        0.0126         -23818
        0.0129       -22660.2
        0.0132       -21565.7
        0.0135       -20530.4
        0.0138       -19550.6
        0.0141       -18622.9
        0.0144       -17744.3
        0.0147         -16912
         0.015       -16123.6
        0.0153       -15376.7
        0.0156       -14669.3
        0.0159       -13999.2
        0.0162       -13364.7
        0.0165         -12764
        0.0168       -12195.5
        0.0171       -11657.6
        0.0174       -11148.9
        0.0177       -10667.9
         0.018       -10213.5
        0.0183       -9784.33
        0.0186       -9379.37
        0.0189       -8997.64
        0.0192       -8638.13
        0.0195       -8299.76
        0.0198       -7981.76
        0.0201       -7683.49
        0.0204       -7404.49
        0.0207       -7142.39
         0.021       -6896.18
        0.0213       -6665.06
        0.0216       -6448.08
        0.0219       -6244.39
        0.0222       -6053.21
        0.0225       -5873.86
        0.0228       -5705.68
        0.0231          -5548
        0.0234       -5400.21
        0.0237       -5261.75
         0.024        -5132.1
        0.0243       -5010.79
        0.0246       -4897.39
        0.0249       -4791.49
        0.0252        -4692.7
        0.0255       -4600.69
        0.0258       -4515.15
        0.0261       -4435.75
        0.0264       -4362.21
        0.0267       -4294.29
         0.027       -4231.74
        0.0273       -4174.36
        0.0276       -4121.95
        0.0279       -4074.36
        0.0282       -4031.41
        0.0285       -3992.96
        0.0288       -3958.87
        0.0291       -3929.05
        0.0294        -3903.4
        0.0297       -3881.83
          0.03       -3864.28
        0.0303       -3850.69
        0.0306       -3841.01
        0.0309       -3835.22
        0.0312        -3833.3
