# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -35.4213
       -0.0294       -108.362
       -0.0291       -182.216
       -0.0288       -256.738
       -0.0285       -331.808
       -0.0282       -407.339
       -0.0279        -483.24
       -0.0276       -559.411
       -0.0273       -635.737
        -0.027       -712.082
       -0.0267       -788.283
       -0.0264       -864.148
       -0.0261       -939.447
       -0.0258        -1013.9
       -0.0255       -1087.18
       -0.0252       -1158.89
       -0.0249       -1228.52
       -0.0246       -1295.48
       -0.0243       -1359.03
        -0.024       -1418.25
       -0.0237          -1472
       -0.0234       -1518.83
       -0.0231        -1556.9
       -0.0228        -1583.8
       -0.0225       -1596.38
       -0.0222       -1590.39
       -0.0219       -1559.95
       -0.0216       -1496.71
       -0.0213       -1388.25
        -0.021       -1215.28
       -0.0207        -945.83
       -0.0204       -522.489
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -170.249
       -0.0189       -1700.44
       -0.0186       -2883.79
       -0.0183       -3887.82
        -0.018       -4790.17
       -0.0177       -5632.07
       -0.0174       -6437.88
       -0.0171       -7223.34
       -0.0168       -7999.32
       -0.0165        -8773.8
       -0.0162          -9553
       -0.0159         -10342
       -0.0156       -11145.2
       -0.0153       -11966.4
        -0.015       -12809.3
       -0.0147       -13677.3
       -0.0144       -14573.6
       -0.0141       -15501.6
       -0.0138       -16464.6
       -0.0135         -17466
       -0.0132       -18509.4
       -0.0129       -19598.8
       -0.0126       -20738.1
       -0.0123       -21931.8
        -0.012       -23184.8
       -0.0117       -24502.2
       -0.0114       -25889.9
       -0.0111       -27354.3
       -0.0108       -28902.6
       -0.0105       -30542.8
       -0.0102         -32284
       -0.0099       -34136.8
       -0.0096         -36113
       -0.0093       -38226.4
        -0.009       -40493.1
       -0.0087         -42932
       -0.0084       -45565.5
       -0.0081       -48420.6
       -0.0078         -51530
       -0.0075       -54934.3
       -0.0072       -58684.1
       -0.0069         -62845
       -0.0066       -67502.9
       -0.0063       -72774.9
        -0.006         -78828
       -0.0057       -85918.4
       -0.0054       -94505.5
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99764.9
       -0.0039       -98218.1
       -0.0036       -96893.1
       -0.0033       -95787.8
        -0.003       -94888.5
       -0.0027       -94173.4
       -0.0024       -93618.2
       -0.0021       -93198.6
       -0.0018       -92891.1
       -0.0015       -92673.6
       -0.0012         -92526
       -0.0009       -92431.7
       -0.0006         -92378
       -0.0003       -92352.3
             0       -92343.4
        0.0003       -92345.4
        0.0006       -92356.3
        0.0009       -92378.2
        0.0012       -92415.8
        0.0015         -92480
        0.0018       -92587.1
        0.0021       -92754.2
        0.0024       -92998.4
        0.0027       -93339.6
         0.003       -93800.1
        0.0033       -94403.7
        0.0036       -95174.7
        0.0039       -96136.9
        0.0042       -97310.1
        0.0045       -98704.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91513.7
        0.0063       -83492.6
        0.0066       -76782.2
        0.0069       -71014.3
        0.0072       -65967.5
        0.0075       -61492.9
        0.0078       -57484.6
        0.0081       -53863.9
        0.0084       -50570.5
        0.0087       -47557.5
         0.009       -44787.1
        0.0093       -42228.6
        0.0096       -39856.8
        0.0099       -37650.4
        0.0102       -35591.6
        0.0105       -33665.1
        0.0108       -31857.8
        0.0111       -30158.3
        0.0114       -28556.6
        0.0117         -27044
         0.012       -25612.6
        0.0123       -24255.5
        0.0126       -22966.6
        0.0129       -21740.2
        0.0132       -20571.1
        0.0135       -19454.7
        0.0138       -18386.6
        0.0141       -17362.8
        0.0144       -16379.5
        0.0147       -15433.1
         0.015       -14520.1
        0.0153       -13637.1
        0.0156       -12780.8
        0.0159       -11947.8
        0.0162       -11134.3
        0.0165       -10336.7
        0.0168       -9550.59
        0.0171        -8771.1
        0.0174       -7992.41
        0.0177       -7207.26
         0.018       -6406.13
        0.0183       -5575.87
        0.0186       -4697.06
        0.0189        -3738.9
        0.0192       -2647.85
        0.0195       -1319.61
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -125.125
         0.021       -875.558
        0.0213       -1362.43
        0.0216       -1694.68
        0.0219        -1928.4
        0.0222       -2095.34
        0.0225       -2214.89
        0.0228       -2299.66
        0.0231       -2358.24
        0.0234       -2396.69
        0.0237       -2419.45
         0.024       -2429.85
        0.0243       -2430.43
        0.0246       -2423.14
        0.0249       -2409.54
        0.0252       -2390.87
        0.0255       -2368.12
        0.0258       -2342.11
        0.0261       -2313.49
        0.0264       -2282.81
        0.0267       -2250.53
         0.027          -2217
        0.0273       -2182.56
        0.0276       -2147.45
        0.0279        -2111.9
        0.0282       -2076.09
        0.0285       -2040.18
        0.0288        -2004.3
        0.0291       -1968.56
        0.0294       -1933.05
        0.0297       -1897.85
          0.03       -1863.04
        0.0303       -1828.65
        0.0306       -1794.75
        0.0309       -1761.36
        0.0312       -1728.53
        0.0315       -1696.26
        0.0318       -1664.59
        0.0321       -1633.52
        0.0324       -1603.08
        0.0327       -1573.25
         0.033       -1544.06
        0.0333        -1515.5
        0.0336       -1487.57
        0.0339       -1460.29
        0.0342       -1433.64
        0.0345       -1407.63
        0.0348       -1382.25
        0.0351       -1357.51
        0.0354       -1333.39
        0.0357       -1309.89
         0.036       -1287.01
        0.0363       -1264.75
        0.0366       -1243.11
        0.0369       -1222.08
        0.0372       -1201.66
        0.0375       -1181.84
        0.0378       -1162.62
        0.0381       -1144.01
        0.0384       -1125.99
        0.0387       -1108.57
         0.039       -1091.74
        0.0393        -1075.5
        0.0396       -1059.85
        0.0399       -1044.78
        0.0402        -1030.3
        0.0405        -1016.4
        0.0408        -1003.1
