# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -38.0262
       -0.0297       -161.497
       -0.0294       -286.195
       -0.0291       -412.244
       -0.0288       -539.797
       -0.0285       -669.029
       -0.0282        -800.13
       -0.0279       -933.302
       -0.0276       -1068.76
       -0.0273       -1206.72
        -0.027       -1347.44
       -0.0267       -1491.15
       -0.0264       -1638.13
       -0.0261       -1788.66
       -0.0258       -1943.03
       -0.0255       -2101.56
       -0.0252       -2264.58
       -0.0249       -2432.45
       -0.0246       -2605.56
       -0.0243       -2784.29
        -0.024       -2969.07
       -0.0237       -3160.36
       -0.0234       -3358.63
       -0.0231        -3564.4
       -0.0228        -3778.2
       -0.0225       -4000.61
       -0.0222       -4232.24
       -0.0219       -4473.74
       -0.0216        -4725.8
       -0.0213       -4989.13
        -0.021        -5264.5
       -0.0207       -5552.67
       -0.0204       -5854.46
       -0.0201       -6170.69
       -0.0198       -6502.74
       -0.0195       -6852.54
       -0.0192       -7220.44
       -0.0189       -7607.27
       -0.0186       -8013.99
       -0.0183       -8441.64
        -0.018       -8891.32
       -0.0177       -9364.17
       -0.0174       -9861.39
       -0.0171       -10384.2
       -0.0168         -10934
       -0.0165       -11512.2
       -0.0162       -12120.2
       -0.0159       -12759.6
       -0.0156         -13432
       -0.0153       -14139.2
        -0.015         -14883
       -0.0147       -15665.5
       -0.0144       -16488.9
       -0.0141       -17355.6
       -0.0138       -18268.1
       -0.0135       -19229.3
       -0.0132       -20242.3
       -0.0129       -21310.5
       -0.0126       -22437.8
       -0.0123       -23628.4
        -0.012         -24887
       -0.0117       -26218.8
       -0.0114       -27629.5
       -0.0111         -29126
       -0.0108       -30715.7
       -0.0105       -32407.3
       -0.0102       -34210.5
       -0.0099       -36136.7
       -0.0096         -38199
       -0.0093       -40412.5
        -0.009       -42795.3
       -0.0087       -45368.8
       -0.0084       -48158.6
       -0.0081       -51195.8
       -0.0078       -54518.5
       -0.0075       -58174.5
       -0.0072       -62224.9
       -0.0069         -66749
       -0.0066       -71852.8
       -0.0063       -77679.6
        -0.006       -84417.5
       -0.0057       -92244.2
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99825.1
       -0.0042       -98407.2
       -0.0039       -97097.6
       -0.0036       -95988.3
       -0.0033       -95081.7
        -0.003       -94358.6
       -0.0027       -93795.1
       -0.0024       -93366.1
       -0.0021       -93047.5
       -0.0018       -92816.6
       -0.0015       -92652.5
       -0.0012       -92536.7
       -0.0009       -92454.1
       -0.0006       -92393.9
       -0.0003       -92354.2
             0       -92343.4
        0.0003       -92364.7
        0.0006       -92408.5
        0.0009       -92470.4
        0.0012       -92553.7
        0.0015       -92669.2
        0.0018       -92832.7
        0.0021       -93062.4
        0.0024       -93379.5
        0.0027       -93806.5
         0.003       -94367.6
        0.0033         -95088
        0.0036       -95992.5
        0.0039       -97099.8
        0.0042       -98407.7
        0.0045       -99824.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057       -92254.5
         0.006       -84423.7
        0.0063       -77685.6
        0.0066       -71859.2
        0.0069       -66756.1
        0.0072       -62232.9
        0.0075       -58183.6
        0.0078       -54528.9
        0.0081       -51207.8
        0.0084       -48172.3
        0.0087       -45384.2
         0.009       -42812.4
        0.0093       -40431.2
        0.0096       -38219.3
        0.0099       -36158.6
        0.0102       -34233.9
        0.0105       -32432.1
        0.0108         -30742
        0.0111       -29153.7
        0.0114       -27658.7
        0.0117       -26249.5
         0.012       -24919.3
        0.0123       -23662.1
        0.0126         -22473
        0.0129       -21347.1
        0.0132       -20280.3
        0.0135       -19268.9
        0.0138       -18309.3
        0.0141       -17398.4
        0.0144       -16533.3
        0.0147       -15711.5
         0.015       -14930.4
        0.0153       -14187.9
        0.0156         -13482
        0.0159       -12810.7
        0.0162       -12172.2
        0.0165       -11564.9
        0.0168       -10987.3
        0.0171       -10437.8
        0.0174       -9915.05
        0.0177       -9417.74
         0.018        -8944.6
        0.0183       -8494.41
        0.0186       -8066.04
        0.0189       -7658.39
        0.0192       -7270.44
        0.0195       -6901.24
        0.0198       -6550.02
        0.0201       -6216.46
        0.0204       -5898.69
        0.0207       -5595.37
         0.021       -5305.66
        0.0213       -5028.75
        0.0216       -4763.84
        0.0219       -4510.18
        0.0222       -4267.08
        0.0225       -4033.83
        0.0228       -3809.81
        0.0231        -3594.4
        0.0234       -3387.05
        0.0237       -3187.21
         0.024       -2994.38
        0.0243       -2808.08
        0.0246       -2627.86
        0.0249       -2453.29
        0.0252       -2283.98
        0.0255       -2119.55
        0.0258       -1959.65
        0.0261       -1803.93
        0.0264        -1652.1
        0.0267       -1503.84
         0.027       -1358.87
        0.0273       -1216.94
        0.0276       -1077.78
        0.0279       -941.159
        0.0282       -806.851
        0.0285       -674.636
        0.0288       -544.312
        0.0291       -415.686
        0.0294       -288.582
        0.0297       -162.842
          0.03       -38.3429
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
