particle,length
0,0.00877038
1,0.0650022
2,0.000755687
3,0.0231414
4,0.00201738
5,0.0184058
6,0.0325931
7,0.123624
8,0.0232644
9,0.0162022
10,0.00152647
11,0.0194779
12,0.00249241
13,0.00152717
14,0.000666702
15,0.0160004
16,0.0676959
17,0.00128338
18,0.0148124
19,0.0205049
20,0.0240819
21,0.0300654
22,0.000555141
23,0.0308881
24,0.04793
25,0.0639331
26,0.132011
27,0.0155339
28,0.0239678
29,0.063154
30,0.000854379
31,0.0630932
32,0.0216793
33,0.000421724
34,0.0293915
35,0.0320197
36,0.0360661
37,0.0833141
38,0.0216903
39,0.0666429
40,0.0325221
41,0.0327603
42,0.00314571
43,0.000778971
44,0.116471
45,0.0622299
46,0.00117079
47,0.0156538
48,0.0365861
49,0.00112309
50,0.0261087
51,0.00023066
52,0.00130684
53,0.00210373
54,0.00158824
55,0.0855939
56,0.0577204
57,0.00139893
58,0.017258
59,0.000359608
60,0.000404692
61,0.0025088
62,0.00269154
63,0.0184653
64,0.0921436
65,0.0608583
66,0.0141437
67,0.00204702
68,0.00337236
69,0.00270575
70,0.0316428
71,0.001618
72,0.0346468
73,0.000650762
74,0.00265081
75,0.0195111
76,0.000831121
77,0.0924504
78,0.0233813
79,0.0291316
80,0.0280594
81,0.000991646
82,0.00535256
83,0.0284306
84,0.0633364
85,0.0190917
86,0.0205046
87,0.0187238
88,0.0202244
89,0.0232526
90,0.170736
91,0.0291197
92,0.0226322
93,0.0366351
94,0.022892
95,0.0202443
96,0.0192303
97,0.0498027
98,0.1096
99,0.0691671
100,0.0156002
101,0.000844501
102,0.076746
103,0.00126423
104,0.00271542
105,0.0351537
106,0.0624252
107,0.00100974
108,0.001512
109,0.000308732
110,0.117609
111,0.0247455
112,0.0700591
113,0.0161933
114,0.0268926
115,0.0265563
116,0.0595058
117,0.00341515
118,0.0010069
119,0.067521
120,0.00141121
121,0.0886022
122,0.0192341
123,0.02683
124,0.00228837
125,0.0135234
126,0.0443596
127,0.0234268
128,0.0272708
129,0.000630828
130,0.0186596
131,0.00223795
132,0.0229429
133,0.0266349
134,0.0195705
135,0.0195835
136,0.000784876
137,0.0221431
138,0.00598961
139,0.112775
140,0.019093
141,0.0464168
142,0.0255511
143,0.0209793
144,0.000813426
145,0.0260099
146,0.0852605
147,0.0208867
148,0.0154046
149,0.0209578
150,0.00189028
151,0.0280625
152,0.0819349
153,0.0263986
154,0.00299134
155,0.0209905
156,0.0229099
157,0.000705777
158,0.0455857
159,0.0191481
160,0.000102363
161,0.017635
162,0.0226581
163,0.0209437
164,0.00199543
165,0.0639873
166,0.0271483
167,0.00162766
168,0.0196266
169,0.00114438
170,0.00189433
171,0.0275231
172,0.0433987
173,0.0299797
174,0.18518
175,0.0598282
176,0.00116048
177,0.0521057
178,0.0134347
179,0.00199233
180,0.0293008
181,0.0332092
182,0.0237194
183,0.0214409
184,0.000882036
185,0.0337797
186,0.0831764
187,0.000648676
188,0.000912902
189,0.0327865
190,0.0186411
191,0.0593237
192,0.00256293
193,0.0017395
194,0.0284767
195,0.0283272
196,0.00199243
197,0.00092742
198,0.0860218
199,0.0290509
200,0.0246262
201,0.00142946
202,0.00223313
203,0.00233769
204,0.021987
205,0.00321117
206,0.00256858
207,0.0252228
208,0.00228824
209,0.000937907
210,0.000884136
211,0.000594932
212,0.0310411
213,0.0855241
214,0.0021892
215,0.070034
216,0.024846
217,0.0188299
218,0.0642685
219,0.000911248
220,0.00105995
221,0.0137863
222,0.052125
223,0.000329524
224,0.0216064
225,0.121473
226,0.017742
227,0.0310799
228,0.0286583
229,0.0791881
230,0.0226821
231,0.00958254
232,0.0027522
233,0.0383406
234,0.0011109
235,0.036752
236,0.0346478
237,0.0266364
238,0.0258452
239,0.0251197
240,0.00261587
241,0.0627346
242,0.0231439
243,0.00152171
244,0.00250435
245,0.0207921
246,0.0216774
247,0.0708411
248,0.0709414
249,0.0268774
250,0.0265937
251,0.0250791
252,0.00250952
253,0.015625
254,0.0167298
255,0.00186511
256,0.000723604
257,0.00244061
258,0.0212437
259,0.00258701
260,0.00132362
261,0.00559997
262,0.0203358
263,0.0412965
264,0.000959918
265,0.0221819
266,0.0217883
267,0.0134617
268,0.0636672
269,0.02715
270,0.027143
271,0.0602791
272,0.0190181
273,0.00151914
274,0.00288889
275,0.0836808
276,0.0613804
277,0.00170329
278,0.00137887
279,0.0230052
280,0.0900945
281,0.0170925
282,0.0326341
283,0.0220058
284,0.0238216
285,0.0332417
286,0.00698067
287,0.0247631
288,0.000486044
289,0.00122361
290,0.0191809
291,0.0307212
292,0.0220168
293,0.0012918
294,0.0213275
295,0.00102288
296,0.0302209
297,0.000719943
298,0.0366796
299,0.00210526
300,0.000196243
301,0.0199184
302,0.0435695
303,0.232577
304,0.116046
305,0.000747968
306,0.00151473
307,0.016524
308,0.0659737
309,0.0253621
310,0.0115536
311,0.000666488
312,0.000143996
313,0.0019842
314,0.0130798
315,0.0220484
316,0.00125049
317,0.0733319
318,0.0244918
319,0.0198086
320,0.00432357
321,0.0202815
322,0.0615124
323,0.000790557
324,0.0223402
325,0.00684354
326,0.00414581
327,0.0618529
328,0.000618792
329,0.0238196
330,0.044571
331,0.00132193
332,0.0246915
333,0.0182514
334,0.0276361
335,0.0216395
336,0.0645549
337,0.0425562
338,0.00162039
339,0.00206005
340,0.000573181
341,0.00996713
342,0.000974136
343,0.00172886
344,0.00167134
345,0.0691913
346,0.00115221
347,0.0218111
348,0.0765689
349,0.0567556
350,0.000895908
351,0.000305252
352,0.0627665
353,0.000823898
354,0.0276044
355,0.0354408
356,0.071103
357,0.014831
358,0.0247678
359,0.0728378
360,0.000722234
361,0.0247526
362,0.0701082
363,0.100714
364,0.00250864
365,0.0262697
366,0.0253212
367,0.00217555
368,0.0829366
369,0.0644137
370,0.0267314
371,0.0614029
372,0.0319663
373,0.0394587
374,0.000794497
375,0.0440316
376,0.0024424
377,0.0627774
378,0.0214799
379,0.0298258
380,0.00696385
381,0.021816
382,0.0252252
383,0.000424539
384,0.00142426
385,0.0173242
386,0.0205287
387,0.0342999
388,0.0219044
389,0.0156498
390,0.00107828
391,0.00166193
392,0.107725
393,0.00175777
394,0.00102305
395,0.00129409
396,0.0635457
397,0.00341491
398,0.0207305
399,0.0802242
400,0.0187885
401,0.00192439
402,0.0224965
403,0.00280405
404,0.0129736
405,0.0235544
406,0.00064896
407,0.0263429
408,0.023534
409,0.00108035
410,0.0216948
411,0.0017218
412,0.0021842
413,0.00155272
414,0.00160933
415,0.0325247
416,0.0126604
417,2.35682e-05
418,0.0159827
419,0.000897469
420,0.0125477
421,0.0195093
422,0.00287641
423,0.00118575
424,0.000437786
425,0.00112683
426,0.00118289
427,0.0205367
428,0.0232631
429,0.00092596
430,0.00250364
431,0.0264837
432,0.0676088
433,0.0766821
434,0.00190686
435,0.0739947
436,0.0146058
437,0.0382618
438,0.002305
439,0.0236299
440,0.000588143
441,7.1387e-06
442,0.00066591
443,0.000576718
444,0.0146551
445,0.0436154
446,0.0835044
447,0.000668782
448,0.0930134
449,0.00240974
450,0.0147532
451,0.02029
452,0.000209999
453,0.0707367
454,0.0602521
455,0.000909628
456,0.020777
457,0.0273792
458,0.00150382
459,0.00280322
460,0.0722805
461,0.00507868
462,0.043206
463,0.023083
464,0.0239924
465,0.00190825
466,0.0242277
467,0.000445505
468,0.00112856
469,0.00154687
470,0.000910997
471,0.0655076
472,0.0195752
473,0.00288637
474,0.00161071
475,0.0307128
476,0.0636835
477,0.00176075
478,0.0252083
479,0.121278
480,0.00121964
481,0.0451411
482,0.0229073
483,0.00227985
484,0.0175266
485,0.105134
486,0.00104847
487,0.0309605
488,0.0150348
489,0.00119933
490,0.00247931
491,0.0145508
492,0.0172858
493,0.0036907
494,0.0529773
495,0.103648
496,0.00305587
497,0.0850323
498,0.0201522
499,0.0024196
500,0.0012014
501,0.0394433
502,0.0279103
503,0.0303148
504,0.000881598
505,0.000994353
506,0.0191937
507,0.00150498
508,0.00318036
509,0.000694398
510,0.0139316
511,0.00189175
512,0.0014765
513,0.00126276
514,0.0296957
515,0.000739562
516,0.0183015
517,0.00237561
518,0.0966403
519,0.00167719
520,0.00222726
521,0.0301127
522,0.0163639
523,0.00058101
524,0.0307942
525,0.0220382
526,0.00152979
527,0.000639148
528,0.020051
529,0.0602658
530,0.0587773
531,0.00343505
532,0.102726
533,0.0277723
534,0.00227772
535,0.0270455
536,0.0828331
537,0.000750862
538,0.0714833
539,0.00251057
540,0.071283
541,0.0254764
542,0.0029011
543,0.0168135
544,0.0194836
545,0.0602112
546,0.100417
547,0.0324997
548,0.00226734
549,0.0826867
550,0.0208526
551,0.000822548
552,0.00379397
553,0.0718994
554,0.0214787
555,0.00249003
556,0.0220676
557,0.0195755
558,0.00274323
559,0.0838603
560,0.0274961
561,0.00356643
562,0.0210195
563,0.0328929
564,0.0264942
565,0.00272872
566,0.000613927
567,0.0249554
568,0.000778523
569,0.0194976
570,0.00236996
571,0.0679138
572,0.00152104
573,0.0157035
574,0.0252698
575,0.0760817
576,0.00423268
577,0.0656445
578,0.0269748
579,0.125508
580,0.0267069
581,0.0297435
582,0.00128625
583,0.0245682
584,0.0572018
585,0.0276474
586,0.00188875
587,0.0306846
588,0.0252041
589,0.0175095
590,0.030013
591,0.00175008
592,0.0343267
593,0.0502845
594,0.000591752
595,0.184625
596,0.00174862
597,0.019229
598,0.0220428
599,0.022301
600,0.0189546
601,0.0111247
602,0.0155539
603,0.0649169
604,0.0240807
605,0.025706
606,0.0723273
607,0.0020692
608,0.00212325
609,0.1013
610,0.000978945
611,0.000564995
612,0.00104303
613,0.0027825
614,0.018049
615,0.0192066
616,0.0128568
617,0.0184997
618,0.0215141
619,0.068286
620,0.000613358
621,0.0201622
622,0.000942712
623,0.00109032
624,0.0204555
625,0.0013569
626,0.000999294
627,0.0336669
628,0.00560411
629,0.000536523
630,0.0398271
631,0.000833729
632,0.00226632
633,0.0242844
634,0.000663182
635,0.00321738
636,0.000941792
637,0.0209072
638,0.0221253
639,0.015457
640,0.0309794
641,0.0181987
642,0.0324548
643,0.00203034
644,0.0170082
645,0.0216335
646,0.0207012
647,0.000450817
648,0.000864802
649,0.0198641
650,0.018024
651,0.0241223
652,0.00125393
653,0.000994312
654,0.0203204
655,0.0234029
656,0.0227701
657,0.00241189
658,0.00246156
659,0.00104399
660,0.0657598
661,0.0174454
662,0.0286459
663,0.0151961
664,0.0028734
665,0.0995201
666,0.0194587
667,0.0439284
668,0.0193586
669,0.000474153
670,0.0193709
671,0.00281633
672,0.0439533
673,0.0211518
674,0.0012803
675,0.0207233
676,0.232891
677,0.00206207
678,0.0170144
679,0.00263056
680,0.0220578
681,0.0600817
682,0.0218529
683,0.000661894
684,0.0685284
685,0.00225972
686,0.0152819
687,4.44506e-05
688,0.0301345
689,0.0013828
690,0.00118491
691,0.044614
692,0.0303681
693,0.0203984
694,0.0203838
695,0.0196488
696,0.0704972
697,0.046085
698,0.0252158
699,0.076497
700,0.000561955
701,0.0727013
702,0.0190544
703,0.00612107
704,0.00208628
705,0.00180291
706,0.0604963
707,0.0876676
708,0.0178968
709,0.0183602
710,0.021373
711,0.0022308
712,0.0013529
713,0.0463465
714,0.0673292
715,0.000501302
716,0.0587575
717,0.167236
718,0.0192383
719,0.0314067
720,0.00289559
721,0.000720899
722,0.0246238
723,0.00190269
724,0.0760309
725,0.0149262
726,0.0019148
727,0.00340843
728,0.00231121
729,0.00142563
730,0.0447835
731,0.0293961
732,0.00317548
733,3.3277e-05
734,0.00158056
735,0.0202231
736,0.0548822
737,0.00165579
738,0.0370793
739,0.00149558
740,0.0391024
741,0.000733934
742,0.0182089
743,0.000977461
744,0.0213316
745,0.061719
746,0.0008853
747,0.0190497
748,0.0644991
749,0.0907151
750,0.00397792
751,0.0320605
752,0.0174159
753,0.00226815
754,0.00209777
755,0.00567759
756,0.00609097
757,0.0
758,0.000291872
759,0.0803512
760,0.176077
761,0.0206876
762,0.0206757
763,0.172277
764,0.00117393
765,0.00184697
766,0.0113093
767,0.00230452
768,0.0813348
769,0.0620207
770,0.00306488
771,0.00267758
772,0.060942
773,0.0249505
774,0.0119725
775,0.0631753
776,0.0651432
777,0.0201031
778,0.022734
779,0.000654167
780,0.021184
781,0.00186551
782,0.00250457
783,0.0017251
784,0.0210136
785,0.001818
786,0.0202114
787,0.059115
788,0.0023146
789,0.0216108
790,0.000828093
791,0.000568904
792,0.0475951
793,0.0269686
794,0.0154384
795,0.0288284
796,0.0158351
797,0.00181432
798,0.0290179
799,0.0253115
800,0.00319671
801,0.00107321
802,0.021655
803,0.00117792
804,0.0232054
805,0.00226345
806,0.109837
807,0.0825932
808,0.0208809
809,0.0648304
810,0.0165434
811,0.00302313
812,0.0499003
813,0.00269479
814,0.00195905
815,0.0210753
816,0.00247307
817,0.0254601
818,0.0280412
819,0.00114423
820,0.099837
821,0.00266783
822,0.0736047
823,0.0147743
824,0.0716233
825,0.00978043
826,0.0651826
827,0.000708372
828,0.00382107
829,0.0572268
830,0.0013591
831,0.00180567
832,0.0167988
833,0.000536321
834,0.021683
835,0.000644572
836,0.000143273
837,0.00111425
838,0.0690018
839,0.0281006
840,0.0888758
841,0.0718957
842,0.2237
843,0.0207989
844,0.0264438
845,0.0729363
846,0.000533619
847,0.000507685
848,0.0373593
849,0.000443289
850,0.000451941
851,0.00245408
852,0.0495581
853,0.00231793
854,0.0648136
855,0.00435453
856,0.00147744
857,0.00250753
858,0.0191939
859,0.0263308
860,0.0215949
861,0.000973723
862,0.0199007
863,0.0328032
864,8.76254e-05
865,0.00153918
866,0.0601236
867,0.0011744
868,0.020569
869,0.00213926
870,0.0256469
871,0.0180156
872,0.0202625
873,0.0347756
874,0.0554396
875,0.0259054
876,0.00016263
877,0.0205167
878,0.00126386
879,0.027769
880,0.0155109
881,0.00257658
882,0.0202797
883,0.00446708
884,0.0163842
885,0.0189142
886,0.00143408
887,0.000802341
888,0.0333105
889,0.0193475
890,0.0213576
891,0.0356954
892,0.0027676
