# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -39.2699
       -0.0294       -120.134
       -0.0291       -202.005
       -0.0288       -284.603
       -0.0285       -367.792
       -0.0282       -451.467
       -0.0279       -535.523
       -0.0276       -619.844
       -0.0273       -704.295
        -0.027       -788.718
       -0.0267       -872.927
       -0.0264       -956.702
       -0.0261       -1039.78
       -0.0258       -1121.85
       -0.0255       -1202.53
       -0.0252       -1281.38
       -0.0249       -1357.83
       -0.0246       -1431.23
       -0.0243       -1500.75
        -0.024       -1565.37
       -0.0237       -1623.84
       -0.0234       -1674.55
       -0.0231       -1715.48
       -0.0228          -1744
       -0.0225       -1756.65
       -0.0222       -1748.78
       -0.0219       -1713.98
       -0.0216       -1643.14
       -0.0213       -1522.75
        -0.021       -1331.82
       -0.0207       -1035.58
       -0.0204       -571.545
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -181.993
       -0.0189       -1815.62
       -0.0186       -3075.76
       -0.0183       -4141.63
        -0.018       -5096.27
       -0.0177       -5983.68
       -0.0174       -6829.84
       -0.0171       -7651.46
       -0.0168       -8460.13
       -0.0165       -9264.36
       -0.0162       -10070.8
       -0.0159       -10884.7
       -0.0156       -11710.7
       -0.0153         -12553
        -0.015         -13415
       -0.0147       -14300.5
       -0.0144       -15212.6
       -0.0141       -16154.8
       -0.0138       -17130.5
       -0.0135       -18143.2
       -0.0132       -19196.4
       -0.0129         -20294
       -0.0126       -21440.2
       -0.0123       -22639.3
        -0.012       -23896.1
       -0.0117       -25215.9
       -0.0114       -26604.4
       -0.0111         -28068
       -0.0108       -29613.8
       -0.0105       -31249.9
       -0.0102       -32985.3
       -0.0099       -34830.2
       -0.0096       -36796.6
       -0.0093       -38897.9
        -0.009       -41150.1
       -0.0087       -43571.8
       -0.0084       -46185.1
       -0.0081       -49016.5
       -0.0078       -52098.4
       -0.0075       -55470.5
       -0.0072         -59183
       -0.0069         -63300
       -0.0066       -67906.4
       -0.0063       -73117.5
        -0.006       -79097.7
       -0.0057       -86099.7
       -0.0054       -94576.7
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99777.4
       -0.0039       -98313.2
       -0.0036       -97064.7
       -0.0033       -96031.4
        -0.003         -95200
       -0.0027       -94548.9
       -0.0024         -94054
       -0.0021       -93690.9
       -0.0018       -93436.1
       -0.0015       -93267.6
       -0.0012       -93164.9
       -0.0009       -93109.2
       -0.0006       -93084.4
       -0.0003       -93076.8
             0       -93076.4
        0.0003       -93077.3
        0.0006       -93077.8
        0.0009         -93081
        0.0012         -93094
        0.0015         -93128
        0.0018       -93197.8
        0.0021       -93320.5
        0.0024       -93515.6
        0.0027         -93804
         0.003       -94208.1
        0.0033       -94751.7
        0.0036       -95459.1
        0.0039       -96353.8
        0.0042       -97455.1
        0.0045       -98772.2
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -91628.6
        0.0063       -83714.2
        0.0066       -77090.5
        0.0069       -71394.8
        0.0072       -66408.6
        0.0075       -61985.5
        0.0078       -58021.2
        0.0081       -54438.3
        0.0084       -51177.7
        0.0087       -48192.8
         0.009       -45446.8
        0.0093       -42909.3
        0.0096       -40555.4
        0.0099       -38364.4
        0.0102       -36318.4
        0.0105       -34402.6
        0.0108       -32603.9
        0.0111       -30911.1
        0.0114       -29314.3
        0.0117       -27804.7
         0.012       -26374.8
        0.0123       -25017.6
        0.0126         -23727
        0.0129       -22497.2
        0.0132       -21323.3
        0.0135       -20200.5
        0.0138       -19124.4
        0.0141       -18091.1
        0.0144       -17096.7
        0.0147       -16137.5
         0.015         -15210
        0.0153       -14310.9
        0.0156       -13436.5
        0.0159       -12583.3
        0.0162       -11747.7
        0.0165       -10925.5
        0.0168       -10112.5
        0.0171       -9303.34
        0.0174       -8491.94
        0.0177       -7670.55
         0.018       -6829.03
        0.0183       -5953.27
        0.0186       -5022.45
        0.0189       -4003.52
        0.0192        -2838.9
        0.0195       -1416.45
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -136.988
         0.021       -958.902
        0.0213       -1492.51
        0.0216        -1856.8
        0.0219       -2113.02
        0.0222       -2295.81
        0.0225       -2426.38
        0.0228       -2518.51
        0.0231       -2581.63
        0.0234        -2622.4
        0.0237       -2645.73
         0.024       -2655.27
        0.0243       -2653.84
        0.0246       -2643.62
        0.0249       -2626.34
        0.0252       -2603.36
        0.0255       -2575.82
        0.0258        -2544.6
        0.0261       -2510.46
        0.0264       -2474.01
        0.0267       -2435.76
         0.027       -2396.13
        0.0273       -2355.47
        0.0276        -2314.1
        0.0279       -2272.24
        0.0282       -2230.12
        0.0285       -2187.92
        0.0288       -2145.77
        0.0291       -2103.82
        0.0294       -2062.16
        0.0297       -2020.88
          0.03       -1980.06
        0.0303       -1939.76
        0.0306       -1900.04
        0.0309       -1860.93
        0.0312       -1822.47
        0.0315        -1784.7
        0.0318       -1747.64
        0.0321        -1711.3
        0.0324        -1675.7
        0.0327       -1640.86
         0.033       -1606.79
        0.0333       -1573.48
        0.0336       -1540.95
        0.0339       -1509.21
        0.0342       -1478.24
        0.0345       -1448.06
        0.0348       -1418.66
        0.0351       -1390.04
        0.0354        -1362.2
        0.0357       -1335.14
         0.036       -1308.84
        0.0363       -1283.31
        0.0366       -1258.54
        0.0369       -1234.53
        0.0372       -1211.27
        0.0375       -1188.75
        0.0378       -1166.97
        0.0381       -1145.93
        0.0384        -1125.6
        0.0387          -1106
         0.039       -1087.11
        0.0393       -1068.93
        0.0396       -1051.44
        0.0399       -1034.65
        0.0402       -1018.55
        0.0405       -1003.13
        0.0408       -988.381
        0.0411       -974.305
