# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -39.6493
       -0.0297        -168.39
       -0.0294       -298.411
       -0.0291       -429.841
       -0.0288        -562.84
       -0.0285        -697.59
       -0.0282       -834.288
       -0.0279       -973.146
       -0.0276       -1114.38
       -0.0273       -1258.24
        -0.027       -1404.95
       -0.0267       -1554.79
       -0.0264       -1708.02
       -0.0261       -1864.94
       -0.0258       -2025.85
       -0.0255       -2191.08
       -0.0252       -2360.98
       -0.0249       -2535.91
       -0.0246       -2716.25
       -0.0243       -2902.43
        -0.024       -3094.87
       -0.0237       -3294.05
       -0.0234       -3500.44
       -0.0231       -3714.58
       -0.0228       -3937.02
       -0.0225       -4168.33
       -0.0222       -4409.14
       -0.0219       -4660.08
       -0.0216       -4921.86
       -0.0213       -5195.19
        -0.021       -5480.82
       -0.0207       -5779.55
       -0.0204       -6092.21
       -0.0201       -6419.65
       -0.0198       -6762.82
       -0.0195       -7122.73
       -0.0192       -7500.33
       -0.0189        -7896.6
       -0.0186       -8312.59
       -0.0183       -8749.39
        -0.018       -9208.13
       -0.0177       -9689.97
       -0.0174       -10196.1
       -0.0171       -10727.9
       -0.0168       -11286.6
       -0.0165       -11873.6
       -0.0162       -12490.4
       -0.0159       -13138.5
       -0.0156       -13819.6
       -0.0153       -14535.3
        -0.015       -15287.6
       -0.0147       -16078.3
       -0.0144       -16909.8
       -0.0141       -17784.2
       -0.0138       -18704.1
       -0.0135       -19672.4
       -0.0132       -20692.1
       -0.0129       -21766.4
       -0.0126       -22899.2
       -0.0123       -24094.6
        -0.012       -25357.2
       -0.0117       -26692.1
       -0.0114       -28105.3
       -0.0111       -29603.1
       -0.0108       -31193.1
       -0.0105       -32883.7
       -0.0102       -34684.6
       -0.0099       -36606.9
       -0.0096       -38663.7
       -0.0093       -40869.9
        -0.009       -43243.4
       -0.0087       -45805.2
       -0.0084       -48580.7
       -0.0081       -51600.5
       -0.0078       -54902.5
       -0.0075         -58534
       -0.0072       -62555.4
       -0.0069       -67045.1
       -0.0066       -72107.9
       -0.0063       -77885.5
        -0.006       -84563.7
       -0.0057         -92318
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99831.5
       -0.0042       -98466.5
       -0.0039       -97210.1
       -0.0036       -96152.8
       -0.0033       -95296.9
        -0.003       -94623.9
       -0.0027       -94110.2
       -0.0024       -93731.5
       -0.0021       -93464.3
       -0.0018       -93286.3
       -0.0015       -93176.4
       -0.0012       -93115.8
       -0.0009       -93087.5
       -0.0006       -93077.8
       -0.0003       -93076.2
             0       -93076.4
        0.0003       -93076.4
        0.0006       -93078.1
        0.0009         -93088
        0.0012       -93116.2
        0.0015       -93176.9
        0.0018       -93286.6
        0.0021       -93464.6
        0.0024       -93731.6
        0.0027       -94110.1
         0.003       -94623.5
        0.0033       -95296.2
        0.0036       -96151.9
        0.0039         -97209
        0.0042       -98465.3
        0.0045       -99830.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057       -92330.4
         0.006       -84572.8
        0.0063       -77894.6
        0.0066       -72117.4
        0.0069         -67055
        0.0072       -62565.7
        0.0075       -58544.9
        0.0078       -54914.1
        0.0081       -51612.8
        0.0084       -48593.9
        0.0087       -45819.4
         0.009       -43258.6
        0.0093       -40886.4
        0.0096       -38681.4
        0.0099         -36626
        0.0102       -34705.2
        0.0105       -32905.8
        0.0108       -31216.8
        0.0111       -29628.6
        0.0114       -28132.5
        0.0117       -26721.3
         0.012       -25388.2
        0.0123       -24127.6
        0.0126       -22934.1
        0.0129       -21803.3
        0.0132       -20730.9
        0.0135       -19713.3
        0.0138       -18746.9
        0.0141       -17828.9
        0.0144       -16956.2
        0.0147       -16126.5
         0.015       -15337.4
        0.0153       -14586.6
        0.0156       -13872.2
        0.0159       -13192.3
        0.0162       -12545.2
        0.0165       -11929.2
        0.0168       -11342.8
        0.0171       -10784.5
        0.0174       -10252.9
        0.0177       -9746.68
         0.018       -9264.61
        0.0183       -8805.44
        0.0186       -8368.01
        0.0189       -7951.21
        0.0192       -7553.97
        0.0195       -7175.24
        0.0198       -6814.05
        0.0201       -6469.49
        0.0204       -6140.57
        0.0207       -5826.34
         0.021       -5525.98
        0.0213       -5238.64
        0.0216       -4963.57
        0.0219       -4700.02
        0.0222       -4447.28
        0.0225       -4204.67
        0.0228       -3971.56
        0.0231       -3747.33
        0.0234       -3531.41
        0.0237       -3323.26
         0.024       -3122.36
        0.0243       -2928.22
        0.0246       -2740.39
        0.0249       -2558.42
        0.0252       -2381.91
        0.0255       -2210.47
        0.0258       -2043.74
        0.0261       -1881.36
        0.0264       -1723.02
        0.0267        -1568.4
         0.027       -1417.22
        0.0273       -1269.19
        0.0276       -1124.06
        0.0279       -981.575
        0.0282       -841.497
        0.0285       -703.603
        0.0288       -567.681
        0.0291       -433.531
        0.0294       -300.969
        0.0297       -169.832
          0.03       -39.9884
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
