# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -14.0662
       -0.0294       -43.0424
       -0.0291       -72.4109
       -0.0288       -102.095
       -0.0285       -132.053
       -0.0282       -162.258
       -0.0279       -192.691
       -0.0276       -223.363
       -0.0273       -254.236
        -0.027       -285.217
       -0.0267       -316.241
       -0.0264       -347.254
       -0.0261       -378.176
       -0.0258       -408.919
       -0.0255        -439.33
       -0.0252       -469.273
       -0.0249       -498.546
       -0.0246       -526.921
       -0.0243       -554.104
        -0.024       -579.808
       -0.0237        -603.51
       -0.0234       -624.648
       -0.0231        -642.46
       -0.0228       -656.011
       -0.0225       -663.932
       -0.0222        -664.36
       -0.0219       -654.781
       -0.0216        -631.62
       -0.0213       -589.381
        -0.021       -519.404
       -0.0207       -407.102
       -0.0204         -226.5
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -97.9996
       -0.0189       -995.312
       -0.0186       -1713.36
       -0.0183       -2347.47
        -0.018       -2941.37
       -0.0177       -3518.19
       -0.0174       -4091.28
       -0.0171       -4669.28
       -0.0168       -5258.23
       -0.0165       -5862.72
       -0.0162       -6486.48
       -0.0159       -7132.73
       -0.0156       -7804.42
       -0.0153       -8504.32
        -0.015       -9235.16
       -0.0147       -9999.67
       -0.0144       -10800.6
       -0.0141         -11641
       -0.0138       -12523.9
       -0.0135       -13452.4
       -0.0132       -14430.3
       -0.0129       -15461.4
       -0.0126       -16549.8
       -0.0123       -17700.3
        -0.012       -18917.7
       -0.0117       -20207.9
       -0.0114       -21576.8
       -0.0111       -23031.6
       -0.0108         -24580
       -0.0105       -26230.7
       -0.0102       -27993.7
       -0.0099       -29880.2
       -0.0096       -31903.2
       -0.0093         -34078
        -0.009       -36422.2
       -0.0087       -38956.5
       -0.0084       -41705.5
       -0.0081       -44698.9
       -0.0078       -47972.6
       -0.0075         -51571
       -0.0072         -55550
       -0.0069       -59981.3
       -0.0066       -64959.8
       -0.0063       -70613.7
        -0.006       -77125.3
       -0.0057       -84773.1
       -0.0054       -94054.8
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99684.4
       -0.0039       -97603.9
       -0.0036       -95779.8
       -0.0033       -94198.7
        -0.003       -92842.2
       -0.0027       -91686.8
       -0.0024       -90708.7
       -0.0021         -89893
       -0.0018       -89250.3
       -0.0015       -88761.9
       -0.0012         -88399
       -0.0009       -88139.1
       -0.0006       -87957.5
       -0.0003       -87834.1
             0       -87764.7
        0.0003       -87754.3
        0.0006       -87805.6
        0.0009       -87911.4
        0.0012       -88064.6
        0.0015       -88275.2
        0.0018       -88568.8
        0.0021       -88968.2
        0.0024       -89497.2
        0.0027       -90191.8
         0.003       -91056.3
        0.0033       -92086.4
        0.0036       -93300.5
        0.0039       -94721.2
        0.0042       -96370.7
        0.0045         -98266
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -90803.9
        0.0063       -82124.4
        0.0066       -74879.2
        0.0069       -68668.4
        0.0072       -63250.4
        0.0075       -58462.4
        0.0078       -54187.9
        0.0081       -50340.3
        0.0084       -46853.6
        0.0087       -43675.9
         0.009       -40765.7
        0.0093       -38089.5
        0.0096       -35619.4
        0.0099         -33332
        0.0102       -31207.8
        0.0105         -29230
        0.0108       -27384.3
        0.0111       -25658.2
        0.0114       -24041.1
        0.0117       -22523.2
         0.012       -21096.2
        0.0123       -19752.7
        0.0126       -18485.9
        0.0129       -17289.8
        0.0132         -16159
        0.0135       -15088.6
        0.0138       -14074.1
        0.0141       -13111.5
        0.0144       -12197.1
        0.0147       -11327.4
         0.015       -10499.2
        0.0153       -9709.52
        0.0156       -8955.49
        0.0159       -8234.33
        0.0162       -7543.34
        0.0165       -6879.85
        0.0168       -6241.15
        0.0171       -5624.36
        0.0174        -5026.1
        0.0177       -4442.51
         0.018       -3868.79
        0.0183        -3298.4
        0.0186       -2721.72
        0.0189       -2123.11
        0.0192       -1474.91
        0.0195       -722.218
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -46.0771
         0.021       -318.394
        0.0213        -489.17
        0.0216       -600.678
        0.0219       -675.015
        0.0222       -724.695
        0.0225       -757.294
        0.0228       -777.665
        0.0231       -789.079
        0.0234       -793.721
        0.0237       -793.253
         0.024       -788.884
        0.0243       -781.578
        0.0246       -771.948
        0.0249       -760.552
        0.0252       -747.955
        0.0255       -734.378
        0.0258       -719.992
        0.0261        -705.07
        0.0264       -689.802
        0.0267       -674.362
         0.027       -658.809
        0.0273       -643.256
        0.0276       -627.919
        0.0279       -612.799
        0.0282       -597.845
        0.0285       -583.044
        0.0288       -568.449
        0.0291        -554.09
        0.0294        -540.01
        0.0297       -526.222
          0.03        -512.74
        0.0303       -499.565
        0.0306       -486.695
        0.0309       -474.143
        0.0312       -461.915
        0.0315       -450.003
        0.0318        -438.45
        0.0321       -427.248
        0.0324       -416.361
        0.0327       -405.768
         0.033       -395.467
        0.0333       -385.458
        0.0336       -375.739
        0.0339       -366.345
        0.0342       -357.222
        0.0345       -348.345
        0.0348       -339.736
        0.0351       -331.486
        0.0354       -323.519
        0.0357       -315.856
         0.036       -308.423
        0.0363       -301.229
        0.0366        -294.29
        0.0369        -287.57
        0.0372       -281.062
        0.0375       -274.766
        0.0378       -268.687
        0.0381       -262.867
        0.0384       -257.269
        0.0387       -251.846
         0.039        -246.65
        0.0393       -241.698
        0.0396       -236.916
        0.0399       -232.301
        0.0402       -227.936
        0.0405       -223.779
        0.0408       -219.821
        0.0411       -216.009
        0.0414       -212.364
        0.0417        -208.89
         0.042       -205.589
        0.0423       -202.466
        0.0426       -199.518
        0.0429       -196.746
