# r (m)    potential (V)
       -0.0315       -1365.26
       -0.0312       -1366.16
       -0.0309       -1368.97
       -0.0306       -1373.64
       -0.0303        -1380.2
         -0.03       -1388.77
       -0.0297       -1399.27
       -0.0294       -1411.68
       -0.0291       -1426.11
       -0.0288       -1442.68
       -0.0285        -1461.5
       -0.0282       -1482.54
       -0.0279       -1505.79
       -0.0276       -1531.45
       -0.0273       -1559.67
        -0.027       -1590.49
       -0.0267       -1624.02
       -0.0264       -1660.41
       -0.0261        -1699.7
       -0.0258       -1742.17
       -0.0255       -1787.94
       -0.0252       -1837.35
       -0.0249       -1890.49
       -0.0246        -1947.5
       -0.0243       -2008.54
        -0.024       -2073.91
       -0.0237       -2143.98
       -0.0234       -2219.09
       -0.0231        -2299.5
       -0.0228       -2385.62
       -0.0225       -2477.71
       -0.0222       -2576.43
       -0.0219       -2682.19
       -0.0216       -2795.48
       -0.0213        -2916.7
        -0.021       -3046.57
       -0.0207       -3185.75
       -0.0204       -3334.95
       -0.0201       -3494.97
       -0.0198       -3666.45
       -0.0195       -3859.77
       -0.0192       -4083.23
       -0.0189       -4331.36
       -0.0186       -4603.23
       -0.0183       -4898.63
        -0.018       -5218.02
       -0.0177        -5562.4
       -0.0174       -5932.53
       -0.0171       -6329.52
       -0.0168       -6754.43
       -0.0165       -7208.58
       -0.0162       -7693.42
       -0.0159       -8210.72
       -0.0156       -8762.43
       -0.0153        -9350.7
        -0.015       -9977.87
       -0.0147       -10646.2
       -0.0144       -11358.1
       -0.0141       -12116.7
       -0.0138         -12925
       -0.0135       -13785.4
       -0.0132       -14701.4
       -0.0129       -15676.5
       -0.0126       -16714.4
       -0.0123       -17818.6
        -0.012       -18993.8
       -0.0117         -20245
       -0.0114       -21578.3
       -0.0111       -23000.4
       -0.0108       -24518.9
       -0.0105       -26142.7
       -0.0102       -27881.7
       -0.0099       -29747.5
       -0.0096       -31753.2
       -0.0093         -33914
        -0.009       -36246.8
       -0.0087         -38772
       -0.0084       -41514.1
       -0.0081       -44502.9
       -0.0078       -47774.3
       -0.0075       -51372.8
       -0.0072       -55354.4
       -0.0069       -59791.2
       -0.0066       -64778.1
       -0.0063       -70444.9
        -0.006       -76976.4
       -0.0057       -84657.8
       -0.0054       -94000.2
       -0.0051        -100000
       -0.0048        -100000
       -0.0045        -100000
       -0.0042       -99699.9
       -0.0039       -97721.7
       -0.0036       -95994.3
       -0.0033       -94506.9
        -0.003       -93243.5
       -0.0027       -92181.3
       -0.0024       -91290.8
       -0.0021       -90544.9
       -0.0018       -89914.4
       -0.0015         -89373
       -0.0012       -88904.8
       -0.0009       -88503.6
       -0.0006       -88173.4
       -0.0003       -87918.1
             0       -87758.3
        0.0003       -87719.6
        0.0006       -87806.2
        0.0009       -88008.3
        0.0012       -88292.4
        0.0015       -88648.2
        0.0018       -89072.4
        0.0021       -89563.9
        0.0024       -90132.4
        0.0027       -90796.9
         0.003       -91585.1
        0.0033       -92525.9
        0.0036       -93648.1
        0.0039       -94979.3
        0.0042       -96540.9
        0.0045       -98345.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057        -100000
         0.006       -90728.9
        0.0063       -82002.2
        0.0066       -74731.3
        0.0069         -68506
        0.0072       -63079.4
        0.0075       -58286.7
        0.0078       -54010.6
        0.0081         -50164
        0.0084       -46680.7
        0.0087       -43508.6
         0.009       -40606.3
        0.0093         -37940
        0.0096       -35481.9
        0.0099         -33209
        0.0102       -31101.9
        0.0105       -29144.3
        0.0108         -27322
        0.0111       -25622.4
        0.0114       -24034.5
        0.0117       -22548.7
         0.012       -21156.6
        0.0123       -19850.6
        0.0126       -18624.4
        0.0129       -17472.4
        0.0132       -16389.7
        0.0135       -15371.9
        0.0138       -14414.9
        0.0141       -13515.2
        0.0144       -12669.6
        0.0147       -11875.4
         0.015       -11129.9
        0.0153       -10430.2
        0.0156       -9773.26
        0.0159       -9156.63
        0.0162       -8577.97
        0.0165       -8035.05
        0.0168        -7525.9
        0.0171       -7048.88
        0.0174       -6602.37
        0.0177       -6184.86
         0.018       -5794.91
        0.0183       -5431.37
        0.0186       -5093.65
        0.0189       -4780.83
        0.0192       -4492.36
        0.0195       -4228.55
        0.0198       -3989.07
        0.0201       -3774.66
        0.0204       -3590.01
        0.0207       -3421.24
         0.021       -3265.06
        0.0213       -3120.05
        0.0216       -2985.01
        0.0219       -2859.06
        0.0222       -2741.54
        0.0225       -2631.96
        0.0228       -2529.84
        0.0231       -2434.68
        0.0234        -2345.9
        0.0237       -2263.12
         0.024       -2185.97
        0.0243       -2114.03
        0.0246       -2046.92
        0.0249       -1984.39
        0.0252        -1926.3
        0.0255       -1872.32
        0.0258       -1822.37
        0.0261        -1776.2
        0.0264       -1733.66
        0.0267       -1694.62
         0.027       -1658.85
        0.0273       -1626.08
        0.0276       -1596.15
        0.0279       -1569.06
        0.0282        -1544.7
        0.0285       -1522.93
        0.0288       -1503.63
        0.0291       -1486.92
        0.0294       -1472.61
        0.0297       -1460.58
          0.03       -1450.83
        0.0303       -1443.31
        0.0306       -1437.94
        0.0309       -1434.71
        0.0312       -1433.63
