# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03        369.201
       -0.0297        1560.81
       -0.0294        2750.42
       -0.0291        3937.08
       -0.0288        5120.25
       -0.0285        6299.67
       -0.0282        7475.19
       -0.0279        8646.59
       -0.0276        9813.88
       -0.0273        10976.5
        -0.027        12134.6
       -0.0267        13288.5
       -0.0264        14438.2
       -0.0261        15583.3
       -0.0258        16724.2
       -0.0255        17860.7
       -0.0252        18992.3
       -0.0249        20118.1
       -0.0246        21238.5
       -0.0243        22352.5
        -0.024        23459.3
       -0.0237        24558.2
       -0.0234        25648.1
       -0.0231        26726.9
       -0.0228        27791.5
       -0.0225        28838.5
       -0.0222        29863.2
       -0.0219          30859
       -0.0216        31817.8
       -0.0213        32730.4
        -0.021        33585.2
       -0.0207        34364.7
       -0.0204        35039.5
       -0.0201          35551
       -0.0198          35682
       -0.0195        35584.4
       -0.0192        35435.6
       -0.0189        35245.9
       -0.0186        35020.5
       -0.0183        34762.3
        -0.018        34474.6
       -0.0177        34159.6
       -0.0174        33817.5
       -0.0171        33448.6
       -0.0168        33053.2
       -0.0165        32629.7
       -0.0162        32175.8
       -0.0159        31689.3
       -0.0156        31167.8
       -0.0153        30608.8
        -0.015        30008.6
       -0.0147          29362
       -0.0144        28663.6
       -0.0141        27907.1
       -0.0138        27084.7
       -0.0135        26188.4
       -0.0132        25211.7
       -0.0129        24147.9
       -0.0126        22986.1
       -0.0123          21714
        -0.012        20321.6
       -0.0117        18800.3
       -0.0114        17139.3
       -0.0111        15326.4
       -0.0108        13342.6
       -0.0105        11165.6
       -0.0102        8776.24
       -0.0099        6155.16
       -0.0096        3281.69
       -0.0093        124.748
        -0.009       -3356.01
       -0.0087       -7205.67
       -0.0084       -11474.2
       -0.0081       -16217.9
       -0.0078       -21505.1
       -0.0075       -27423.8
       -0.0072       -34089.6
       -0.0069       -41656.1
       -0.0066       -50327.8
       -0.0063       -60383.5
        -0.006       -72190.1
       -0.0057       -86091.2
       -0.0054        -100000
       -0.0051        -100000
       -0.0048        -100000
       -0.0045       -99399.7
       -0.0042       -94497.2
       -0.0039         -89721
       -0.0036       -85314.2
       -0.0033       -81260.1
        -0.003       -77522.1
       -0.0027       -74070.1
       -0.0024       -70843.4
       -0.0021       -67804.9
       -0.0018       -64959.8
       -0.0015         -62343
       -0.0012       -59984.9
       -0.0009       -57905.8
       -0.0006       -56241.5
       -0.0003       -55127.9
             0       -54782.2
        0.0003       -55304.2
        0.0006       -56558.4
        0.0009       -58338.3
        0.0012       -60491.4
        0.0015       -62915.1
        0.0018       -65576.2
        0.0021       -68412.5
        0.0024       -71420.1
        0.0027       -74594.1
         0.003       -77960.7
        0.0033       -81584.9
        0.0036       -85538.1
        0.0039       -89866.4
        0.0042         -94563
        0.0045       -99402.5
        0.0048        -100000
        0.0051        -100000
        0.0054        -100000
        0.0057       -85905.5
         0.006       -71900.9
        0.0063       -60063.3
        0.0066       -50002.5
        0.0069       -41338.5
        0.0072       -33788.3
        0.0075         -27147
        0.0078       -21263.5
        0.0081       -16020.7
        0.0084       -11325.8
        0.0087       -7103.75
         0.009       -3291.53
        0.0093        163.459
        0.0096        3305.53
        0.0099        6172.15
        0.0102        8792.08
        0.0105        11189.6
        0.0108        13382.3
        0.0111        15388.8
        0.0114        17226.6
        0.0117        18913.5
         0.012        20464.3
        0.0123        21892.6
        0.0126        23207.7
        0.0129        24414.6
        0.0132        25517.7
        0.0135        26523.9
        0.0138        27445.3
        0.0141        28292.2
        0.0144        29070.3
        0.0147        29785.7
         0.015        30445.8
        0.0153          31058
        0.0156        31627.6
        0.0159        32158.2
        0.0162        32653.8
        0.0165        33117.1
        0.0168        33550.2
        0.0171        33954.2
        0.0174        34331.2
        0.0177        34682.2
         0.018        35008.1
        0.0183        35307.8
        0.0186        35580.4
        0.0189        35824.8
        0.0192        36037.1
        0.0195        36211.7
        0.0198          36336
        0.0201        36216.8
        0.0204        35698.6
        0.0207        35012.1
         0.021        34212.7
        0.0213        33330.9
        0.0216        32387.4
        0.0219          31396
        0.0222        30366.3
        0.0225        29309.1
        0.0228          28231
        0.0231        27136.1
        0.0234          26028
        0.0237        24909.4
         0.024        23781.7
        0.0243        22646.9
        0.0246        21506.3
        0.0249        20361.3
        0.0252        19212.5
        0.0255        18059.9
        0.0258        16903.1
        0.0261        15743.2
        0.0264        14580.3
        0.0267        13414.3
         0.027        12245.3
        0.0273          11073
        0.0276         9897.3
        0.0279        8718.35
        0.0282        7535.18
        0.0285        6348.42
        0.0288        5158.32
        0.0291        3964.96
        0.0294        2768.67
        0.0297        1570.18
          0.03        371.005
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
