# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -8.44396
       -0.0297       -35.7288
       -0.0294       -63.0699
       -0.0291       -90.4764
       -0.0288       -117.961
       -0.0285       -145.541
       -0.0282       -173.235
       -0.0279       -201.063
       -0.0276       -229.046
       -0.0273       -257.208
        -0.027       -285.574
       -0.0267        -314.17
       -0.0264       -343.022
       -0.0261        -372.16
       -0.0258       -401.614
       -0.0255       -431.417
       -0.0252       -461.603
       -0.0249       -492.209
       -0.0246       -523.273
       -0.0243       -554.835
        -0.024       -586.941
       -0.0237       -619.633
       -0.0234       -652.961
       -0.0231       -686.973
       -0.0228       -721.719
       -0.0225        -757.25
       -0.0222       -793.619
       -0.0219       -830.879
       -0.0216       -869.081
       -0.0213       -908.275
        -0.021       -948.508
       -0.0207       -989.819
       -0.0204       -1032.23
       -0.0201       -1075.76
       -0.0198        -1120.3
       -0.0195       -1165.68
       -0.0192       -1212.06
       -0.0189        -1259.6
       -0.0186       -1308.45
       -0.0183       -1358.76
        -0.018       -1410.66
       -0.0177       -1464.27
       -0.0174       -1519.73
       -0.0171       -1577.21
       -0.0168       -1636.87
       -0.0165       -1698.87
       -0.0162       -1763.32
       -0.0159       -1830.37
       -0.0156        -1900.2
       -0.0153       -1973.05
        -0.015       -2049.08
       -0.0147       -2128.44
       -0.0144       -2211.35
       -0.0141       -2298.04
       -0.0138       -2388.76
       -0.0135       -2483.79
       -0.0132       -2583.37
       -0.0129       -2687.87
       -0.0126       -2797.62
       -0.0123       -2913.01
        -0.012       -3034.44
       -0.0117       -3162.39
       -0.0114       -3297.39
       -0.0111       -3440.04
       -0.0108       -3591.07
       -0.0105       -3751.24
       -0.0102       -3921.48
       -0.0099       -4102.78
       -0.0096       -4296.33
       -0.0093       -4503.52
        -0.009       -4726.01
       -0.0087       -4965.75
       -0.0084       -5225.13
       -0.0081       -5506.96
       -0.0078       -5814.73
       -0.0075       -6152.85
       -0.0072       -6526.88
       -0.0069       -6944.09
       -0.0066       -7414.16
       -0.0063        -7950.2
        -0.006       -8569.44
       -0.0057       -9288.15
       -0.0054         -10000
       -0.0051         -10000
       -0.0048         -10000
       -0.0045       -9985.24
       -0.0042       -9865.82
       -0.0039       -9756.89
       -0.0036       -9666.48
       -0.0033       -9594.74
        -0.003       -9539.98
       -0.0027       -9500.01
       -0.0024       -9472.59
       -0.0021       -9455.36
       -0.0018       -9445.99
       -0.0015        -9442.2
       -0.0012       -9441.96
       -0.0009       -9443.01
       -0.0006       -9444.73
       -0.0003       -9446.12
             0       -9446.77
        0.0003       -9446.47
        0.0006       -9444.94
        0.0009       -9443.39
        0.0012       -9442.56
        0.0015       -9442.69
        0.0018       -9446.26
        0.0021        -9455.6
        0.0024       -9472.83
        0.0027       -9500.32
         0.003       -9540.31
        0.0033       -9595.07
        0.0036       -9666.76
        0.0039       -9757.08
        0.0042       -9865.91
        0.0045       -9985.17
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057        -9289.3
         0.006       -8570.28
        0.0063       -7951.06
        0.0066       -7415.09
        0.0069       -6945.11
        0.0072       -6528.02
        0.0075       -6154.11
        0.0078        -5816.1
        0.0081       -5508.41
        0.0084       -5226.67
        0.0087       -4967.41
         0.009       -4727.77
        0.0093       -4505.43
        0.0096       -4298.38
        0.0099          -4105
        0.0102       -3923.92
        0.0105       -3753.95
        0.0108       -3594.06
        0.0111       -3443.34
        0.0114          -3301
        0.0117       -3166.31
         0.012       -3038.67
        0.0123       -2917.55
        0.0126       -2802.46
        0.0129       -2693.07
        0.0132       -2588.94
        0.0135       -2489.72
        0.0138       -2395.08
        0.0141       -2304.69
        0.0144        -2218.3
        0.0147       -2135.63
         0.015       -2056.54
        0.0153       -1980.81
        0.0156       -1908.18
        0.0159       -1838.53
        0.0162       -1771.68
        0.0165       -1707.46
        0.0168       -1645.67
        0.0171       -1586.11
        0.0174       -1528.71
        0.0177       -1473.29
         0.018       -1419.69
        0.0183       -1367.73
        0.0186       -1317.32
        0.0189       -1268.35
        0.0192       -1220.61
        0.0195       -1173.98
        0.0198       -1128.29
        0.0201       -1083.51
        0.0204       -1039.76
        0.0207       -997.104
         0.021       -955.533
        0.0213       -915.026
        0.0216       -875.549
        0.0219       -837.057
        0.0222       -799.505
        0.0225       -762.843
        0.0228       -727.019
        0.0231       -691.984
        0.0234       -657.687
        0.0237       -624.078
         0.024       -591.111
        0.0243       -558.738
        0.0246       -526.914
        0.0249       -495.598
        0.0252       -464.748
        0.0255       -434.325
        0.0258       -404.293
        0.0261       -374.619
        0.0264       -345.268
        0.0267        -316.21
         0.027       -287.417
        0.0273       -258.858
        0.0276       -230.509
        0.0279       -202.343
        0.0282       -174.338
        0.0285       -146.469
        0.0288       -118.717
        0.0291       -91.0603
        0.0294       -63.4816
        0.0297       -35.9653
          0.03           -8.5
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
