# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -14.0637
       -0.0294       -42.8203
       -0.0291       -71.6802
       -0.0288       -100.554
       -0.0285       -129.397
       -0.0282       -158.171
       -0.0279       -186.839
       -0.0276       -215.359
       -0.0273       -243.689
        -0.027       -271.774
       -0.0267       -299.549
       -0.0264       -326.939
       -0.0261       -353.852
       -0.0258       -380.179
       -0.0255       -405.791
       -0.0252       -430.537
       -0.0249       -454.253
       -0.0246       -476.731
       -0.0243       -497.706
        -0.024       -516.853
       -0.0237       -533.768
       -0.0234       -547.956
       -0.0231       -558.797
       -0.0228       -565.466
       -0.0225       -566.876
       -0.0222       -561.602
       -0.0219       -547.708
       -0.0216       -522.436
       -0.0213       -481.691
        -0.021       -419.142
       -0.0207       -324.265
       -0.0204       -178.077
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -51.9636
       -0.0189       -516.584
       -0.0186       -872.274
       -0.0183        -1170.5
        -0.018       -1435.15
       -0.0177       -1678.95
       -0.0174        -1909.4
       -0.0171       -2131.34
       -0.0168       -2348.08
       -0.0165       -2562.01
       -0.0162       -2775.02
       -0.0159       -2988.66
       -0.0156        -3204.2
       -0.0153       -3422.74
        -0.015       -3645.28
       -0.0147       -3872.78
       -0.0144       -4106.07
       -0.0141       -4346.08
       -0.0138       -4593.67
       -0.0135       -4849.74
       -0.0132       -5115.26
       -0.0129        -5391.2
       -0.0126       -5678.59
       -0.0123       -5978.51
        -0.012        -6292.2
       -0.0117       -6620.95
       -0.0114        -6966.2
       -0.0111       -7329.54
       -0.0108       -7712.72
       -0.0105       -8117.74
       -0.0102       -8546.83
       -0.0099       -9002.52
       -0.0096       -9487.69
       -0.0093       -10005.7
        -0.009       -10560.5
       -0.0087       -11156.5
       -0.0084       -11799.3
       -0.0081       -12495.3
       -0.0078       -13252.5
       -0.0075       -14080.7
       -0.0072         -14992
       -0.0069       -16002.3
       -0.0066       -17132.3
       -0.0063       -18410.3
        -0.006       -19876.6
       -0.0057       -21593.1
       -0.0054       -23670.8
       -0.0051         -25000
       -0.0048         -25000
       -0.0045         -25000
       -0.0042       -24946.4
       -0.0039         -24594
       -0.0036       -24294.2
       -0.0033       -24047.2
        -0.003       -23849.6
       -0.0027       -23696.3
       -0.0024       -23581.2
       -0.0021       -23498.4
       -0.0018       -23442.1
       -0.0015       -23406.9
       -0.0012       -23387.3
       -0.0009       -23378.6
       -0.0006       -23376.6
       -0.0003       -23377.3
             0       -23378.3
        0.0003       -23378.6
        0.0006       -23377.7
        0.0009       -23376.3
        0.0012         -23376
        0.0015       -23380.2
        0.0018       -23392.6
        0.0021       -23417.4
        0.0024       -23459.4
        0.0027       -23524.1
         0.003       -23617.2
        0.0033       -23744.3
        0.0036       -23911.6
        0.0039       -24124.6
        0.0042       -24388.3
        0.0045       -24704.6
        0.0048         -25000
        0.0051         -25000
        0.0054         -25000
        0.0057         -25000
         0.006         -22952
        0.0063       -21015.6
        0.0066       -19394.9
        0.0069         -18001
        0.0072       -16780.6
        0.0075       -15697.8
        0.0078       -14727.1
        0.0081       -13849.5
        0.0084       -13050.6
        0.0087         -12319
         0.009       -11645.6
        0.0093       -11023.1
        0.0096       -10445.3
        0.0099       -9907.17
        0.0102        -9404.3
        0.0105       -8933.04
        0.0108        -8490.2
        0.0111       -8073.03
        0.0114       -7679.07
        0.0117        -7306.2
         0.012       -6952.47
        0.0123        -6616.2
        0.0126       -6295.85
        0.0129       -5990.04
        0.0132       -5697.45
        0.0135       -5416.91
        0.0138       -5147.33
        0.0141       -4887.66
        0.0144       -4636.92
        0.0147       -4394.17
         0.015       -4158.43
        0.0153       -3928.84
        0.0156       -3704.46
        0.0159       -3484.31
        0.0162       -3267.32
        0.0165       -3052.39
        0.0168       -2838.26
        0.0171       -2623.39
        0.0174       -2406.01
        0.0177       -2183.79
         0.018       -1953.72
        0.0183       -1711.59
        0.0186       -1451.15
        0.0189       -1162.46
        0.0192       -828.288
        0.0195       -415.153
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -46.0056
         0.021       -324.405
        0.0213       -508.676
        0.0216       -637.749
        0.0219       -731.462
        0.0222       -801.021
        0.0225       -853.249
        0.0228       -892.613
        0.0231       -922.137
        0.0234       -943.978
        0.0237       -959.724
         0.024       -970.552
        0.0243       -977.398
        0.0246       -980.998
        0.0249       -981.921
        0.0252       -980.622
        0.0255       -977.474
        0.0258        -972.79
        0.0261       -966.833
        0.0264       -959.815
        0.0267       -951.908
         0.027       -943.252
        0.0273       -933.974
        0.0276       -924.196
        0.0279       -914.016
        0.0282       -903.514
        0.0285       -892.754
        0.0288       -881.795
        0.0291       -870.687
        0.0294       -859.482
        0.0297       -848.219
          0.03       -836.935
        0.0303       -825.659
        0.0306       -814.415
        0.0309       -803.219
        0.0312       -792.089
        0.0315       -781.047
        0.0318       -770.111
        0.0321       -759.295
        0.0324       -748.613
        0.0327       -738.075
         0.033       -727.691
        0.0333       -717.469
        0.0336       -707.413
        0.0339       -697.529
        0.0342       -687.821
        0.0345       -678.294
        0.0348       -668.953
        0.0351       -659.803
        0.0354       -650.847
        0.0357       -642.087
         0.036       -633.528
        0.0363        -625.17
        0.0366       -617.015
        0.0369       -609.065
        0.0372       -601.321
        0.0375       -593.785
        0.0378       -586.458
        0.0381       -579.342
        0.0384       -572.438
        0.0387       -565.745
         0.039       -559.266
        0.0393           -553
        0.0396       -546.948
        0.0399        -541.11
        0.0402       -535.485
        0.0405       -530.076
        0.0408       -524.883
        0.0411       -519.905
        0.0414       -515.141
        0.0417       -510.593
         0.042       -506.261
        0.0423       -502.145
        0.0426       -498.246
        0.0429       -494.564
