# r (m)    potential (V)
       -0.0315       -1328.09
       -0.0312       -1328.58
       -0.0309       -1330.05
       -0.0306       -1332.49
       -0.0303       -1335.92
         -0.03       -1340.34
       -0.0297       -1345.76
       -0.0294       -1352.19
       -0.0291       -1359.65
       -0.0288       -1368.16
       -0.0285       -1377.74
       -0.0282       -1388.41
       -0.0279       -1400.21
       -0.0276       -1413.17
       -0.0273       -1427.33
        -0.027       -1442.72
       -0.0267       -1459.39
       -0.0264       -1477.39
       -0.0261       -1496.77
       -0.0258        -1517.6
       -0.0255       -1539.94
       -0.0252       -1563.85
       -0.0249       -1589.42
       -0.0246       -1616.72
       -0.0243       -1645.85
        -0.024       -1676.89
       -0.0237       -1709.96
       -0.0234       -1745.14
       -0.0231       -1782.58
       -0.0228       -1822.37
       -0.0225       -1864.67
       -0.0222       -1909.59
       -0.0219       -1957.29
       -0.0216       -2007.91
       -0.0213       -2061.62
        -0.021       -2118.57
       -0.0207       -2178.94
       -0.0204       -2242.87
       -0.0201       -2310.55
       -0.0198       -2382.11
       -0.0195       -2457.67
       -0.0192       -2537.35
       -0.0189       -2621.44
       -0.0186       -2710.18
       -0.0183       -2803.87
        -0.018       -2902.73
       -0.0177       -3007.09
       -0.0174       -3117.23
       -0.0171       -3233.47
       -0.0168       -3356.28
       -0.0165       -3485.96
       -0.0162       -3622.85
       -0.0159       -3767.33
       -0.0156       -3919.75
       -0.0153       -4080.56
        -0.015       -4250.17
       -0.0147       -4429.04
       -0.0144       -4617.68
       -0.0141       -4816.61
       -0.0138        -5026.4
       -0.0135       -5247.71
       -0.0132       -5481.23
       -0.0129       -5727.71
       -0.0126       -5987.97
       -0.0123       -6262.94
        -0.012       -6553.63
       -0.0117       -6861.19
       -0.0114       -7186.92
       -0.0111       -7532.27
       -0.0108       -7898.85
       -0.0105       -8288.52
       -0.0102       -8703.38
       -0.0099        -9145.9
       -0.0096       -9618.88
       -0.0093       -10125.6
        -0.009       -10669.7
       -0.0087       -11255.9
       -0.0084       -11889.3
       -0.0081       -12576.6
       -0.0078       -13325.4
       -0.0075       -14145.4
       -0.0072         -15049
       -0.0069       -16051.6
       -0.0066       -17173.9
       -0.0063       -18444.1
        -0.006       -19902.1
       -0.0057       -21609.7
       -0.0054       -23677.2
       -0.0051         -25000
       -0.0048         -25000
       -0.0045         -25000
       -0.0042       -24946.5
       -0.0039       -24594.5
       -0.0036       -24295.1
       -0.0033       -24048.2
        -0.003       -23850.7
       -0.0027       -23697.3
       -0.0024       -23582.1
       -0.0021       -23499.2
       -0.0018       -23442.8
       -0.0015       -23407.4
       -0.0012       -23387.7
       -0.0009         -23379
       -0.0006       -23376.7
       -0.0003       -23377.4
             0       -23378.3
        0.0003       -23379.1
        0.0006       -23378.1
        0.0009       -23376.8
        0.0012       -23376.5
        0.0015       -23380.6
        0.0018       -23392.7
        0.0021       -23417.2
        0.0024       -23458.9
        0.0027       -23523.6
         0.003       -23616.6
        0.0033       -23743.7
        0.0036         -23911
        0.0039       -24124.2
        0.0042       -24387.9
        0.0045       -24704.5
        0.0048         -25000
        0.0051         -25000
        0.0054         -25000
        0.0057         -25000
         0.006       -22953.4
        0.0063       -21018.6
        0.0066       -19399.5
        0.0069       -18007.6
        0.0072       -16789.3
        0.0075         -15709
        0.0078       -14741.1
        0.0081       -13866.9
        0.0084       -13071.8
        0.0087       -12344.6
         0.009       -11676.2
        0.0093       -11059.3
        0.0096       -10487.9
        0.0099       -9956.92
        0.0102        -9462.1
        0.0105       -8999.84
        0.0108       -8567.07
        0.0111       -8161.11
        0.0114       -7779.63
        0.0117       -7420.62
         0.012       -7082.31
        0.0123       -6763.09
        0.0126       -6461.62
        0.0129       -6176.64
        0.0132       -5907.08
        0.0135       -5651.95
        0.0138       -5410.28
        0.0141       -5181.29
        0.0144       -4964.29
        0.0147        -4758.6
         0.015       -4563.58
        0.0153       -4378.71
        0.0156       -4203.48
        0.0159       -4037.38
        0.0162       -3879.97
        0.0165       -3730.84
        0.0168       -3589.59
        0.0171       -3455.78
        0.0174       -3329.05
        0.0177       -3209.04
         0.018       -3095.42
        0.0183       -2987.86
        0.0186       -2886.05
        0.0189       -2789.68
        0.0192       -2698.45
        0.0195        -2612.1
        0.0198        -2530.3
        0.0201       -2452.77
        0.0204       -2379.34
        0.0207       -2309.91
         0.021       -2244.34
        0.0213       -2182.48
        0.0216       -2124.16
        0.0219       -2069.22
        0.0222        -2017.5
        0.0225       -1968.83
        0.0228       -1923.07
        0.0231       -1880.06
        0.0234       -1839.67
        0.0237       -1801.77
         0.024       -1766.21
        0.0243        -1732.9
        0.0246       -1701.71
        0.0249       -1672.53
        0.0252       -1645.28
        0.0255       -1619.86
        0.0258       -1596.19
        0.0261       -1574.19
        0.0264       -1553.78
        0.0267        -1534.9
         0.027       -1517.49
        0.0273        -1501.5
        0.0276       -1486.87
        0.0279       -1473.56
        0.0282       -1461.53
        0.0285       -1450.74
        0.0288       -1441.16
        0.0291       -1432.77
        0.0294       -1425.54
        0.0297       -1419.45
          0.03       -1414.48
        0.0303       -1410.63
        0.0306       -1407.89
        0.0309       -1406.24
        0.0312       -1405.69
