# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -14.0553
       -0.0294       -42.8089
       -0.0291       -71.6801
       -0.0288       -100.573
       -0.0285       -129.439
       -0.0282       -158.242
       -0.0279        -186.94
       -0.0276       -215.491
       -0.0273       -243.852
        -0.027       -271.967
       -0.0267       -299.773
       -0.0264       -327.191
       -0.0261       -354.131
       -0.0258       -380.478
       -0.0255       -406.105
       -0.0252        -430.87
       -0.0249       -454.597
       -0.0246       -477.075
       -0.0243       -498.037
        -0.024        -517.16
       -0.0237       -534.054
       -0.0234       -548.221
       -0.0231       -559.014
       -0.0228       -565.619
       -0.0225       -566.991
       -0.0222       -561.709
       -0.0219       -547.831
       -0.0216       -522.599
       -0.0213       -481.922
        -0.021       -419.391
       -0.0207       -324.505
       -0.0204       -178.251
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -51.9575
       -0.0189       -516.478
       -0.0186       -872.044
       -0.0183       -1170.12
        -0.018       -1434.67
       -0.0177       -1678.38
       -0.0174       -1908.78
       -0.0171       -2130.63
       -0.0168       -2347.29
       -0.0165       -2561.15
       -0.0162       -2774.08
       -0.0159       -2987.64
       -0.0156       -3203.11
       -0.0153       -3421.55
        -0.015       -3644.01
       -0.0147       -3871.39
       -0.0144       -4104.64
       -0.0141       -4344.63
       -0.0138       -4592.22
       -0.0135       -4848.27
       -0.0132       -5113.77
       -0.0129       -5389.68
       -0.0126       -5677.04
       -0.0123       -5976.97
        -0.012       -6290.67
       -0.0117       -6619.44
       -0.0114       -6964.69
       -0.0111       -7328.03
       -0.0108       -7711.18
       -0.0105       -8116.19
       -0.0102       -8545.28
       -0.0099          -9001
       -0.0096       -9486.22
       -0.0093       -10004.3
        -0.009         -10559
       -0.0087       -11155.1
       -0.0084         -11798
       -0.0081       -12494.1
       -0.0078       -13251.3
       -0.0075       -14079.5
       -0.0072       -14990.9
       -0.0069       -16001.3
       -0.0066       -17131.4
       -0.0063       -18409.6
        -0.006         -19876
       -0.0057       -21592.7
       -0.0054       -23670.7
       -0.0051         -25000
       -0.0048         -25000
       -0.0045         -25000
       -0.0042       -24946.4
       -0.0039       -24593.8
       -0.0036       -24293.9
       -0.0033       -24046.7
        -0.003       -23848.9
       -0.0027       -23695.4
       -0.0024       -23580.1
       -0.0021       -23497.1
       -0.0018       -23440.7
       -0.0015       -23405.3
       -0.0012       -23385.6
       -0.0009       -23376.9
       -0.0006         -23375
       -0.0003       -23375.9
             0       -23377.5
        0.0003       -23378.3
        0.0006       -23377.9
        0.0009       -23376.7
        0.0012       -23376.6
        0.0015       -23380.7
        0.0018       -23392.8
        0.0021       -23417.5
        0.0024       -23459.4
        0.0027       -23524.1
         0.003       -23617.1
        0.0033       -23744.3
        0.0036       -23911.5
        0.0039       -24124.6
        0.0042       -24388.3
        0.0045       -24704.6
        0.0048         -25000
        0.0051         -25000
        0.0054         -25000
        0.0057         -25000
         0.006       -22951.8
        0.0063       -21015.4
        0.0066       -19394.6
        0.0069       -18000.6
        0.0072       -16780.1
        0.0075       -15697.3
        0.0078       -14726.5
        0.0081       -13848.9
        0.0084         -13050
        0.0087       -12318.3
         0.009         -11645
        0.0093       -11022.5
        0.0096       -10444.7
        0.0099       -9906.53
        0.0102       -9403.69
        0.0105       -8932.46
        0.0108       -8489.65
        0.0111       -8072.49
        0.0114       -7678.56
        0.0117       -7305.72
         0.012       -6952.06
        0.0123       -6615.84
        0.0126       -6295.54
        0.0129       -5989.73
        0.0132       -5697.12
        0.0135       -5416.55
        0.0138       -5146.95
        0.0141       -4887.28
        0.0144       -4636.53
        0.0147       -4393.76
         0.015       -4158.06
        0.0153       -3928.49
        0.0156       -3704.11
        0.0159       -3483.93
        0.0162       -3266.94
        0.0165       -3052.02
        0.0168       -2837.85
        0.0171       -2622.96
        0.0174       -2405.57
        0.0177       -2183.38
         0.018       -1953.35
        0.0183       -1711.26
        0.0186       -1450.85
        0.0189       -1162.21
        0.0192       -828.104
        0.0195       -415.057
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -46.0136
         0.021       -324.492
        0.0213       -508.832
        0.0216       -637.988
        0.0219       -731.783
        0.0222       -801.413
        0.0225       -853.696
        0.0228        -893.09
        0.0231       -922.638
        0.0234       -944.513
        0.0237       -960.292
         0.024       -971.158
        0.0243       -978.031
        0.0246       -981.652
        0.0249       -982.604
        0.0252       -981.337
        0.0255       -978.226
        0.0258       -973.581
        0.0261       -967.648
        0.0264       -960.648
        0.0267       -952.761
         0.027       -944.137
        0.0273       -934.906
        0.0276       -925.179
        0.0279       -915.049
        0.0282       -904.589
        0.0285       -893.868
        0.0288       -882.946
        0.0291        -871.88
        0.0294       -860.721
        0.0297        -849.51
          0.03       -838.274
        0.0303       -827.037
        0.0306       -815.826
        0.0309       -804.667
        0.0312       -793.577
        0.0315       -782.576
        0.0318       -771.684
        0.0321       -760.912
        0.0324       -750.269
        0.0327       -739.766
         0.033       -729.414
        0.0333       -719.222
        0.0336       -709.196
        0.0339       -699.345
        0.0342       -689.673
        0.0345       -680.184
        0.0348        -670.88
        0.0351       -661.765
        0.0354       -652.843
        0.0357       -644.117
         0.036       -635.591
        0.0363       -627.268
        0.0366        -619.15
        0.0369       -611.239
        0.0372       -603.535
        0.0375        -596.04
        0.0378       -588.754
        0.0381       -581.677
        0.0384       -574.809
        0.0387       -568.151
         0.039       -561.704
        0.0393       -555.469
        0.0396       -549.448
        0.0399       -543.639
        0.0402       -538.044
        0.0405       -532.663
        0.0408       -527.495
        0.0411       -522.541
        0.0414       -517.802
        0.0417       -513.278
         0.042       -508.969
        0.0423       -504.876
        0.0426           -501
        0.0429        -497.34
