# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -12.9094
       -0.0297       -54.7487
       -0.0294       -96.8598
       -0.0291       -139.267
       -0.0288       -182.008
       -0.0285       -225.127
       -0.0282       -268.673
       -0.0279       -312.698
       -0.0276       -357.257
       -0.0273        -402.41
        -0.027       -448.218
       -0.0267       -494.748
       -0.0264       -542.068
       -0.0261       -590.252
       -0.0258       -639.377
       -0.0255       -689.526
       -0.0252       -740.785
       -0.0249       -793.247
       -0.0246       -847.007
       -0.0243        -902.17
        -0.024       -958.844
       -0.0237       -1017.14
       -0.0234       -1077.19
       -0.0231        -1139.1
       -0.0228       -1203.02
       -0.0225       -1269.09
       -0.0222       -1337.45
       -0.0219       -1408.26
       -0.0216       -1481.68
       -0.0213       -1557.87
        -0.021       -1637.01
       -0.0207       -1719.25
       -0.0204       -1804.78
       -0.0201       -1893.75
       -0.0198       -1986.28
       -0.0195       -2082.48
       -0.0192       -2182.62
       -0.0189       -2286.96
       -0.0186       -2395.79
       -0.0183       -2509.35
        -0.018       -2627.97
       -0.0177       -2752.01
       -0.0174       -2881.75
       -0.0171       -3017.53
       -0.0168       -3159.68
       -0.0165       -3308.58
       -0.0162        -3464.6
       -0.0159       -3628.11
       -0.0156       -3799.56
       -0.0153       -3979.32
        -0.015       -4167.88
       -0.0147       -4365.74
       -0.0144       -4573.45
       -0.0141       -4791.56
       -0.0138       -5020.71
       -0.0135       -5261.58
       -0.0132       -5514.91
       -0.0129       -5781.56
       -0.0126       -6062.41
       -0.0123       -6358.51
        -0.012       -6670.98
       -0.0117       -7001.07
       -0.0114       -7350.21
       -0.0111       -7720.02
       -0.0108        -8112.3
       -0.0105       -8529.13
       -0.0102        -8972.9
       -0.0099       -9446.33
       -0.0096       -9952.57
       -0.0093       -10495.3
        -0.009       -11078.9
       -0.0087       -11708.6
       -0.0084       -12390.4
       -0.0081       -13132.1
       -0.0078       -13942.7
       -0.0075       -14833.9
       -0.0072       -15820.6
       -0.0069       -16921.8
       -0.0066       -18163.3
       -0.0063       -19579.8
        -0.006       -21216.8
       -0.0057       -23117.3
       -0.0054         -25000
       -0.0051         -25000
       -0.0048         -25000
       -0.0045       -24959.4
       -0.0042       -24630.3
       -0.0039       -24328.2
       -0.0036       -24074.8
       -0.0033       -23870.9
        -0.003       -23711.8
       -0.0027       -23591.9
       -0.0024         -23505
       -0.0021       -23445.6
       -0.0018       -23407.8
       -0.0015       -23386.4
       -0.0012       -23376.5
       -0.0009       -23373.8
       -0.0006       -23374.7
       -0.0003       -23376.3
             0       -23377.5
        0.0003       -23377.1
        0.0006       -23375.8
        0.0009       -23375.2
        0.0012       -23377.6
        0.0015       -23387.4
        0.0018       -23408.6
        0.0021       -23446.1
        0.0024       -23505.4
        0.0027       -23592.1
         0.003         -23712
        0.0033       -23870.9
        0.0036       -24074.8
        0.0039         -24328
        0.0042       -24630.1
        0.0045       -24959.1
        0.0048         -25000
        0.0051         -25000
        0.0054         -25000
        0.0057       -23120.5
         0.006       -21219.2
        0.0063       -19582.2
        0.0066       -18165.9
        0.0069       -16924.5
        0.0072       -15823.5
        0.0075         -14837
        0.0078         -13946
        0.0081       -13135.6
        0.0084       -12394.3
        0.0087       -11712.7
         0.009       -11083.4
        0.0093       -10500.2
        0.0096       -9957.87
        0.0099       -9452.08
        0.0102       -8979.13
        0.0105       -8535.85
        0.0108       -8119.53
        0.0111       -7727.78
        0.0114       -7358.55
        0.0117       -7009.96
         0.012       -6680.43
        0.0123       -6368.55
        0.0126       -6073.03
        0.0129       -5792.76
        0.0132       -5526.72
        0.0135       -5273.98
        0.0138       -5033.71
        0.0141       -4805.18
        0.0144       -4587.66
        0.0147       -4380.53
         0.015        -4183.2
        0.0153       -3995.15
        0.0156       -3815.85
        0.0159       -3644.86
        0.0162       -3481.73
        0.0165       -3325.99
        0.0168       -3177.28
        0.0171       -3035.27
        0.0174       -2899.56
        0.0177       -2769.85
         0.018        -2645.8
        0.0183       -2527.06
        0.0186        -2413.4
        0.0189       -2304.44
        0.0192       -2199.85
        0.0195       -2099.42
        0.0198       -2002.86
        0.0201       -1909.89
        0.0204       -1820.45
        0.0207       -1734.41
         0.021       -1651.63
        0.0213       -1571.94
        0.0216       -1495.19
        0.0219        -1421.2
        0.0222       -1349.81
        0.0225       -1280.86
        0.0228       -1214.21
        0.0231       -1149.71
        0.0234       -1087.23
        0.0237       -1026.62
         0.024       -967.774
        0.0243       -910.558
        0.0246       -854.863
        0.0249       -800.583
        0.0252       -747.615
        0.0255       -695.862
        0.0258       -645.231
        0.0261       -595.637
        0.0264       -546.995
        0.0267       -499.229
         0.027       -452.264
        0.0273       -406.032
        0.0276       -360.464
        0.0279       -315.498
        0.0282       -271.075
        0.0285       -227.138
        0.0288       -183.633
        0.0291       -140.512
        0.0294       -97.7282
        0.0297       -55.2444
          0.03       -13.0305
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
