# r (m)    potential (V)
       -0.0315       -1327.87
       -0.0312       -1328.36
       -0.0309       -1329.83
       -0.0306       -1332.29
       -0.0303       -1335.73
         -0.03       -1340.16
       -0.0297       -1345.59
       -0.0294       -1352.03
       -0.0291       -1359.51
       -0.0288       -1368.03
       -0.0285       -1377.62
       -0.0282       -1388.31
       -0.0279       -1400.12
       -0.0276       -1413.09
       -0.0273       -1427.25
        -0.027       -1442.64
       -0.0267       -1459.32
       -0.0264       -1477.32
       -0.0261        -1496.7
       -0.0258       -1517.53
       -0.0255       -1539.86
       -0.0252       -1563.78
       -0.0249       -1589.34
       -0.0246       -1616.64
       -0.0243       -1645.76
        -0.024        -1676.8
       -0.0237       -1709.85
       -0.0234       -1745.04
       -0.0231       -1782.46
       -0.0228       -1822.26
       -0.0225       -1864.54
       -0.0222       -1909.45
       -0.0219       -1957.15
       -0.0216       -2007.76
       -0.0213       -2061.46
        -0.021       -2118.41
       -0.0207       -2178.76
       -0.0204       -2242.69
       -0.0201       -2310.36
       -0.0198       -2381.93
       -0.0195       -2457.47
       -0.0192       -2537.14
       -0.0189       -2621.15
       -0.0186       -2709.79
       -0.0183       -2803.43
        -0.018       -2902.32
       -0.0177       -3006.77
       -0.0174       -3117.05
       -0.0171       -3233.49
       -0.0168        -3356.4
       -0.0165       -3486.13
       -0.0162       -3622.98
       -0.0159       -3767.38
       -0.0156       -3919.77
       -0.0153       -4080.54
        -0.015        -4250.1
       -0.0147       -4428.97
       -0.0144        -4617.6
       -0.0141       -4816.53
       -0.0138       -5026.34
       -0.0135       -5247.66
       -0.0132       -5481.17
       -0.0129       -5727.64
       -0.0126       -5987.88
       -0.0123       -6262.82
        -0.012       -6553.48
       -0.0117          -6861
       -0.0114       -7186.72
       -0.0111       -7532.05
       -0.0108       -7898.65
       -0.0105       -8288.32
       -0.0102       -8703.18
       -0.0099       -9145.67
       -0.0096       -9618.59
       -0.0093       -10125.2
        -0.009       -10669.3
       -0.0087       -11255.4
       -0.0084       -11888.8
       -0.0081         -12576
       -0.0078       -13324.9
       -0.0075       -14144.9
       -0.0072       -15048.5
       -0.0069       -16051.1
       -0.0066       -17173.5
       -0.0063       -18443.7
        -0.006       -19901.8
       -0.0057       -21609.5
       -0.0054       -23677.1
       -0.0051         -25000
       -0.0048         -25000
       -0.0045         -25000
       -0.0042       -24946.5
       -0.0039       -24594.4
       -0.0036       -24294.9
       -0.0033         -24048
        -0.003       -23850.4
       -0.0027       -23696.9
       -0.0024       -23581.7
       -0.0021       -23498.6
       -0.0018       -23442.2
       -0.0015       -23406.7
       -0.0012       -23386.8
       -0.0009       -23377.8
       -0.0006       -23375.7
       -0.0003       -23376.4
             0       -23377.5
        0.0003       -23377.8
        0.0006       -23377.2
        0.0009       -23375.8
        0.0012       -23375.8
        0.0015       -23379.9
        0.0018       -23392.1
        0.0021       -23416.6
        0.0024       -23458.5
        0.0027         -23523
         0.003         -23616
        0.0033       -23743.2
        0.0036       -23910.6
        0.0039       -24123.9
        0.0042       -24387.8
        0.0045       -24704.4
        0.0048         -25000
        0.0051         -25000
        0.0054         -25000
        0.0057         -25000
         0.006       -22953.3
        0.0063       -21018.4
        0.0066       -19399.4
        0.0069       -18007.4
        0.0072       -16789.1
        0.0075       -15708.7
        0.0078       -14740.9
        0.0081       -13866.6
        0.0084       -13071.5
        0.0087       -12344.3
         0.009       -11675.9
        0.0093       -11059.1
        0.0096       -10487.7
        0.0099       -9956.72
        0.0102       -9461.91
        0.0105       -8999.67
        0.0108       -8566.91
        0.0111       -8160.93
        0.0114       -7779.41
        0.0117       -7420.36
         0.012          -7082
        0.0123       -6762.77
        0.0126        -6461.3
        0.0129       -6176.34
        0.0132       -5906.77
        0.0135       -5651.59
        0.0138       -5409.93
        0.0141       -5180.94
        0.0144       -4963.94
        0.0147       -4758.25
         0.015       -4563.26
        0.0153       -4378.37
        0.0156       -4203.14
        0.0159       -4037.07
        0.0162       -3879.67
        0.0165       -3730.49
        0.0168       -3589.14
        0.0171       -3455.28
        0.0174       -3328.49
        0.0177       -3208.49
         0.018       -3094.93
        0.0183       -2987.41
        0.0186        -2885.6
        0.0189       -2789.22
        0.0192          -2698
        0.0195       -2611.66
        0.0198       -2529.85
        0.0201       -2452.37
        0.0204       -2378.95
        0.0207       -2309.52
         0.021       -2243.95
        0.0213        -2182.1
        0.0216       -2123.79
        0.0219       -2068.87
        0.0222       -2017.16
        0.0225        -1968.5
        0.0228       -1922.75
        0.0231       -1879.74
        0.0234       -1839.35
        0.0237       -1801.44
         0.024       -1765.88
        0.0243       -1732.55
        0.0246       -1701.35
        0.0249       -1672.16
        0.0252        -1644.9
        0.0255       -1619.46
        0.0258       -1595.78
        0.0261       -1573.75
        0.0264       -1553.33
        0.0267       -1534.43
         0.027       -1517.01
        0.0273       -1500.99
        0.0276       -1486.34
        0.0279       -1473.01
        0.0282       -1460.96
        0.0285       -1450.15
        0.0288       -1440.56
        0.0291       -1432.15
        0.0294        -1424.9
        0.0297       -1418.79
          0.03       -1413.82
        0.0303       -1409.96
        0.0306        -1407.2
        0.0309       -1405.55
        0.0312          -1405
