particle,length
0,0.0254988
1,0.269828
2,0.0261774
3,0.025468
4,0.0280686
5,0.0565746
6,0.017562
7,0.0163286
8,0.0153032
9,0.0863784
10,0.0249452
11,0.0692334
12,0.0263577
13,0.0284061
14,0.0818204
15,0.0248851
16,0.0950185
17,0.0190986
18,0.0710037
19,0.0257866
20,0.0296828
21,0.0650861
22,0.0156582
23,0.0149941
24,0.0149234
25,0.0253551
26,0.0575689
27,0.0194711
28,0.0144658
29,0.0148896
30,0.0165856
31,0.0577931
32,0.105387
33,0.0160347
34,0.0167879
35,0.0151296
36,0.214136
37,0.0157377
38,0.0257209
39,0.0774144
40,0.0249987
41,0.145941
42,0.0252509
43,0.0252363
44,0.0156397
45,0.0146087
46,0.0156981
47,0.0667637
48,0.16677
49,0.100953
50,0.0202069
51,0.115451
52,0.092499
53,0.0149561
54,0.01487
55,0.0159715
56,0.0259542
57,0.0561939
58,0.0176658
59,0.0844718
60,0.1658
61,0.0153064
62,0.0146347
63,0.341603
64,0.0144683
65,0.0175816
66,0.0217685
67,0.15168
68,0.0745419
69,0.0159138
70,0.0251147
71,0.346836
72,0.0986702
73,0.117618
74,0.0263203
75,0.0161447
76,0.302
77,0.0251983
78,0.0179131
79,0.0183983
80,0.0146247
81,0.0263244
82,0.0144613
83,0.0149365
84,0.0260726
85,0.0147769
86,0.025011
87,0.0158334
88,0.0259831
89,0.0956851
90,0.0242055
91,0.0157197
92,0.014912
93,0.0150013
94,0.0255861
95,0.0561406
96,0.0196445
97,0.0257862
98,0.0151124
99,0.0581447
100,0.0665553
101,0.0711054
102,0.0151246
103,0.0241073
104,0.0155046
105,0.0158106
106,0.0165737
107,0.108202
108,0.107064
109,0.0150755
110,0.0231627
111,0.0149464
112,0.0574268
113,0.1256
114,0.266006
115,0.0253786
116,0.024897
117,0.0165623
118,0.0170187
119,0.0777134
120,0.0157019
121,0.0610458
122,0.0245651
123,0.0175013
124,0.0144984
125,0.0154441
126,0.0559797
127,0.0564063
128,0.0577932
129,0.0718705
130,0.0962816
131,0.0573216
132,0.0145854
133,0.127394
134,0.0575153
135,0.0270706
136,0.0158458
137,0.0198017
138,0.111725
139,0.0241483
140,0.0671847
141,0.0146403
142,0.0546105
143,0.0216823
144,0.0152061
145,0.014819
146,0.146857
147,0.0147914
148,0.0150052
149,0.242805
150,0.014495
151,0.0612476
152,0.0564584
153,0.0243537
154,0.0283494
155,0.0989771
156,0.0280984
157,0.0569928
158,0.0258866
159,0.0144666
160,0.0241627
161,0.0151286
162,0.0279016
163,0.0175596
164,0.0230602
165,0.0163018
166,0.0166918
167,0.0252011
168,0.546313
169,0.0148233
170,0.025675
171,0.016281
172,0.0158435
173,0.0673003
174,0.181112
175,0.016047
176,0.0154977
177,0.0674604
178,0.119315
179,0.0146763
180,0.0156459
181,0.146505
182,0.0169352
183,0.014839
184,0.0248157
185,0.202
186,0.0277174
187,0.125233
188,0.0147478
189,0.201965
190,0.0195434
191,0.0157943
192,0.0151138
193,0.106335
194,0.265841
195,0.0254978
196,0.0146919
197,0.0254538
198,0.0752253
199,0.206574
200,0.0781776
201,0.0152238
202,0.015017
203,0.147243
204,0.0175266
205,0.0676248
206,0.0984863
207,0.0926953
208,0.0264935
209,0.0148509
210,0.0247567
211,0.0146589
212,0.0671262
213,0.104377
214,0.0150486
215,0.302759
216,0.478877
217,0.0574983
218,0.103282
219,0.0174553
220,0.226578
221,0.0152546
222,0.019252
223,0.0244891
224,0.0251131
225,0.217107
226,0.0146477
227,0.0150355
228,0.0191135
229,0.0610309
230,0.0148138
231,0.0146489
232,0.0183481
233,0.0181985
234,0.0767297
235,0.0148426
236,0.0183312
237,0.0730984
238,0.0187287
239,0.0145327
240,0.0259197
241,0.0146382
242,0.0559318
243,0.0184445
244,0.0648294
245,0.142969
246,0.0152132
247,0.26351
248,0.0152565
249,0.0249978
250,0.0147036
251,0.0265381
252,0.100224
253,0.0999473
254,0.02221
255,0.025728
256,0.0552318
257,0.189371
258,0.0244596
259,0.0151252
260,0.027345
261,0.0986902
262,0.0151266
263,0.0789678
264,0.0153648
265,0.014675
266,0.0250648
267,0.0573101
268,0.0190211
269,0.0997957
270,0.0579235
271,0.0148494
272,0.0301482
273,0.0985821
274,0.0248972
275,0.0150161
276,0.0185287
277,0.168801
278,0.138816
279,0.0255159
280,0.110399
281,0.0148223
282,0.103382
283,0.0276553
284,0.0155085
285,0.0150352
286,0.0168619
287,0.0162917
288,0.0241119
289,0.0155592
290,0.0147178
291,0.0229471
292,0.0149943
293,0.0253476
294,0.0160335
295,0.0566839
296,0.0160292
297,0.017614
298,0.152183
299,0.0171095
300,0.0145225
301,0.212134
302,0.0257277
303,0.0253747
304,0.071366
305,0.0166321
306,0.0149732
307,0.0248839
308,0.106325
309,0.0250605
310,0.0152703
311,0.0180439
312,0.0180327
313,0.058467
314,0.185968
315,0.0144867
316,0.0170638
317,0.0153867
318,0.106799
319,0.0686443
320,0.015572
321,0.0155579
322,0.0583551
323,0.0146886
324,0.0148489
325,0.122357
326,0.0251605
327,0.0155459
328,0.0186204
329,0.0740538
330,0.0557965
331,0.146309
332,0.0978047
333,0.0144941
334,0.110787
335,0.0150919
336,0.0251938
337,0.0244812
338,0.0659605
339,0.02574
340,0.103234
341,0.144434
342,0.0147829
343,0.0198843
344,0.0148996
345,0.0152782
346,0.0659215
347,0.177396
348,0.0263732
349,0.0777395
350,0.0154716
351,0.01505
352,0.121372
353,0.263645
354,0.0277932
355,0.0145404
356,0.0186627
357,0.0675922
358,0.0146247
359,0.111136
360,0.0160471
361,0.0150118
362,0.0144754
363,0.0247718
364,0.0578893
365,0.0147444
366,0.0605557
367,0.0564182
368,0.0250845
369,0.0158258
370,0.0258651
371,0.01463
372,0.02518
373,0.0152495
374,0.0314729
375,0.0171687
376,0.0242801
377,0.0267276
378,0.0254235
379,0.0351063
380,0.0257137
381,0.0148527
382,0.26095
383,0.0147978
384,0.607613
385,0.0184665
386,0.0665168
387,0.148084
388,0.0753167
389,0.149706
390,0.0694167
391,0.0249494
392,0.112323
393,0.024918
394,0.0574558
395,0.0145002
396,0.117146
397,0.0146479
398,0.113313
399,0.0983308
400,0.0154875
401,0.0247691
402,0.0253935
403,0.0253279
404,0.164809
405,0.07442
406,0.0145658
407,0.095892
408,0.0735403
409,0.173219
410,0.0147107
411,0.0248895
412,0.0208574
413,0.0961906
414,0.0146873
415,0.057882
416,0.025754
417,0.141716
418,0.0185175
419,0.0968154
420,0.055363
421,0.0151879
422,0.0248409
423,0.028718
424,0.408749
425,0.0306953
426,0.0154221
427,0.0145063
428,0.0729581
429,0.0153326
430,0.151626
431,0.0703954
432,0.0151599
433,0.0241399
434,0.0174678
435,0.0965662
436,0.208624
437,0.0149453
438,0.0562035
439,0.0161442
440,0.0271038
441,0.146294
442,0.0257356
443,0.15847
444,0.0284385
445,0.0150081
446,0.0249572
447,0.014873
448,0.0155765
449,0.0158414
450,0.0161518
451,0.0147027
452,0.0151959
453,0.0852995
454,0.0150151
455,0.0184976
456,0.0158497
457,0.0656372
458,0.0547212
459,0.100532
460,0.024514
461,0.055667
462,0.0147726
463,0.0154202
464,0.0152652
465,0.0247525
466,0.0172565
467,0.0730313
468,0.0168628
469,0.0270421
470,0.056583
471,0.170457
472,0.102409
473,0.0310436
474,0.0154613
475,0.0155032
476,0.0281908
477,0.0152953
478,0.0241948
479,0.0198577
480,0.0145589
481,0.0166875
482,0.0831036
483,0.106042
484,0.0262569
485,0.0247778
486,0.055321
487,0.0571708
488,0.0145308
489,0.0284675
490,0.0147615
491,0.0259594
492,0.0152632
493,0.0148502
494,0.0241592
495,0.0180304
496,0.150512
497,0.0580901
498,0.272554
499,0.221557
500,0.0145051
501,0.282686
502,0.112647
503,0.325101
504,0.188358
505,0.0149871
506,0.124
507,0.0257038
508,0.0523565
509,0.0148791
510,0.0278566
511,0.0279666
512,0.0146168
513,0.0562352
514,0.0247514
515,0.0162274
516,0.019395
517,0.0555458
518,0.0251973
519,0.065371
520,0.0246984
521,0.0147918
522,0.070627
523,0.0689328
524,0.0163182
525,0.0633691
526,0.0283994
527,0.0166846
528,0.186756
529,0.0171494
530,0.0559533
531,0.0151508
532,0.017815
533,0.0249704
534,0.0262237
535,0.0975659
536,0.0247748
537,0.0264814
538,0.0991938
539,0.024105
540,0.0242471
541,0.0574476
542,0.0745646
543,0.0147372
544,0.0249161
545,0.027151
546,0.156942
547,0.0697374
548,0.0249394
549,0.0174736
550,0.018981
551,0.494099
552,0.0250459
553,0.0154185
554,0.0249274
555,0.264726
556,0.0260074
557,0.015293
558,0.016286
559,0.0160442
560,0.01747
561,0.0217135
562,0.0144898
563,0.0169998
564,0.0145409
565,0.0242906
566,0.1558
567,0.0158228
568,0.0145235
569,0.0200258
570,0.0250446
571,0.0784419
572,0.0180928
573,0.0797664
574,0.0158927
575,0.0727157
576,0.0148323
577,0.0157019
578,0.0153185
579,0.0162824
