# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -7.90139
       -0.0294       -24.1716
       -0.0291       -40.6436
       -0.0288       -57.2609
       -0.0285       -73.9958
       -0.0282       -90.8272
       -0.0279       -107.734
       -0.0276       -124.692
       -0.0273       -141.675
        -0.027       -158.652
       -0.0267       -175.584
       -0.0264       -192.428
       -0.0261       -209.132
       -0.0258       -225.633
       -0.0255       -241.854
       -0.0252       -257.706
       -0.0249       -273.078
       -0.0246       -287.835
       -0.0243       -301.814
        -0.024        -314.81
       -0.0237        -326.57
       -0.0234       -336.772
       -0.0231        -345.01
       -0.0228       -350.754
       -0.0225       -353.308
       -0.0222       -351.736
       -0.0219       -344.749
       -0.0216       -330.511
       -0.0213       -306.306
        -0.021       -267.909
       -0.0207       -208.323
       -0.0204       -114.977
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -36.5794
       -0.0189       -364.898
       -0.0186       -618.109
       -0.0183       -832.236
        -0.018       -1023.97
       -0.0177       -1202.17
       -0.0174       -1372.04
       -0.0171       -1536.94
       -0.0168        -1699.2
       -0.0165       -1860.53
       -0.0162       -2022.26
       -0.0159       -2185.47
       -0.0156       -2351.07
       -0.0153       -2519.87
        -0.015       -2692.63
       -0.0147       -2870.02
       -0.0144       -3052.75
       -0.0141       -3241.46
       -0.0138       -3436.86
       -0.0135       -3639.62
       -0.0132       -3850.48
       -0.0129       -4070.21
       -0.0126       -4299.63
       -0.0123       -4539.61
        -0.012       -4791.11
       -0.0117       -5055.17
       -0.0114       -5332.96
       -0.0111       -5625.74
       -0.0108       -5934.94
       -0.0105       -6262.16
       -0.0102       -6609.19
       -0.0099       -6978.11
       -0.0096       -7371.26
       -0.0093       -7791.37
        -0.009       -8241.59
       -0.0087       -8725.66
       -0.0084       -9247.98
       -0.0081       -9813.87
       -0.0078       -10429.8
       -0.0075       -11103.6
       -0.0072       -11845.4
       -0.0069       -12668.1
       -0.0066       -13588.4
       -0.0063       -14629.6
        -0.006       -15824.3
       -0.0057       -17223.1
       -0.0054       -18916.6
       -0.0051         -20000
       -0.0048         -20000
       -0.0045         -20000
       -0.0042       -19955.7
       -0.0039       -19664.3
       -0.0036         -19416
       -0.0033       -19210.6
        -0.003       -19045.5
       -0.0027       -18916.4
       -0.0024       -18818.4
       -0.0021       -18746.8
       -0.0018       -18696.7
       -0.0015       -18663.7
       -0.0012       -18643.8
       -0.0009       -18633.2
       -0.0006       -18628.5
       -0.0003       -18627.2
             0       -18627.2
        0.0003       -18627.4
        0.0006       -18627.4
        0.0009       -18627.8
        0.0012       -18630.2
        0.0015       -18636.6
        0.0018       -18650.1
        0.0021         -18674
        0.0024       -18712.2
        0.0027         -18769
         0.003       -18848.9
        0.0033       -18956.6
        0.0036       -19096.9
        0.0039       -19274.6
        0.0042       -19493.6
        0.0045       -19755.6
        0.0048         -20000
        0.0051         -20000
        0.0054         -20000
        0.0057         -20000
         0.006       -18327.6
        0.0063       -16746.5
        0.0066       -15423.2
        0.0069       -14285.2
        0.0072         -13289
        0.0075       -12405.2
        0.0078       -11613.1
        0.0081       -10897.1
        0.0084       -10245.4
        0.0087       -9648.89
         0.009       -9100.03
        0.0093       -8592.81
        0.0096       -8122.26
        0.0099        -7684.2
        0.0102       -7275.12
        0.0105       -6892.02
        0.0108        -6532.3
        0.0111       -6193.72
        0.0114       -5874.29
        0.0117        -5572.3
         0.012       -5286.21
        0.0123       -5014.63
        0.0126       -4756.33
        0.0129       -4510.19
        0.0132        -4275.2
        0.0135       -4050.41
        0.0138       -3834.96
        0.0141       -3628.04
        0.0144       -3428.89
        0.0147       -3236.77
         0.015       -3050.98
        0.0153       -2870.83
        0.0156       -2695.61
        0.0159       -2524.63
        0.0162       -2357.13
        0.0165       -2192.31
        0.0168       -2029.27
        0.0171          -1867
        0.0174       -1704.24
        0.0177       -1539.45
         0.018        -1370.6
        0.0183       -1194.86
        0.0186       -1008.05
        0.0189       -803.534
        0.0192       -569.782
        0.0195       -284.281
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -27.3769
         0.021       -191.559
        0.0213       -298.022
        0.0216       -370.579
        0.0219       -421.491
        0.0222       -457.696
        0.0225        -483.44
        0.0228       -501.488
        0.0231       -513.727
        0.0234       -521.497
        0.0237       -525.778
         0.024       -527.306
        0.0243       -526.643
        0.0246       -524.226
        0.0249       -520.402
        0.0252       -515.445
        0.0255        -509.58
        0.0258       -502.986
        0.0261       -495.812
        0.0264        -488.18
        0.0267       -480.193
         0.027       -471.934
        0.0273       -463.475
        0.0276       -454.875
        0.0279       -446.183
        0.0282       -437.441
        0.0285       -428.686
        0.0288       -419.946
        0.0291       -411.248
        0.0294       -402.613
        0.0297       -394.059
          0.03       -385.601
        0.0303       -377.252
        0.0306       -369.024
        0.0309       -360.924
        0.0312       -352.961
        0.0315       -345.141
        0.0318       -337.469
        0.0321       -329.948
        0.0324       -322.582
        0.0327       -315.372
         0.033       -308.321
        0.0333       -301.431
        0.0336       -294.701
        0.0339       -288.132
        0.0342       -281.726
        0.0345       -275.481
        0.0348       -269.399
        0.0351       -263.478
        0.0354       -257.718
        0.0357       -252.118
         0.036       -246.678
        0.0363       -241.396
        0.0366       -236.271
        0.0369       -231.302
        0.0372       -226.486
        0.0375       -221.824
        0.0378       -217.313
        0.0381       -212.952
        0.0384       -208.741
        0.0387       -204.677
         0.039        -200.76
        0.0393       -196.989
        0.0396       -193.363
        0.0399        -189.88
        0.0402       -186.539
        0.0405        -183.34
        0.0408       -180.281
        0.0411        -177.36
        0.0414       -174.577
        0.0417        -171.93
         0.042       -169.418
        0.0423        -167.04
        0.0426       -164.796
