# iteration    r (m)    potential (V)
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03              0
         1        -0.0297       -7.90139
         1        -0.0294       -24.1716
         1        -0.0291       -40.6436
         1        -0.0288       -57.2609
         1        -0.0285       -73.9958
         1        -0.0282       -90.8272
         1        -0.0279       -107.734
         1        -0.0276       -124.692
         1        -0.0273       -141.675
         1         -0.027       -158.652
         1        -0.0267       -175.584
         1        -0.0264       -192.428
         1        -0.0261       -209.132
         1        -0.0258       -225.633
         1        -0.0255       -241.854
         1        -0.0252       -257.706
         1        -0.0249       -273.078
         1        -0.0246       -287.835
         1        -0.0243       -301.814
         1         -0.024        -314.81
         1        -0.0237        -326.57
         1        -0.0234       -336.772
         1        -0.0231        -345.01
         1        -0.0228       -350.754
         1        -0.0225       -353.308
         1        -0.0222       -351.736
         1        -0.0219       -344.749
         1        -0.0216       -330.511
         1        -0.0213       -306.306
         1         -0.021       -267.909
         1        -0.0207       -208.323
         1        -0.0204       -114.977
         1        -0.0201              0
         1        -0.0198              0
         1        -0.0195              0
         1        -0.0192       -36.5794
         1        -0.0189       -364.898
         1        -0.0186       -618.109
         1        -0.0183       -832.236
         1         -0.018       -1023.97
         1        -0.0177       -1202.17
         1        -0.0174       -1372.04
         1        -0.0171       -1536.94
         1        -0.0168        -1699.2
         1        -0.0165       -1860.53
         1        -0.0162       -2022.26
         1        -0.0159       -2185.47
         1        -0.0156       -2351.07
         1        -0.0153       -2519.87
         1         -0.015       -2692.63
         1        -0.0147       -2870.02
         1        -0.0144       -3052.75
         1        -0.0141       -3241.46
         1        -0.0138       -3436.86
         1        -0.0135       -3639.62
         1        -0.0132       -3850.48
         1        -0.0129       -4070.21
         1        -0.0126       -4299.63
         1        -0.0123       -4539.61
         1         -0.012       -4791.11
         1        -0.0117       -5055.17
         1        -0.0114       -5332.96
         1        -0.0111       -5625.74
         1        -0.0108       -5934.94
         1        -0.0105       -6262.16
         1        -0.0102       -6609.19
         1        -0.0099       -6978.11
         1        -0.0096       -7371.26
         1        -0.0093       -7791.37
         1         -0.009       -8241.59
         1        -0.0087       -8725.66
         1        -0.0084       -9247.98
         1        -0.0081       -9813.87
         1        -0.0078       -10429.8
         1        -0.0075       -11103.6
         1        -0.0072       -11845.4
         1        -0.0069       -12668.1
         1        -0.0066       -13588.4
         1        -0.0063       -14629.6
         1         -0.006       -15824.3
         1        -0.0057       -17223.1
         1        -0.0054       -18916.6
         1        -0.0051         -20000
         1        -0.0048         -20000
         1        -0.0045         -20000
         1        -0.0042       -19955.7
         1        -0.0039       -19664.3
         1        -0.0036         -19416
         1        -0.0033       -19210.6
         1         -0.003       -19045.5
         1        -0.0027       -18916.4
         1        -0.0024       -18818.4
         1        -0.0021       -18746.8
         1        -0.0018       -18696.7
         1        -0.0015       -18663.7
         1        -0.0012       -18643.8
         1        -0.0009       -18633.2
         1        -0.0006       -18628.5
         1        -0.0003       -18627.2
         1              0       -18627.2
         1         0.0003       -18627.4
         1         0.0006       -18627.4
         1         0.0009       -18627.8
         1         0.0012       -18630.2
         1         0.0015       -18636.6
         1         0.0018       -18650.1
         1         0.0021         -18674
         1         0.0024       -18712.2
         1         0.0027         -18769
         1          0.003       -18848.9
         1         0.0033       -18956.6
         1         0.0036       -19096.9
         1         0.0039       -19274.6
         1         0.0042       -19493.6
         1         0.0045       -19755.6
         1         0.0048         -20000
         1         0.0051         -20000
         1         0.0054         -20000
         1         0.0057         -20000
         1          0.006       -18327.6
