# r (m)    potential (V)
       -0.0315       -738.223
       -0.0312       -738.589
       -0.0309       -739.685
       -0.0306       -741.517
       -0.0303       -744.088
         -0.03       -747.406
       -0.0297       -751.481
       -0.0294       -756.324
       -0.0291        -761.95
       -0.0288       -768.376
       -0.0285       -775.619
       -0.0282       -783.702
       -0.0279        -792.65
       -0.0276       -802.488
       -0.0273       -813.248
        -0.027       -824.961
       -0.0267       -837.665
       -0.0264       -851.398
       -0.0261       -866.204
       -0.0258       -882.131
       -0.0255       -899.229
       -0.0252       -917.555
       -0.0249       -937.169
       -0.0246       -958.137
       -0.0243       -980.529
        -0.024       -1004.42
       -0.0237        -1029.9
       -0.0234       -1057.04
       -0.0231       -1085.94
       -0.0228       -1116.71
       -0.0225       -1149.44
       -0.0222       -1184.25
       -0.0219       -1221.27
       -0.0216        -1260.6
       -0.0213        -1302.4
        -0.021        -1346.8
       -0.0207       -1393.95
       -0.0204          -1444
       -0.0201       -1497.13
       -0.0198        -1553.5
       -0.0195       -1613.29
       -0.0192       -1676.69
       -0.0189       -1743.89
       -0.0186        -1815.1
       -0.0183       -1890.52
        -0.018       -1970.37
       -0.0177       -2054.88
       -0.0174       -2144.28
       -0.0171        -2238.8
       -0.0168       -2338.71
       -0.0165       -2444.27
       -0.0162       -2555.76
       -0.0159       -2673.46
       -0.0156       -2797.68
       -0.0153       -2928.76
        -0.015       -3067.03
       -0.0147       -3212.87
       -0.0144       -3366.67
       -0.0141       -3528.88
       -0.0138       -3699.96
       -0.0135       -3880.42
       -0.0132       -4070.82
       -0.0129       -4271.77
       -0.0126       -4483.97
       -0.0123       -4708.16
        -0.012       -4945.17
       -0.0117       -5195.96
       -0.0114       -5461.57
       -0.0111       -5743.17
       -0.0108       -6042.12
       -0.0105       -6359.92
       -0.0102       -6698.31
       -0.0099       -7059.27
       -0.0096       -7445.09
       -0.0093       -7858.43
        -0.009       -8302.39
       -0.0087       -8780.64
       -0.0084       -9297.54
       -0.0081       -9858.35
       -0.0078       -10469.5
       -0.0075       -11138.8
       -0.0072       -11876.2
       -0.0069       -12694.6
       -0.0066       -13610.7
       -0.0063       -14647.6
        -0.006       -15837.9
       -0.0057         -17232
       -0.0054         -18920
       -0.0051         -20000
       -0.0048         -20000
       -0.0045         -20000
       -0.0042       -19955.7
       -0.0039       -19664.6
       -0.0036       -19416.4
       -0.0033       -19211.2
        -0.003       -19046.1
       -0.0027         -18917
       -0.0024         -18819
       -0.0021       -18747.3
       -0.0018       -18697.2
       -0.0015       -18664.2
       -0.0012       -18644.2
       -0.0009       -18633.5
       -0.0006       -18628.7
       -0.0003       -18627.3
             0       -18627.2
        0.0003       -18627.3
        0.0006       -18627.2
        0.0009       -18627.6
        0.0012       -18629.8
        0.0015       -18636.3
        0.0018       -18649.7
        0.0021       -18673.6
        0.0024       -18711.8
        0.0027       -18768.6
         0.003       -18848.4
        0.0033       -18956.1
        0.0036       -19096.5
        0.0039       -19274.3
        0.0042       -19493.4
        0.0045       -19755.6
        0.0048         -20000
        0.0051         -20000
        0.0054         -20000
        0.0057         -20000
         0.006       -18329.2
        0.0063       -16749.6
        0.0066       -15427.9
        0.0069       -14291.6
        0.0072       -13297.2
        0.0075       -12415.4
        0.0078       -11625.4
        0.0081       -10911.9
        0.0084         -10263
        0.0087       -9669.55
         0.009       -9124.15
        0.0093        -8620.8
        0.0096       -8154.59
        0.0099       -7721.38
        0.0102       -7317.72
        0.0105       -6940.66
        0.0108       -6587.66
        0.0111       -6256.55
        0.0114       -5945.42
        0.0117       -5652.64
         0.012       -5376.74
        0.0123       -5116.44
        0.0126        -4870.6
        0.0129       -4638.21
        0.0132       -4418.38
        0.0135       -4210.29
        0.0138       -4013.21
        0.0141       -3826.48
        0.0144       -3649.52
        0.0147       -3481.77
         0.015       -3322.75
        0.0153       -3171.99
        0.0156       -3029.07
        0.0159        -2893.6
        0.0162       -2765.23
        0.0165       -2643.61
        0.0168       -2528.42
        0.0171       -2419.37
        0.0174       -2316.16
        0.0177       -2218.53
         0.018       -2126.21
        0.0183       -2038.95
        0.0186       -1956.52
        0.0189       -1878.69
        0.0192       -1805.23
        0.0195       -1735.93
        0.0198       -1670.58
        0.0201       -1608.99
        0.0204       -1550.95
        0.0207        -1496.3
         0.021       -1444.85
        0.0213       -1396.43
        0.0216       -1350.88
        0.0219       -1308.05
        0.0222        -1267.8
        0.0225       -1229.98
        0.0228       -1194.46
        0.0231       -1161.13
        0.0234       -1129.86
        0.0237       -1100.54
         0.024       -1073.07
        0.0243       -1047.35
        0.0246       -1023.29
        0.0249       -1000.82
        0.0252       -979.844
        0.0255       -960.296
        0.0258       -942.109
        0.0261        -925.22
        0.0264       -909.572
        0.0267       -895.113
         0.027       -881.794
        0.0273       -869.571
        0.0276       -858.405
        0.0279       -848.258
        0.0282       -839.098
        0.0285       -830.895
        0.0288       -823.623
        0.0291       -817.259
        0.0294       -811.782
        0.0297       -807.176
          0.03       -803.426
        0.0303       -800.522
        0.0306       -798.453
        0.0309       -797.214
        0.0312       -796.802
