# iteration    r (m)    potential (V)
         1         -0.048              0
         1        -0.0477              0
         1        -0.0474              0
         1        -0.0471              0
         1        -0.0468              0
         1        -0.0465              0
         1        -0.0462              0
         1        -0.0459              0
         1        -0.0456              0
         1        -0.0453              0
         1         -0.045              0
         1        -0.0447              0
         1        -0.0444              0
         1        -0.0441              0
         1        -0.0438              0
         1        -0.0435              0
         1        -0.0432              0
         1        -0.0429              0
         1        -0.0426              0
         1        -0.0423              0
         1         -0.042              0
         1        -0.0417              0
         1        -0.0414              0
         1        -0.0411              0
         1        -0.0408              0
         1        -0.0405              0
         1        -0.0402              0
         1        -0.0399              0
         1        -0.0396              0
         1        -0.0393              0
         1         -0.039              0
         1        -0.0387              0
         1        -0.0384              0
         1        -0.0381              0
         1        -0.0378              0
         1        -0.0375              0
         1        -0.0372              0
         1        -0.0369              0
         1        -0.0366              0
         1        -0.0363              0
         1         -0.036              0
         1        -0.0357              0
         1        -0.0354              0
         1        -0.0351              0
         1        -0.0348              0
         1        -0.0345              0
         1        -0.0342              0
         1        -0.0339              0
         1        -0.0336              0
         1        -0.0333              0
         1         -0.033              0
         1        -0.0327              0
         1        -0.0324              0
         1        -0.0321              0
         1        -0.0318              0
         1        -0.0315              0
         1        -0.0312              0
         1        -0.0309              0
         1        -0.0306              0
         1        -0.0303              0
         1          -0.03       -11.9306
         1        -0.0297       -50.6696
         1        -0.0294       -89.7948
         1        -0.0291       -129.346
         1        -0.0288       -169.371
         1        -0.0285       -209.925
         1        -0.0282       -251.068
         1        -0.0279       -292.862
         1        -0.0276       -335.373
         1        -0.0273       -378.671
         1         -0.027        -422.83
         1        -0.0267        -467.93
         1        -0.0264       -514.052
         1        -0.0261       -561.286
         1        -0.0258       -609.724
         1        -0.0255       -659.466
         1        -0.0252       -710.617
         1        -0.0249       -763.286
         1        -0.0246       -817.592
         1        -0.0243       -873.657
         1         -0.024       -931.613
         1        -0.0237       -991.597
         1        -0.0234       -1053.76
         1        -0.0231       -1118.25
         1        -0.0228       -1185.24
         1        -0.0225        -1254.9
         1        -0.0222       -1327.41
         1        -0.0219       -1402.98
         1        -0.0216        -1481.8
         1        -0.0213        -1564.1
         1         -0.021        -1650.1
         1        -0.0207       -1740.04
         1        -0.0204       -1834.16
         1        -0.0201       -1932.73
         1        -0.0198       -2036.02
         1        -0.0195       -2144.31
         1        -0.0192       -2257.88
         1        -0.0189       -2377.05
         1        -0.0186       -2502.13
         1        -0.0183       -2633.44
         1         -0.018       -2771.33
         1        -0.0177       -2916.15
         1        -0.0174       -3068.26
         1        -0.0171       -3228.05
         1        -0.0168       -3395.91
         1        -0.0165       -3572.26
         1        -0.0162       -3757.54
         1        -0.0159        -3952.2
         1        -0.0156       -4156.74
         1        -0.0153       -4371.67
         1         -0.015       -4597.54
         1        -0.0147       -4834.96
         1        -0.0144       -5084.57
         1        -0.0141       -5347.06
         1        -0.0138        -5623.2
         1        -0.0135       -5913.82
         1        -0.0132       -6219.83
         1        -0.0129       -6542.24
         1        -0.0126       -6882.17
         1        -0.0123       -7240.85
         1         -0.012       -7619.68
         1        -0.0117        -8020.2
         1        -0.0114       -8444.15
         1        -0.0111       -8893.49
         1        -0.0108       -9370.46
         1        -0.0105       -9877.58
         1        -0.0102       -10417.8
         1        -0.0099       -10994.3
         1        -0.0096       -11611.2
         1        -0.0093       -12272.9
         1         -0.009       -12984.7
         1        -0.0087         -13753
         1        -0.0084       -14585.3
         1        -0.0081       -15490.8
         1        -0.0078       -16480.9
         1        -0.0075       -17569.8
         1        -0.0072       -18775.4
         1        -0.0069       -20121.5
         1        -0.0066       -21639.2
         1        -0.0063       -23371.2
         1         -0.006       -25373.1
         1        -0.0057       -27697.4
         1        -0.0054         -30000
         1        -0.0051         -30000
         1        -0.0048         -30000
         1        -0.0045       -29949.7
         1        -0.0042       -29541.8
         1        -0.0039       -29166.5
         1        -0.0036       -28850.9
         1        -0.0033       -28595.7
         1         -0.003       -28395.2
         1        -0.0027       -28242.5
         1        -0.0024       -28130.3
         1        -0.0021       -28051.5
         1        -0.0018       -27999.3
         1        -0.0015       -27967.5
         1        -0.0012       -27950.4
         1        -0.0009       -27942.8
         1        -0.0006       -27940.6
         1        -0.0003       -27940.7
         1              0       -27940.9
         1         0.0003       -27940.7
         1         0.0006       -27940.6
         1         0.0009       -27942.8
         1         0.0012       -27950.3
         1         0.0015       -27967.4
         1         0.0018       -27999.2
         1         0.0021       -28051.3
         1         0.0024       -28130.1
         1         0.0027       -28242.3
         1          0.003         -28395
         1         0.0033       -28595.4
         1         0.0036       -28850.6
         1         0.0039       -29166.2
         1         0.0042       -29541.4
         1         0.0045       -29949.3
         1         0.0048         -30000
         1         0.0051         -30000
         1         0.0054         -30000
         1         0.0057       -27701.2
         1          0.006       -25375.9
         1         0.0063         -23374
         1         0.0066       -21642.1
         1         0.0069       -20124.4
         1         0.0072       -18778.5
         1         0.0075         -17573
         1         0.0078       -16484.3
         1         0.0081       -15494.4
         1         0.0084       -14589.2
         1         0.0087       -13757.1
         1          0.009       -12989.2
         1         0.0093       -12277.7
         1         0.0096       -11616.4
         1         0.0099         -11000
         1         0.0102       -10423.8
         1         0.0105       -9884.13
         1         0.0108        -9377.5
         1         0.0111       -8901.06
         1         0.0114       -8452.27
         1         0.0117       -8028.89
         1          0.012       -7628.96
         1         0.0123       -7250.72
         1         0.0126       -6892.64
         1         0.0129       -6553.32
         1         0.0132       -6231.52
         1         0.0135       -5926.12
         1         0.0138       -5636.09
         1         0.0141       -5360.52
         1         0.0144       -5098.58
         1         0.0147       -4849.49
         1          0.015       -4612.55
         1         0.0153       -4387.12
         1         0.0156       -4172.59
         1         0.0159        -3968.4
         1         0.0162       -3774.03
         1         0.0165       -3588.99
         1         0.0168       -3412.82
         1         0.0171       -3245.08
         1         0.0174       -3085.35
         1         0.0177       -2933.23
         1          0.018       -2788.34
         1         0.0183       -2650.33
         1         0.0186       -2518.83
         1         0.0189       -2393.51
         1         0.0192       -2274.05
         1         0.0195       -2160.14
         1         0.0198       -2051.48
         1         0.0201       -1947.78
         1         0.0204       -1848.76
         1         0.0207       -1754.17
         1          0.021       -1663.74
         1         0.0213       -1577.23
         1         0.0216        -1494.4
         1         0.0219       -1415.04
         1         0.0222       -1338.94
         1         0.0225       -1265.88
         1         0.0228       -1195.67
         1         0.0231       -1128.15
         1         0.0234       -1063.12
         1         0.0237       -1000.43
         1          0.024       -939.922
         1         0.0243       -881.454
         1         0.0246       -824.888
         1         0.0249       -770.093
         1         0.0252       -716.945
         1         0.0255       -665.329
         1         0.0258       -615.133
         1         0.0261       -566.253
         1         0.0264       -518.589
         1         0.0267       -472.048
         1          0.027        -426.54
         1         0.0273       -381.984
         1         0.0276       -338.298
         1         0.0279       -295.409
         1         0.0282       -253.246
         1         0.0285       -211.742
         1         0.0288       -170.834
         1         0.0291       -130.461
         1         0.0294       -90.5674
         1         0.0297        -51.105
         1           0.03        -12.033
         1         0.0303              0
         1         0.0306              0
         1         0.0309              0
         1         0.0312              0
         1         0.0315              0
         1         0.0318              0
         1         0.0321              0
         1         0.0324              0
         1         0.0327              0
         1          0.033              0
         1         0.0333              0
         1         0.0336              0
         1         0.0339              0
         1         0.0342              0
         1         0.0345              0
         1         0.0348              0
         1         0.0351              0
         1         0.0354              0
         1         0.0357              0
         1          0.036              0
         1         0.0363              0
         1         0.0366              0
         1         0.0369              0
         1         0.0372              0
         1         0.0375              0
         1         0.0378              0
         1         0.0381              0
         1         0.0384              0
         1         0.0387              0
         1          0.039              0
         1         0.0393              0
         1         0.0396              0
         1         0.0399              0
         1         0.0402              0
         1         0.0405              0
         1         0.0408              0
         1         0.0411              0
         1         0.0414              0
         1         0.0417              0
         1          0.042              0
         1         0.0423              0
         1         0.0426              0
         1         0.0429              0
         1         0.0432              0
         1         0.0435              0
         1         0.0438              0
         1         0.0441              0
         1         0.0444              0
         1         0.0447              0
         1          0.045              0
         1         0.0453              0
         1         0.0456              0
         1         0.0459              0
         1         0.0462              0
         1         0.0465              0
         1         0.0468              0
         1         0.0471              0
         1         0.0474              0
         1         0.0477              0
         2         -0.048              0
         2        -0.0477              0
         2        -0.0474              0
         2        -0.0471              0
         2        -0.0468              0
         2        -0.0465              0
         2        -0.0462              0
         2        -0.0459              0
         2        -0.0456              0
         2        -0.0453              0
         2         -0.045              0
         2        -0.0447              0
         2        -0.0444              0
         2        -0.0441              0
         2        -0.0438              0
         2        -0.0435              0
         2        -0.0432              0
         2        -0.0429              0
         2        -0.0426              0
         2        -0.0423              0
         2         -0.042              0
         2        -0.0417              0
         2        -0.0414              0
         2        -0.0411              0
         2        -0.0408              0
         2        -0.0405              0
         2        -0.0402              0
         2        -0.0399              0
         2        -0.0396              0
         2        -0.0393              0
         2         -0.039              0
         2        -0.0387              0
         2        -0.0384              0
         2        -0.0381              0
         2        -0.0378              0
         2        -0.0375              0
         2        -0.0372              0
         2        -0.0369              0
         2        -0.0366              0
         2        -0.0363              0
         2         -0.036              0
         2        -0.0357              0
         2        -0.0354              0
         2        -0.0351              0
         2        -0.0348              0
         2        -0.0345              0
         2        -0.0342              0
         2        -0.0339              0
         2        -0.0336              0
         2        -0.0333              0
         2         -0.033              0
         2        -0.0327              0
         2        -0.0324              0
         2        -0.0321              0
         2        -0.0318              0
         2        -0.0315              0
         2        -0.0312              0
         2        -0.0309              0
         2        -0.0306              0
         2        -0.0303              0
         2          -0.03       -11.9306
         2        -0.0297       -50.6696
         2        -0.0294       -89.7948
         2        -0.0291       -129.346
         2        -0.0288       -169.371
         2        -0.0285       -209.925
         2        -0.0282       -251.068
         2        -0.0279       -292.862
         2        -0.0276       -335.373
         2        -0.0273       -378.671
         2         -0.027        -422.83
         2        -0.0267        -467.93
         2        -0.0264       -514.052
         2        -0.0261       -561.286
         2        -0.0258       -609.724
         2        -0.0255       -659.466
         2        -0.0252       -710.617
         2        -0.0249       -763.286
         2        -0.0246       -817.592
         2        -0.0243       -873.657
         2         -0.024       -931.613
         2        -0.0237       -991.597
         2        -0.0234       -1053.76
         2        -0.0231       -1118.25
         2        -0.0228       -1185.24
         2        -0.0225        -1254.9
         2        -0.0222       -1327.41
         2        -0.0219       -1402.98
         2        -0.0216        -1481.8
         2        -0.0213        -1564.1
         2         -0.021        -1650.1
         2        -0.0207       -1740.04
         2        -0.0204       -1834.16
         2        -0.0201       -1932.73
         2        -0.0198       -2036.02
         2        -0.0195       -2144.31
         2        -0.0192       -2257.88
         2        -0.0189       -2377.05
         2        -0.0186       -2502.13
         2        -0.0183       -2633.44
         2         -0.018       -2771.33
         2        -0.0177       -2916.15
         2        -0.0174       -3068.26
         2        -0.0171       -3228.05
         2        -0.0168       -3395.91
         2        -0.0165       -3572.26
         2        -0.0162       -3757.54
         2        -0.0159        -3952.2
         2        -0.0156       -4156.74
         2        -0.0153       -4371.67
         2         -0.015       -4597.54
         2        -0.0147       -4834.96
         2        -0.0144       -5084.57
         2        -0.0141       -5347.06
         2        -0.0138        -5623.2
         2        -0.0135       -5913.82
         2        -0.0132       -6219.83
         2        -0.0129       -6542.24
         2        -0.0126       -6882.17
         2        -0.0123       -7240.85
         2         -0.012       -7619.68
         2        -0.0117        -8020.2
         2        -0.0114       -8444.15
         2        -0.0111       -8893.49
         2        -0.0108       -9370.46
         2        -0.0105       -9877.58
         2        -0.0102       -10417.8
         2        -0.0099       -10994.3
         2        -0.0096       -11611.2
         2        -0.0093       -12272.9
         2         -0.009       -12984.7
         2        -0.0087         -13753
         2        -0.0084       -14585.3
         2        -0.0081       -15490.8
         2        -0.0078       -16480.9
         2        -0.0075       -17569.8
         2        -0.0072       -18775.4
         2        -0.0069       -20121.5
         2        -0.0066       -21639.2
         2        -0.0063       -23371.2
         2         -0.006       -25373.1
         2        -0.0057       -27697.4
         2        -0.0054         -30000
         2        -0.0051         -30000
