# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03         -19.88
       -0.0297       -84.4305
       -0.0294       -149.623
       -0.0291       -215.522
       -0.0288       -282.209
       -0.0285       -349.776
       -0.0282       -418.322
       -0.0279       -487.952
       -0.0276       -558.779
       -0.0273       -630.921
        -0.027       -704.501
       -0.0267       -779.653
       -0.0264       -856.513
       -0.0261       -935.227
       -0.0258       -1015.95
       -0.0255       -1098.85
       -0.0252       -1184.09
       -0.0249       -1271.86
       -0.0246       -1362.36
       -0.0243       -1455.79
        -0.024       -1552.36
       -0.0237       -1652.32
       -0.0234        -1755.9
       -0.0231       -1863.37
       -0.0228       -1975.01
       -0.0225       -2091.09
       -0.0222       -2211.95
       -0.0219       -2337.88
       -0.0216       -2469.25
       -0.0213       -2606.41
        -0.021       -2749.73
       -0.0207       -2899.62
       -0.0204       -3056.48
       -0.0201       -3220.75
       -0.0198       -3392.88
       -0.0195       -3573.34
       -0.0192       -3762.62
       -0.0189       -3961.22
       -0.0186       -4169.67
       -0.0183       -4388.51
        -0.018       -4618.32
       -0.0177       -4859.67
       -0.0174       -5113.18
       -0.0171       -5379.48
       -0.0168       -5659.24
       -0.0165       -5953.14
       -0.0162       -6261.91
       -0.0159       -6586.33
       -0.0156       -6927.21
       -0.0153       -7285.41
        -0.015       -7661.85
       -0.0147       -8057.54
       -0.0144       -8473.54
       -0.0141       -8911.01
       -0.0138       -9371.24
       -0.0135       -9855.59
       -0.0132       -10365.6
       -0.0129         -10903
       -0.0126       -11469.5
       -0.0123       -12067.3
        -0.012       -12698.7
       -0.0117       -13366.2
       -0.0114       -14072.8
       -0.0111       -14821.7
       -0.0108       -15616.6
       -0.0105       -16461.8
       -0.0102       -17362.2
       -0.0099       -18323.2
       -0.0096       -19351.3
       -0.0093       -20454.1
        -0.009       -21640.5
       -0.0087       -22920.9
       -0.0084       -24308.1
       -0.0081       -25817.4
       -0.0078       -27467.6
       -0.0075       -29282.4
       -0.0072       -31291.9
       -0.0069       -33535.3
       -0.0066         -36065
       -0.0063       -38951.7
        -0.006       -42288.2
       -0.0057       -46162.3
       -0.0054         -50000
       -0.0051         -50000
       -0.0048         -50000
       -0.0045       -49916.1
       -0.0042       -49236.3
       -0.0039       -48610.8
       -0.0036       -48084.8
       -0.0033       -47659.4
        -0.003       -47325.3
       -0.0027       -47070.8
       -0.0024       -46883.7
       -0.0021       -46752.3
       -0.0018       -46665.3
       -0.0015       -46612.4
       -0.0012       -46583.8
       -0.0009       -46571.2
       -0.0006       -46567.6
       -0.0003       -46567.7
             0         -46568
        0.0003       -46567.6
        0.0006       -46567.6
        0.0009       -46571.2
        0.0012       -46583.7
        0.0015       -46612.3
        0.0018       -46665.2
        0.0021       -46752.1
        0.0024       -46883.5
        0.0027       -47070.5
         0.003       -47324.9
        0.0033       -47658.9
        0.0036       -48084.3
        0.0039       -48610.2
        0.0042       -49235.7
        0.0045       -49915.6
        0.0048         -50000
        0.0051         -50000
        0.0054         -50000
        0.0057       -46168.5
         0.006       -42292.9
        0.0063       -38956.4
        0.0066       -36069.8
        0.0069       -33540.3
        0.0072       -31297.1
        0.0075       -29287.8
        0.0078       -27473.3
        0.0081       -25823.5
        0.0084       -24314.6
        0.0087       -22927.9
         0.009         -21648
        0.0093       -20462.2
        0.0096         -19360
        0.0099       -18332.6
        0.0102       -17372.3
        0.0105       -16472.8
        0.0108       -15628.4
        0.0111       -14834.3
        0.0114       -14086.3
        0.0117       -13380.7
         0.012       -12714.2
        0.0123       -12083.8
        0.0126         -11487
        0.0129       -10921.5
        0.0132       -10385.1
        0.0135       -9876.11
        0.0138       -9392.74
        0.0141       -8933.47
        0.0144       -8496.91
        0.0147       -8081.77
         0.015       -7686.89
        0.0153       -7311.19
        0.0156       -6953.66
        0.0159       -6613.36
        0.0162       -6289.43
        0.0165       -5981.05
        0.0168       -5687.45
        0.0171       -5407.89
        0.0174       -5141.68
        0.0177       -4888.16
         0.018       -4646.69
        0.0183       -4416.67
        0.0186       -4197.52
        0.0189       -3988.67
        0.0192       -3789.59
        0.0195       -3599.75
        0.0198       -3418.67
        0.0201       -3245.85
        0.0204       -3080.84
        0.0207       -2923.19
         0.021       -2772.49
        0.0213       -2628.31
        0.0216       -2490.28
        0.0219       -2358.02
        0.0222       -2231.18
        0.0225       -2109.42
        0.0228       -1992.42
        0.0231       -1879.89
        0.0234       -1771.52
        0.0237       -1667.05
         0.024       -1566.23
        0.0243        -1468.8
        0.0246       -1374.54
        0.0249       -1283.23
        0.0252       -1194.66
        0.0255       -1108.64
        0.0258       -1024.98
        0.0261       -943.521
        0.0264       -864.089
        0.0267       -786.531
         0.027         -710.7
        0.0273       -636.456
        0.0276       -563.668
        0.0279        -492.21
        0.0282       -421.963
        0.0285       -352.814
        0.0288       -284.655
        0.0291       -217.387
        0.0294       -150.915
        0.0297       -85.1587
          0.03       -20.0513
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
