# r (m)    potential (V)
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03              0
       -0.0297       -10.2365
       -0.0294       -31.0474
       -0.0291       -51.7638
       -0.0288       -72.3167
       -0.0285       -92.6721
       -0.0282       -112.801
       -0.0279       -132.678
       -0.0276       -152.269
       -0.0273       -171.539
        -0.027       -190.442
       -0.0267       -208.923
       -0.0264       -226.936
       -0.0261       -244.433
       -0.0258       -261.337
       -0.0255       -277.563
       -0.0252       -293.017
       -0.0249       -307.585
       -0.0246       -321.111
       -0.0243       -333.428
        -0.024       -344.335
       -0.0237       -353.588
       -0.0234       -360.894
       -0.0231       -365.868
       -0.0228       -367.997
       -0.0225       -366.636
       -0.0222       -360.931
       -0.0219       -349.701
       -0.0216       -331.309
       -0.0213       -303.387
        -0.021       -262.143
       -0.0207       -201.342
       -0.0204       -109.795
       -0.0201              0
       -0.0198              0
       -0.0195              0
       -0.0192       -27.7521
       -0.0189       -274.196
       -0.0186       -460.273
       -0.0183       -613.728
        -0.018       -747.575
       -0.0177       -868.745
       -0.0174       -981.325
       -0.0171        -1087.9
       -0.0168       -1190.25
       -0.0165        -1289.7
       -0.0162       -1387.23
       -0.0159       -1483.58
       -0.0156        -1579.4
       -0.0153       -1675.28
        -0.015       -1771.66
       -0.0147       -1869.07
       -0.0144       -1967.87
       -0.0141       -2068.54
       -0.0138       -2171.44
       -0.0135       -2276.95
       -0.0132       -2385.47
       -0.0129        -2497.4
       -0.0126       -2613.18
       -0.0123       -2733.23
        -0.012       -2858.03
       -0.0117       -2988.14
       -0.0114        -3124.1
       -0.0111       -3266.55
       -0.0108       -3416.15
       -0.0105       -3573.69
       -0.0102       -3740.04
       -0.0099       -3916.15
       -0.0096       -4103.17
       -0.0093       -4302.35
        -0.009       -4515.21
       -0.0087        -4743.5
       -0.0084       -4989.27
       -0.0081       -5254.96
       -0.0078       -5543.56
       -0.0075        -5858.8
       -0.0072       -6205.37
       -0.0069       -6589.22
       -0.0066        -7018.2
       -0.0063       -7503.01
        -0.006       -8058.92
       -0.0057       -8709.39
       -0.0054       -9496.52
       -0.0051         -10000
       -0.0048         -10000
       -0.0045         -10000
       -0.0042       -9980.54
       -0.0039       -9852.71
       -0.0036       -9744.66
       -0.0033       -9656.47
        -0.003       -9586.99
       -0.0027       -9534.24
       -0.0024       -9495.96
       -0.0021       -9469.88
       -0.0018       -9453.64
       -0.0015        -9444.9
       -0.0012       -9441.56
       -0.0009       -9441.42
       -0.0006       -9442.53
       -0.0003       -9444.25
             0       -9445.43
        0.0003       -9445.73
        0.0006       -9445.67
        0.0009       -9444.57
        0.0012       -9443.27
        0.0015       -9442.55
        0.0018       -9443.54
        0.0021       -9448.66
        0.0024       -9459.91
        0.0027       -9479.32
         0.003       -9509.25
        0.0033       -9552.03
        0.0036       -9609.94
        0.0039       -9685.09
        0.0042       -9779.25
        0.0045       -9893.19
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057         -10000
         0.006       -9228.79
        0.0063       -8499.54
        0.0066       -7889.04
        0.0069       -7363.82
        0.0072       -6903.78
        0.0075       -6495.41
        0.0078       -6129.08
        0.0081       -5797.66
        0.0084       -5495.71
        0.0087       -5218.96
         0.009       -4963.97
        0.0093       -4727.95
        0.0096       -4508.59
        0.0099       -4303.95
        0.0102       -4112.41
        0.0105       -3932.51
        0.0108       -3763.07
        0.0111       -3603.04
        0.0114       -3451.44
        0.0117       -3307.43
         0.012       -3170.31
        0.0123       -3039.35
        0.0126       -2913.96
        0.0129       -2793.63
        0.0132       -2677.84
        0.0135       -2566.07
        0.0138        -2457.8
        0.0141       -2352.63
        0.0144       -2250.15
        0.0147       -2149.97
         0.015       -2051.63
        0.0153       -1954.65
        0.0156       -1858.64
        0.0159       -1763.07
        0.0162       -1667.47
        0.0165       -1571.24
        0.0168       -1473.72
        0.0171       -1374.05
        0.0174       -1271.24
        0.0177       -1163.99
         0.018       -1050.56
        0.0183       -928.502
        0.0186       -794.122
        0.0189       -641.626
        0.0192        -460.98
        0.0195       -232.856
        0.0198              0
        0.0201              0
        0.0204              0
        0.0207       -31.3674
         0.021       -223.123
        0.0213       -352.602
        0.0216       -445.739
        0.0219       -515.641
        0.0222       -569.487
        0.0225       -611.706
        0.0228       -645.153
        0.0231       -671.811
        0.0234       -693.064
        0.0237       -709.982
         0.024       -723.361
        0.0243       -733.786
        0.0246        -741.72
        0.0249       -747.549
        0.0252         -751.6
        0.0255       -754.151
        0.0258       -755.418
        0.0261        -755.57
        0.0264       -754.774
        0.0267       -753.159
         0.027       -750.833
        0.0273       -747.892
        0.0276       -744.414
        0.0279       -740.472
        0.0282       -736.127
        0.0285        -731.44
        0.0288        -726.45
        0.0291       -721.193
        0.0294       -715.718
        0.0297       -710.069
          0.03        -704.27
        0.0303       -698.344
        0.0306       -692.326
        0.0309       -686.238
        0.0312       -680.094
        0.0315        -673.91
        0.0318         -667.7
        0.0321        -661.48
        0.0324       -655.261
        0.0327       -649.058
         0.033       -642.881
        0.0333       -636.736
        0.0336       -630.631
        0.0339       -624.577
        0.0342       -618.583
        0.0345       -612.658
        0.0348       -606.805
        0.0351       -601.029
        0.0354       -595.335
        0.0357        -589.73
         0.036       -584.217
        0.0363         -578.8
        0.0366       -573.486
        0.0369       -568.279
        0.0372       -563.181
        0.0375       -558.196
        0.0378       -553.326
        0.0381       -548.572
        0.0384       -543.937
        0.0387       -539.426
         0.039       -535.042
        0.0393       -530.787
        0.0396       -526.662
        0.0399       -522.669
        0.0402        -518.81
        0.0405       -515.085
        0.0408       -511.497
        0.0411       -508.047
        0.0414       -504.736
        0.0417       -501.564
         0.042       -498.533
        0.0423       -495.644
        0.0426       -492.897
