# r (m)    potential (V)
        -0.048              0
       -0.0477              0
       -0.0474              0
       -0.0471              0
       -0.0468              0
       -0.0465              0
       -0.0462              0
       -0.0459              0
       -0.0456              0
       -0.0453              0
        -0.045              0
       -0.0447              0
       -0.0444              0
       -0.0441              0
       -0.0438              0
       -0.0435              0
       -0.0432              0
       -0.0429              0
       -0.0426              0
       -0.0423              0
        -0.042              0
       -0.0417              0
       -0.0414              0
       -0.0411              0
       -0.0408              0
       -0.0405              0
       -0.0402              0
       -0.0399              0
       -0.0396              0
       -0.0393              0
        -0.039              0
       -0.0387              0
       -0.0384              0
       -0.0381              0
       -0.0378              0
       -0.0375              0
       -0.0372              0
       -0.0369              0
       -0.0366              0
       -0.0363              0
        -0.036              0
       -0.0357              0
       -0.0354              0
       -0.0351              0
       -0.0348              0
       -0.0345              0
       -0.0342              0
       -0.0339              0
       -0.0336              0
       -0.0333              0
        -0.033              0
       -0.0327              0
       -0.0324              0
       -0.0321              0
       -0.0318              0
       -0.0315              0
       -0.0312              0
       -0.0309              0
       -0.0306              0
       -0.0303              0
         -0.03       -8.41841
       -0.0297       -35.6171
       -0.0294       -62.8698
       -0.0291       -90.1863
       -0.0288       -117.581
       -0.0285        -145.07
       -0.0282       -172.672
       -0.0279       -200.408
       -0.0276       -228.299
       -0.0273       -256.369
        -0.027       -284.642
       -0.0267       -313.144
       -0.0264       -341.902
       -0.0261       -370.945
       -0.0258       -400.305
       -0.0255       -430.015
       -0.0252       -460.109
       -0.0249       -490.624
       -0.0246       -521.598
       -0.0243       -553.072
        -0.024       -585.089
       -0.0237       -617.693
       -0.0234       -650.931
       -0.0231       -684.852
       -0.0228       -719.506
       -0.0225       -754.946
       -0.0222       -791.223
       -0.0219        -828.39
       -0.0216       -866.502
       -0.0213       -905.607
        -0.021       -945.752
       -0.0207       -986.973
       -0.0204        -1029.3
       -0.0201       -1072.72
       -0.0198       -1117.17
       -0.0195       -1162.54
       -0.0192       -1209.02
       -0.0189       -1256.67
       -0.0186       -1305.62
       -0.0183       -1355.96
        -0.018       -1407.81
       -0.0177        -1461.4
       -0.0174       -1516.87
       -0.0171       -1574.34
       -0.0168       -1633.94
       -0.0165       -1695.86
       -0.0162       -1760.28
       -0.0159       -1827.37
       -0.0156       -1897.26
       -0.0153       -1970.12
        -0.015       -2046.14
       -0.0147       -2125.51
       -0.0144       -2208.46
       -0.0141       -2295.25
       -0.0138       -2386.06
       -0.0135       -2481.18
       -0.0132       -2580.92
       -0.0129       -2685.54
       -0.0126       -2795.38
       -0.0123       -2910.86
        -0.012       -3032.35
       -0.0117       -3160.37
       -0.0114       -3295.47
       -0.0111       -3438.24
       -0.0108       -3589.37
       -0.0105       -3749.62
       -0.0102       -3919.93
       -0.0099       -4101.36
       -0.0096       -4295.06
       -0.0093        -4502.4
        -0.009       -4725.05
       -0.0087       -4964.92
       -0.0084       -5224.42
       -0.0081       -5506.37
       -0.0078       -5814.27
       -0.0075       -6152.48
       -0.0072       -6526.56
       -0.0069       -6943.84
       -0.0066       -7413.98
       -0.0063       -7950.08
        -0.006       -8569.36
       -0.0057       -9288.12
       -0.0054         -10000
       -0.0051         -10000
       -0.0048         -10000
       -0.0045       -9985.24
       -0.0042        -9865.8
       -0.0039       -9756.81
       -0.0036        -9666.3
       -0.0033       -9594.46
        -0.003       -9539.57
       -0.0027       -9499.41
       -0.0024       -9471.63
       -0.0021       -9454.05
       -0.0018        -9444.3
       -0.0015       -9440.36
       -0.0012       -9440.13
       -0.0009       -9441.53
       -0.0006       -9443.44
       -0.0003       -9444.86
             0       -9445.43
        0.0003       -9444.98
        0.0006       -9443.32
        0.0009       -9441.56
        0.0012       -9440.16
        0.0015       -9440.47
        0.0018       -9444.38
        0.0021       -9454.03
        0.0024        -9471.6
        0.0027       -9499.36
         0.003       -9539.55
        0.0033       -9594.46
        0.0036       -9666.28
        0.0039       -9756.78
        0.0042       -9865.79
        0.0045       -9985.15
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057       -9289.22
         0.006       -8570.13
        0.0063       -7950.84
        0.0066       -7414.79
        0.0069       -6944.75
        0.0072        -6527.6
        0.0075       -6153.66
        0.0078       -5815.63
        0.0081       -5507.95
        0.0084        -5226.2
        0.0087       -4966.89
         0.009       -4727.21
        0.0093       -4504.81
        0.0096       -4297.74
        0.0099       -4104.33
        0.0102       -3923.19
        0.0105       -3753.15
        0.0108       -3593.17
        0.0111       -3442.36
        0.0114       -3299.96
        0.0117       -3165.26
         0.012       -3037.65
        0.0123       -2916.56
        0.0126       -2801.53
        0.0129       -2692.11
        0.0132       -2587.93
        0.0135       -2488.64
        0.0138       -2393.91
        0.0141       -2303.48
        0.0144       -2217.11
        0.0147       -2134.47
         0.015       -2055.39
        0.0153       -1979.64
        0.0156       -1907.05
        0.0159       -1837.38
        0.0162       -1770.45
        0.0165       -1706.11
        0.0168       -1644.23
        0.0171       -1584.59
        0.0174       -1527.06
        0.0177       -1471.55
         0.018       -1417.91
        0.0183       -1365.95
        0.0186       -1315.47
        0.0189       -1266.46
        0.0192       -1218.81
        0.0195       -1172.24
        0.0198       -1126.61
        0.0201        -1081.9
        0.0204       -1038.22
        0.0207       -995.626
         0.021       -954.111
        0.0213       -913.658
        0.0216       -874.233
        0.0219       -835.793
        0.0222        -798.29
        0.0225       -761.676
        0.0228       -725.897
        0.0231       -690.906
        0.0234        -656.65
        0.0237       -623.082
         0.024       -590.154
        0.0243        -557.82
        0.0246       -526.035
        0.0249       -494.758
        0.0252       -463.947
        0.0255       -433.564
        0.0258       -403.573
        0.0261       -373.939
        0.0264        -344.63
        0.0267       -315.614
         0.027       -286.863
        0.0273       -258.347
        0.0276       -230.041
        0.0279        -201.92
        0.0282        -173.96
        0.0285       -146.139
        0.0288       -118.436
        0.0291        -90.832
        0.0294       -63.3108
        0.0297       -35.8597
          0.03       -8.47209
        0.0303              0
        0.0306              0
        0.0309              0
        0.0312              0
        0.0315              0
        0.0318              0
        0.0321              0
        0.0324              0
        0.0327              0
         0.033              0
        0.0333              0
        0.0336              0
        0.0339              0
        0.0342              0
        0.0345              0
        0.0348              0
        0.0351              0
        0.0354              0
        0.0357              0
         0.036              0
        0.0363              0
        0.0366              0
        0.0369              0
        0.0372              0
        0.0375              0
        0.0378              0
        0.0381              0
        0.0384              0
        0.0387              0
         0.039              0
        0.0393              0
        0.0396              0
        0.0399              0
        0.0402              0
        0.0405              0
        0.0408              0
        0.0411              0
        0.0414              0
        0.0417              0
         0.042              0
        0.0423              0
        0.0426              0
        0.0429              0
        0.0432              0
        0.0435              0
        0.0438              0
        0.0441              0
        0.0444              0
        0.0447              0
         0.045              0
        0.0453              0
        0.0456              0
        0.0459              0
        0.0462              0
        0.0465              0
        0.0468              0
        0.0471              0
        0.0474              0
        0.0477              0
