# r (m)    potential (V)
       -0.0315       -962.782
       -0.0312       -963.021
       -0.0309       -963.737
       -0.0306       -964.929
       -0.0303       -966.594
         -0.03       -968.735
       -0.0297       -971.353
       -0.0294       -974.452
       -0.0291       -978.036
       -0.0288       -982.112
       -0.0285       -986.685
       -0.0282       -991.767
       -0.0279       -997.367
       -0.0276        -1003.5
       -0.0273       -1010.17
        -0.027       -1017.41
       -0.0267       -1025.22
       -0.0264       -1033.63
       -0.0261       -1042.67
       -0.0258       -1052.34
       -0.0255       -1062.68
       -0.0252       -1073.72
       -0.0249       -1085.49
       -0.0246       -1098.02
       -0.0243       -1111.34
        -0.024       -1125.51
       -0.0237       -1140.54
       -0.0234        -1156.5
       -0.0231       -1173.42
       -0.0228       -1191.35
       -0.0225       -1210.34
       -0.0222       -1230.46
       -0.0219       -1251.73
       -0.0216       -1274.23
       -0.0213          -1298
        -0.021       -1323.08
       -0.0207       -1349.52
       -0.0204       -1377.36
       -0.0201        -1406.6
       -0.0198       -1437.23
       -0.0195       -1469.11
       -0.0192       -1502.18
       -0.0189       -1536.56
       -0.0186       -1572.31
       -0.0183       -1609.62
        -0.018       -1648.65
       -0.0177        -1689.5
       -0.0174        -1732.4
       -0.0171       -1777.49
       -0.0168       -1824.87
       -0.0165        -1874.8
       -0.0162       -1927.33
       -0.0159       -1982.63
       -0.0156       -2040.91
       -0.0153       -2102.25
        -0.015       -2166.89
       -0.0147       -2234.99
       -0.0144       -2306.76
       -0.0141        -2382.4
       -0.0138       -2462.11
       -0.0135       -2546.14
       -0.0132       -2634.77
       -0.0129       -2728.23
       -0.0126       -2826.89
       -0.0123       -2931.16
        -0.012        -3041.3
       -0.0117        -3157.8
       -0.0114       -3281.16
       -0.0111       -3411.87
       -0.0108       -3550.57
       -0.0105       -3697.94
       -0.0102       -3854.76
       -0.0099       -4021.99
       -0.0096       -4200.71
       -0.0093       -4392.11
        -0.009       -4597.62
       -0.0087       -4818.92
       -0.0084       -5058.03
       -0.0081       -5317.37
       -0.0078       -5599.87
       -0.0075        -5909.2
       -0.0072       -6249.93
       -0.0069       -6627.95
       -0.0066       -7051.01
       -0.0063       -7529.72
        -0.006        -8079.2
       -0.0057       -8722.62
       -0.0054       -9501.61
       -0.0051         -10000
       -0.0048         -10000
       -0.0045         -10000
       -0.0042       -9980.58
       -0.0039       -9853.01
       -0.0036       -9745.15
       -0.0033       -9657.11
        -0.003       -9587.69
       -0.0027       -9534.94
       -0.0024       -9496.63
       -0.0021       -9470.36
       -0.0018       -9453.92
       -0.0015       -9445.04
       -0.0012       -9441.55
       -0.0009       -9441.47
       -0.0006       -9442.74
       -0.0003       -9444.17
             0       -9445.43
        0.0003       -9445.75
        0.0006       -9445.18
        0.0009       -9443.62
        0.0012       -9441.95
        0.0015       -9441.12
        0.0018        -9442.1
        0.0021       -9447.24
        0.0024       -9458.44
        0.0027       -9477.96
         0.003       -9508.04
        0.0033       -9551.01
        0.0036       -9609.05
        0.0039        -9684.4
        0.0042       -9778.77
        0.0045       -9892.94
        0.0048         -10000
        0.0051         -10000
        0.0054         -10000
        0.0057         -10000
         0.006       -9228.99
        0.0063       -8500.11
        0.0066       -7890.14
        0.0069       -7365.68
        0.0072       -6906.61
        0.0075       -6499.43
        0.0078       -6134.58
        0.0081       -5804.96
        0.0084       -5505.16
        0.0087       -5230.92
         0.009       -4978.82
        0.0093        -4746.1
        0.0096       -4530.45
        0.0099       -4330.02
        0.0102       -4143.21
        0.0105       -3968.61
        0.0108       -3805.09
        0.0111       -3651.67
        0.0114       -3507.47
        0.0117        -3371.7
         0.012       -3243.72
        0.0123       -3122.94
        0.0126       -3008.81
        0.0129       -2900.89
        0.0132       -2798.81
        0.0135       -2702.14
        0.0138       -2610.56
        0.0141       -2523.81
        0.0144       -2441.59
        0.0147       -2363.62
         0.015       -2289.69
        0.0153       -2219.58
        0.0156       -2153.09
        0.0159       -2089.96
        0.0162       -2030.05
        0.0165       -1973.22
        0.0168       -1919.26
        0.0171          -1868
        0.0174       -1819.28
        0.0177       -1772.89
         0.018       -1728.74
        0.0183       -1686.71
        0.0186       -1646.63
        0.0189       -1608.38
        0.0192       -1571.82
        0.0195       -1536.82
        0.0198       -1503.21
        0.0201       -1470.93
        0.0204       -1439.87
        0.0207       -1410.16
         0.021       -1381.86
        0.0213       -1354.96
        0.0216       -1329.46
        0.0219        -1305.3
        0.0222       -1282.46
        0.0225       -1260.87
        0.0228        -1240.5
        0.0231       -1221.29
        0.0234       -1203.18
        0.0237       -1186.14
         0.024       -1170.11
        0.0243       -1155.04
        0.0246       -1140.88
        0.0249       -1127.61
        0.0252       -1115.18
        0.0255       -1103.54
        0.0258       -1092.68
        0.0261       -1082.55
        0.0264       -1073.12
        0.0267       -1064.38
         0.027       -1056.29
        0.0273       -1048.83
        0.0276       -1041.99
        0.0279       -1035.76
        0.0282        -1030.1
        0.0285       -1025.02
        0.0288       -1020.49
        0.0291       -1016.51
        0.0294       -1013.07
        0.0297       -1010.17
          0.03        -1007.8
        0.0303       -1005.95
        0.0306       -1004.64
        0.0309       -1003.84
        0.0312       -1003.58
